音讀 詞目
tī 稚
lîng 稜
tiû 稠
su̍t 窣
ûn 筠
liâng 粱
páng 綁
tì 置
siān 羨
sù 肆
thíng 艇
ia̍p 葉
phû 葡
hôo 葫
kuî 葵
thuì 蛻
sio̍k 蜀
gôo 蜈
ngôo 蜈
tsî 蜍
gê 衙
kiap 裌
lí 裏
è 裔
ì 裔
se 裟
sûn 詢
gē 詣
tshuan 詮
khiat 詰
siông 詳
tsiam 詹
khua 誇
hô 貉
lōo 賂
hué 賄
tsu 資
ká 賈
kóo 賈
phik 辟
tūn 遁
suī 遂
koh 過
ta̍t 達
uî 違
siû 酬
tô 鉈
ài 隘
thī 雉
tsīng 靖
pé 靶
guân 頑
pan 頒
sik 飾
tî 馳
sûn 馴
khiu 鳩
kiâu 僑
po̍k 僕
liâu 僚
sing 僧
tsing 僧
tsiàm 僭
ka 嘉
tîn 塵
sio̍k 塾
bōo 墓
phiâu 嫖
tik 嫡
siông 嫦
hu 孵
bo̍k 寞
tshat 察
tshím 寢
liâu 寥
lîng 寧
lí 屢
tsám 嶄
pè 幣
liāu 廖
pè 弊
tsiong 彰
thiat 徹
thài 態
thāi 態
kuàn 慣
kian 慳
khóng 慷
tsia̍t 截
thiat 撤
kì 暨
tsin 榛
tsà 榨
îng 榮
liû 榴
kòo 構
huâi 槐
khiàm 歉
hōo 滬
tī 滯
hóo 滸
lok 漉
bo̍k 漠
bān 漫
tsiang 漳
tsiām 漸
thiat 澈
siàn 煽
hun 熏
khò 犒
só 瑣
kuì 瑰
hong 瘋
iông 瘍
phik 碧
si̍k 碩
tsû 磁
tsing 禎
tshing 稱
o 窩
iân 筵
tsian 箋
tsing 箏
ki 箕
tshuì 粹
tsong 綜
tiû 綢
î 維
kong 綱
tuat 綴
lûn 綸
kuan 綸
khí 綺
tshiok 綽
lîng 綾
sū 緒
tshuì 翠
tsū 聚
bûn 聞
tiāu 肇
phông 膀
liám 膁
keh 膈
tâi 臺
bông 蒙
pôo 蒲
tsing 蒸
tshong 蒼
o 蒿
iông 蓉
sui 蓑
ti 蜘
khî 蜞
meh 蜢
piáu 裱
kó 裹
tsè 製
kuà 褂
tsì 誌
bû 誣
siōng 誦
hô 豪
māu 貌
tsín 賑
pin 賓
tiō 趙
buán 輓
hú 輔
iâu 遙
sùn 遜
tē 遞
khián 遣
khok 酷
bîng 銘
bân 閩
tsè 際
tsiàng 障
tsiòng 障
su 需
ióng 鞅
phó 頗
thai 颱
kiáu 餃
hiòng 餉
tâu 骰
khue 魁
thoh 魠
bîng 鳴
khiong 僵
phiah 僻
gî 儀
ki̍k 劇
phik 劈
lâu 劉
lo 嘮
siàu 嘯
hi 嘻
tsing 增
tun 墩
tuī 墮
hi 嬉
lí 履
thân 彈
bōo 慕
huī 慧
huē 慧
uì 慰
khìng 慶
tshik 慼
io̍k 慾
tān 憚
giâu 憢
hùn 憤
bín 憫
lio̍k 戮
môo 摩
tsì 摯
bôo 摹
bōo 摹
tsún 撙
hú 撫
tsuat 撮
tsuān 撰
ti̍k 敵
hu 敷
bōo 暮
li̍t 暱
li̍k 暱
liân 槤
ngāu 樂
tshu 樞
thàn 歎
gē 毅
gī 毅
kiat 潔
tsiâm 潛
ló 潦
tiâu 潮
tshan 潺
tîng 澄
phênn 澎
thang 熥
liâu 獠
îng 瑩
lê 璃
lî 璃
un 瘟
sóo 瘦
khak 確
luí 磊
tsho 磋
tsik 稷
tō 稻
kok 穀
tsim 箴
tsî 糍
tuān 緞
tè 締
uī 緯
tì 緻
tī 緻
kiat 羯
phian 翩
tshik 膝
sit 膝
thong 蓪
hông 蓬
liân 蓮
bia̍t 蔑
bān 蔓
uì 蔚
tshuà 蔡
pè 蔽
uē 衛
ho̍k 複
pè 褙
tàn 誕
tān 誕
huí 誹
gî 誼
gī 誼
tiau 調
tiàu 調
liōng 諒
tsu 諸
sū 豎
hù 賦
tshù 趣
tsiān 踐
tshi̍k 踔
tshái 踩
hui 輝
ngôo 遨
sik 適
tso 遭
tīng 鄧
sûn 醇
huānn 銲
lú 鋁
lū 鋁
hong 鋒
lòng 閬
tîng 霆
tsìn 震
kióng 鞏
khiat 頡
tsù 駐
kà 駕
tô 駝
huat 髮
hang 魴
thim 鴆
a 鴉
lê 黎
tsín 儘
tsīn 儘
tsè 劑
hun 勳
huân 圜
khún 墾
hùn 奮
tō 導
ik 憶
hām 憾
àu 懊
ióng 擁
siān 擅
tshò 操
hiáu 曉
tsiâu 樵
huâ 樺
huā 樺
li̍k 歷
tsó 澡
ti̍k 澤
ò 澳
ù 澳
lông 濃
iām 燄
phok 璞
phiô 瓢
la̍k 磟
gū 禦
soo 穌
tiàu 窵
khui 窺
tio̍k 築
tok 篤
tsò 縐
hān 翰
huan 蕃
hiông 融
iông 融
bîng 螟
îng 螢
hîng 螢
hîng 衡
lio̍k 褥
pi 觱
tia̍p 諜
tè 諦
hâi 諧
am 諳
lo̍k 諾
bôo 謀
uī 謂
giok 謔
ū 豫
bâ 貓
ióng 踴
hok 輻
piān 辨
tî 遲
tsun 遵
uî 遺
liâu 遼
tsui 錐
kím 錦
giâm 閻
suī 隧
sap 霎
kíng 頸
tuê 頹
pîn 頻
tshan 餐
tsiàn 餞
lo̍k 駱
hâi 骸
pāu 鮑
koo 鮕
uan 鴛
tshi 鴟
koo 鴣
bi̍k 默
siông 償
lé 儡
iu 優
tû 儲
lē 勵
hô 壕
sū 嶼
ga̍k 嶽
nî 彌
khún 懇
nōo 懦
kik 擊
khîng 擎
king 擎
gí 擬
liám 斂
pē 斃
ài 曖
kuè 檜
kiám 檢
khiong 殭
liām 殮
tsinn 氈
tsè 濟
tô 濤
tôo 濤
pin 濱
tshàn 燦
liâu 療
lô 癆
sùn 瞬
liáu 瞭
liâu 瞭
tông 瞳
kiáu 矯
hông 磺
siān 禪
siāu 篠
siáu 篠
tshok 簇
tshò 糙
tsau 糟
lî 縭
tshiong 縱
tshióng 縱
tshiòng 縱
huân 繁
biū 繆
tshong 聰
ik 臆
liám 臉
lián 臉
tsô 艚
kan 艱
lōo 蕗
luí 蕾
bî 薇
huē 薈
ì 薏
tshiûnn 薔
sin 薪
khui 虧
tsiunn 螿
sut 蟀
ti̍t 蟄
siong 襄
thîng 謄
hóng 謊
hong 謊
bī 謎
pòng 謗
khiam 謙
iâu 謠
tsuán 賺
kòo 購
tō 蹈
tsho 蹉
khi 蹊
tián 輾
hat 轄
pī 避
māi 邁
tshiú 醜
tōo 鍍
tsa̍h 鍘
kiān 鍵
tsiam 鍼
pán 闆
sui 雖
kiok 鞠
tsùn 駿
ka 鮫
hông 鴻
tāi 黛
hiòng 嚮
pin 檳
lê 檸
suân 璿
tsiam 瞻
tshóo 礎
tshuàn 竄
kán 簡
tsiam 簪
thâm 罈
sat 薩
tsông 藏
tsōng 藏
biáu 藐
biū 謬
oo 謳
kín 謹
tsuè 贅
tsik 蹟
tsong 蹤
tsau 蹧
khu 軀
lo̍k 轆
tia̍t 轍
lî 釐
iûnn 鎔
ha̍p 闔
khuat 闕
tshuàng 闖
tshiu 鞦
liû 餾
bián 鮸
sua 鯊
kuan 鵑
huāi 壞
lóng 壟
li̍k 壢
tîng 懲
huâi 懷
khòng 曠
lū 瀘
hān 瀚
siau 瀟
po̍k 爆
to̍k 牘
to̍k 犢
siù 獸
thuah 獺
kiong 疆
tshi 癡
bông 矇
tó 禱
hi̍k 穫
huē 繪
lô 羅
ngāu 藕
siâm 蟾
sîn 蠅
giat 蠍
khim 襟
huā 譁
ki 譏
tâm 譚
tsīng 贈
tsàn 贊
tsun 蹲
tû 躇
tso̍k 鏃
tshiong 鏘
lân 難
tian 顛
bân 饅
siúnn 鯗
tshiunn 鯧
liâm 鯰
ian 鵪
pîng 鵬
phîng 鵬
tiau 鵰
kî 麒
lê 麗
lē 麗
pâng 龐
inn 嚶
song 孀
gia̍t 孽
tshàm 懺
lông 櫳
lân 瀾
tōo 竇
kīng 競
tiû 籌
tsi̍k 籍
kè 繼
iāu 耀
lām 艦
ái 藹
lôo 蘆
soo 蘇
phông 蘋
môo 蘑
lâm 襤
kak 覺
kíng 警
phì 譬
i̍k 譯
gī 議
that 躂
lé 醴
sik 釋
siù 鏽
liâu 鐐
tshián 闡
hiong 馨
hing 馨
thîng 騰
so 騷
lîng 齡
hiau 囂
tsiok 屬
sio̍k 屬
kū 懼
hê 攜
ing 櫻
hi 犧
lâng 礱
tîn 籐
sio̍k 續
lám 覽
khián 譴
hōo 護
ū 譽
tsīn 贐
tiû 躊
io̍k 躍
hong 轟
luî 鐳
pi̍k 闢
phik 霹
hióng 響
phiau 飆
hiáng 饗
khu 驅
môo 魔
ing 鶯
siā 麝
ám 黯
ì 懿
sá 灑
than 灘
ín 癮
si̍p 襲
kàm 鑑
hiau 驍
kiau 驕
suat 鱈
tsià 鷓
oo 鷗
thi 麶
kham 龕
tshiat 竊
tshiap 竊
siān 鱔
si 鷥
lîn 麟
tsiok 囑
pà 壩
pè 壩
him 鑫
li̍k 靂
tshian 韆
pìn 鬢
lōo 鷺
uân 灣
lî 籬
bân 蠻
tsàn 讚
kuàn 顴
kho̍k 鱷
lôo 鸕
iām 豔
ing 鸚
luân 鸞
io̍k 籲
lóo 硓
kah 䘥
am 𧌄
gān 諺
kuai 胿
tsai 哉
ki 梔
lāu 鬧
iu 猶
tō 悼
suân 旋
siōng 頌
luān 戀
tsiâu 憔
tsuī 悴
tsiàn 薦
ùn 蘊
tsuè 最
iû 尤
tshu 趨
siông 嘗
uî 維
tshòo 措
kuī 饋
u 污
tsòng 綜
hē 繫
tuàn 鍛
pí 妣
n̂g 圇
lîm 霖
luân 鑾
lî 離
bī 魅
tsiàm 佔
ong 汪
hù 附
kio̍k 侷
ai 哎
ián 衍
gôo 娛
thàn 探
sòng 喪
hûn 焚
tsing 菁
soo 搜
phiat 撇
tsin 甄
huí 翡
khuì 潰
ài 噯
tsu 諮
lîn 遴
tô 鴕
hân 韓
tâi 檯
pin 殯
lô 邏
tshân 蠶
sīng 晟
sì 施
hiàn 絢
kat 墼
thok 托
lué 餒
tshóo 楚
kho̍k 柝
giān 殗
 怯屎
 𠢕囥歲
 𡳞神氣
 𡳞鳥頭
 𩵱仔魚
 𪁎雞鵤
 𡢃婢
 𤆬頭的
 䆀火
 𤶃仔子
 𦊓仔
 𩸙魚
 𣁳仔車
 㴙㴙唸
 𤺪𤺪
 𤺪頭
 袂爽
 𣻸捋捋
 喙齒
 崎
 A仔菜
 一下仔
 一心
 一目𥍉
 一個月
 一晡
 一絲仔
 一齊
 十八仔
 入口
 人手
 八毛
 八月半
 九月重陽
 七扣八除
 九芎仔柴
 九芎仔樹
 人品
 九泉
 七洋八洋
 十胡仔牌
 八敗
 入場券
 人款
 入港
 刁意
 卜聖卦
 了解
 人數
 七竅
 三八雨
 口才
 口口聲聲
 三六仔
 上少
 下斗
 下日
 大夫
 工友
 大手面
 子仔
 下世人
 上台
 下台
 大拇頭
 小使仔
 下回
 土名
 山地
 土地公生
 大收
 上色
 大百的
 小吹
 山坑
 大妗喙
 子弟班
 子弟團
 下改
 大旱
 大肚胿仔
 千足
 大豆
 大捙拚
 三角間
 小叔仔
 山坡
 大拇翁
 大拇公
 大拇翁
 下昏頓
 下沿
 大母四界
 大的
 小便
 大俗賣
 下毒
 山泉水
 山珍
 大約
 下面
 下風
 下個月
 小時
 山狸仔
 下班
 久病
 才能
 上起碼
 小鬼
 下晝飯
 土產
 大眾
 小產
 小略仔
 大粒番薑
 大細聲
 大割
 糋棗仔
 下等
 大筒仔
 大筒射
 凡間
 大飯店
 大嫂
 大概
 上落
 山葉薯
 工資
 小路仔
 上墓
 大墓公
 上慢
 大漢囝
 大端
 上蒼
 山蒜頭
 下層
 三層仔
 三層仔肉
 大盤
 下課
 大賣價
 上學
 下頭
 下頷
 大頭狗母
 大頭蔥
 大鯊
 山藥
 仇人
 不八不七
 勻勻仔是
 冇手
 勻仔
 不只
 中央
 公正
 公立
 冇石
 不安
 內行人
 公告
 不孝子
 亢旱
 不肖子
 不足
 不幸
 分居
 五花十色
 不便
 中南部
 分食的
 不准
 元宵暝
 凶徒
 公益
 中站
 中脊楹
 公務員
 內痔
 內陸
 凶惡
 之間
 不過
 不管
 分熟的
 中範
 中興
 內褲
 中選
 分錢的
 公營
 分離
 中藥
 中藥店
 不顛不戒
 五臟六腑
 文人
 孔子
 手巾
 文才
 太子爺
 太公
 心內
 天公伯仔
 太太
 少少
 日日
 歹日
 歹天年
 戶主
 日仔
 水仙花
 歹代誌
 月仔錢
 歹冬
 歹去
 日本
 反白仁
 反白目
 心甘情願
 歹吉兆
 手尖
 毋成囡仔
 反色
 化妝
 手尾字
 反形
 手形
 心狂火熱
 心肝蒂
 文定
 月底
 心性
 水抽仔
 水油
 文武場
 水泥
 歹物仔
 歹物件
 天狗食日
 天狗食月
 毋知死活
 毋知輕重
 戶長
 毋是款
 水洘
 水流
 毋值著
 木師
 歹紡
 升起
 日記
 歹鬼𤆬頭
 歹做
 日婆
 歹彩頭
 水桶
 天欲光
 水滇
 水蛇腰
 心軟
 木麻
 木麻樹仔
 夫婿
 手掌
 毋敢當
 日期
 止渴
 引進
 反亂
 水塔
 月圓門
 心愛
 天暗
 水溝仔
 水源地
 天跤下
 歹過
 水路
 水閘仔
 水閘門
 手電
 夭壽骨
 日暝
 毛管空
 水管路
 歹價
 反彈
 心槽
 水槽仔
 化學肥
 手擋仔
 日頭公
 水龍頭
 引薦
 月薪
 欠點
 歹蟲
 手續費
 歹聽話
 火母
 牛杙
 火車頭
 火金星
 牛屎鶺仔
 火拭仔
 爪耙仔
 牛喙箍
 王祿仔仙
 牛蒡
 牛鼻環
 火擦
 片鴻
 牛繚索
 牛繏棕
 火藥
 世人
 仝位
 主顧客
 出人前
 另工
 外才
 包工程
 半山腰
 鼓井水
 北方
 叫天叫地
 包心白仔
 北斗星
 包心菜
 尖仔米
 出去
 四句聯仔
 四伨
 叫交替
 出在
 外地
 加志
 去矣
 四周圍
 四季豆
 加法
 半肥瘦
 出芽
 可恨
 四界揣
 占風頭
 半個月
 叫哭
 外家厝
 出破
 四破魚
 出神
 外務
 外埠頭
 央教
 半桶師
 半陰陽
 加喙加舌
 四圍
 外傷
 半新舊
 外號
 四跤蛇
 四跤魚
 叫電話
 叫慘
 包管
 半精肥
 半橛
 包輸
 半舊落仔
 加轆
 永久
 尻川孔
 尻川頭
 平日
 正月時
 正月時仔
 市外
 布市
 幼母仔
 未必然
 打石師
 本名
 正名
 本年
 本地人
 未免得
 布尾
 平和
 必定
 正房
 本金
 母姨
 布施
 正是
 平洋
 失約定
 市郊
 市面
 失面子
 平時
 巧氣
 巧神
 巧骨
 市區
 本國
 民望
 平棒
 失策
 必須
 平階的
 失勢
 正剾
 失意
 未過心
 正實
 本質
 幼膩
 正戲
 幼糠
 市鎮
 平穩
 目𥍉仔久
 玄天上帝
 皮包
 石匠
 白肉
 甲尾
 目尾
 目赤
 甘言蜜語
 白帖仔
 瓦杮
 白枋
 目空赤
 目花
 生後生
 生津止渴
 目紅
 白茶
 白骨鱙
 石埤
 瓜魚
 白魚
 生猴
 田溝
 白節仔
 白腹
 目墘
 白墨
 甘樹子
 石磨仔
 石頭
 皮戲
 白聯
 田雞
 生藥
 目識
 目鏡蛇
 仿仔
 兇兇狂狂
 全步數
 交定
 先的
 光采
 交保
 光彩
 全部
 全新
 份會仔
 光滑
 交落身
 先鋒
 交纏
 全體
 后
 在下
 吊大筒射
 冰水
 各心
 吉日
 在手
 囡仔姊
 囡仔鬼
 吐奶
 在先
 合同
 各色
 列位
 因何
 吐呃
 再見
 合身
 吊角
 在來
 名刺
 名姓
 同宗的
 冰枕
 同的
 同門的
 向前
 回南
 向後
 因致
 合計
 合做伙
 在朝
 同意
 回話
 各路
 各種
 名譽
 好人
 多少
 好日
 好代
 好代誌
 好冬
 好玄
 字目
 安全
 地名
 好吉兆
 好字運
 好收
 好收成
 年老
 好扭搦
 好命
 地府
 如果
 守法
 好物件
 好空的
 守信
 安怎
 年柑
 守約
 奸計
 地面
 好食
 好消息
 好記持
 寺院
 地區
 好得
 尖掘仔
 好處
 好報
 好報應
 字畫
 好睏
 奸詐
 地勢
 地頭蛇
 好講
 地鐵
 好聽
 有一工
 朴子
 有毋著
 扦仔
 早冬
 有打緊
 有囡仔
 死囡仔災
 死囡仔胎
 有矣
 有所謂
 扣東扣西
 成長
 有品
 有重
 早時
 有時
 早起時
 早起時仔
 有敢若無
 有夠重
 收單
 收棺
 收稅金
 有較縒
 有銷
 有機肥
 有錢
 有頭尾
 有禮貌
 有禮數
 有靈聖
 臼
 肉丸
 行山
 老古板
 自本
 百姓公
 老孤𣮈
 肉食
 行倒轉
 米酒頭
 灰匙
 老娼
 自殺
 老鳥
 竹圍
 竹棑仔
 米粞
 米絞仔
 自訴
 老歲仔目
 考試官
 考試單
 老實話
 血燕
 血親
 行翻頭
 自願
 米籮仔
 西施舌
 西藥店
 冷水
 伯仔
 估計
 佛桌
 兵馬
 冷淡
 免想
 佗落
 佃農
 冷嗽
 免錢
 兵糧
 刣人埔
 別工
 助手
 含仔糖
 吵家鬧宅
 吳真人
 助理
 別種
 利潤
 吸鐵
 呔
 呃赤酸
 坐底
 坐墊
 妓女戶
 孝呆的
 尾局
 尾來
 宋盼
 完租
 尿袋
 局部
 完稅
 尿裙仔
 扶𡳞
 忍受
 快班車
 形款
 扴話
 快樂
 抄本
 抓扒仔
 杉行
 村長
 抑若無
 李哪吒
 技術
 改善
 改進
 批橐仔
 折磨
 抄錄
 決志
 汽車
 決明
 沙崙仔
 汰喙
 求學
 沙篩
 男人
 私生子
 育囝歌
 罕罕
 男兒
 私奇錢
 私底下
 肝花
 私偏
 禿頂
 肚量
 秀箠仔
 身上
 赤仁仔塗
 走手
 足月
 赤牛仔
 芋仔冰
ながし 那卡西
 角瓜
 豆芽
 里長
 走胎
 辛苦病疼
 見笑花
 走袂過手
 走馬
 走馬喉
 豆菜芽
 芋圓頭
 車路
 走過手
 車鼓
 足濟
 身軀頂
 芋羹
 身邊
 芋顱仔頭
 芋顱頭
 事先
 來回
 佮股
 事前
 佯悾佯痟
 佯悾佯戇
 亞鉛桶
 依靠
 佯顛佯痟
 初中
 卸世卸眾
 刺瓜
 叔伯仔
 兩步七仔
 兩抵償
 制限
 協音
 卸面子
 叔孫仔
 協商
 到處
 制煞
 刺龍
 受難
 呼呃仔
 咖哩嗹
 咖哩囉
 坦斜
 命途
 咒詈
 和齊
 味噌湯
 坳
 夜工
 姑不二三將
 姑不將
 姑母
 夜市仔
 奉侍
 姊妹淘
 姆的
 夜班
 帔
 店口
 孤爿
 岳父
 官吏
 定親
 彼工
 彼日
 往回
 彼位
 往來
 怪奇
 延後
 性情
 戽桸
 彼當陣
 延誤
 征露丸
 放人
 放心
 拍手指
 拍手噗仔
 拍手蹄
 拍手環
 拍火
 拍火石
 拍火車
 拄仔
 拖仔
 放冬
 抾囝
 拆字數
 拍呃仔
 放尿
 拖尾星
 拖身命
 拗屈
 拄拄仔好
 拄拄好
 拍袚鍊
 拗直
 放空車
 放空載
 抾金
 拔虎鬚
 抾紅點
 放捒人
 房租
 拉圇燒
 拋船
 拍散
 放筋絡
 抽象
 拍開
 拍鼓
 拚價數
 拍噎仔
 放學
 放燄火
 拍錯桱
 拆藥
 抽懸
 拗彎曲
 東方
 明仔後日
 明品
 松柏仔
 林菝
 枕頭套
 枕頭袋
 油條
 油漆
 欣慕
 治權
 炒米粉
 狀況
 爸爸
 泡茶心
 泡茶米
 炕塗窯
 狗蟻碗
 社交
 空隙
 花貓貓
 花仔菜
 花彔彔
 芳油
 花盆
 花面
 花哩囉
 肺病
 肥桸
 花條馬
 芫荽仔
 花斑馬
 花間
 芥辣
 芭樂
 菝仔票
 門人
 長久
 長子
 金斗公
 金主
 金仔山
 金仔粉
 門市部
 門生
 雨白
 長年飯
 金含仔
 雨來
 長房
 青果
 附近
 金金相
 金柑
 金柑仔
 門徒
 金珮鍊
 青草茶
 阿莎力
 金魚目
 長期
 青番薑仔
 長褲
 長頭鹿仔
 門聯
 金櫃
 雨鬚
 金鑠鑠
 非常
 便利
 便若
 便條紙
 便當盒仔
 前一工
 前一日
 前工
 南方
 前世人
 俗仔貨
 保佑
 俗物仔
 前門
 南洋鯽仔
 前面
 前站
 勇將
 信教
 南部
 信魚
 前幾工
 保領
 保養
 前齒
 俗諺
 剃頭仔店
 品好
 厚茉菜
 厚紙枋
 厚脣
 厚脣仔
 哀傷
 姪
 姦夫
 契約
 城隍爺
 客人仔
 峇文
 屎尿布
 客店
 屎面
 屏風
 客家話
 屎桶仔
 度會過
 帝爺公
 後日仔
 後世
 怎仔樣
 拜正
 後坐肉
 後尾門仔
 後改
 後門
 扁扁
 後座肉
 急病
 後站
 後退
 後進
 後過
 後層齒
 急燒
 急燒仔
 後謝
 挕㧒捔
 挖塗機
 星仔
 挕捒
 挂紙錢
 故意
 指頭仔痕
 指頭拇公
 染病
 查驗
 洗口
 歪路
 活人
 流星
 為啥物
 活期
 玲瑯仔
 活跳
 玲瓏
 流瀾垂
 皇上
 相欠數
 相交換
 皇后
 相同
 界址
 相坐
 相命的
 相抵
 皇帝魚
 珍重
 盼望
 相棄嫌
 相紲
 珍貴
 相像
 相對頭
 相撞
 玻璃菜
 相親像
 疥癬
 看人無點
 看上目
 看命
 看袂上目
 研討
 看無目地
 突然間
 看開
 穿裙的
 看親情
 紅仁塗
 紅朱朱
 紅肉內李
 胎衣
 紅豆
 致到
 紅帕帕
 美容院
 胡椒粉
 紅鳳菜
 紅蔥頭
 紅龜仔粿
 紅蟳仔
 紅轎
 茄色
 苦命人
 虐待
 舢舨
 茅草
 苦齣
 郊
 衫弓仔
 衫仔架
 衫仔裾尾
 重本
 重尻川
 重舌
 限定
 衫架仔
 負面
 限期
 重陽
 貞節
 訃聞
 重閣
 貞潔
 衫褲
 重點
 限額
 重疊
 食巾仔
 香火袋
 風火著
 首先
 飛行場
 飛行機埕
 風呂
 風抽
 面框
 香案桌
 食素
 食茶
 食酒
 食教
 風喙
 風景
 食暗飯
 食暗頓
 面憂面虯
 飛機
 風翱
 風灌口
 食露水
 個人
 個外月
 個性
 修削
 俺娘喂
 修喙鬚
 候
 倒手扞
 倒手拐仔
 倒手雞仔
 凌冶
 冤枉錢
 倚股
 冤家勞債
 倒栽
 倫常
 倒運
 倚賴
 原由
 原因
 厝佃
 厝尾頂
 哪使
 唆使
 哭苦
 哺食
 哭冤枉
 哼哼呻
 匪徒
 哪通
 哪愛
 厝邊兜
 厝邊隔壁
 哭齣
 套口供
 夏天
 夏季
 娘繭
 展𠢕
 宮公
 家內事
 崁仔頂
 崁仔跤
 差別
 家私頭仔
 差押
 家鄉
 展勥
 家園
 家廟
 島嶼
 恩人
 恩主公
 挈批的
 挩枋仔
 恩情人
 挐絞絞
 挨塗礱
 料身
 時到
 挹肥
 捒倒
 捎無摠
 挽搣
 捋頭鬃
 捋鹽
 柴人
 桑仔葉
 桑仔樹
 柴目
 晟囝
 桑材仔
 柴肝
 書店
 桂花魚
 書架
 書面
 晏起
 桌罩
 柴鍥仔
 浮水蓮花
 浴池
 氣豆
 海波浪
 浮洲
 浮浪貢的
 海草魚
 浴間
 海塭
 浮嶼
 浪盪囝
 海邊
 烏仔魚
 烏白講
 烏沁沁
 烏格
 消納
 烏鬼仔菜
 烏蝛仔
 烘燒
 疼囝
 疼命命
 病況
 疶屎星
 留級
 糞埽堆
 真
 破土
 祖公屎
 祖公產
 祖先
 真的
 真相
 破家
 秮仔
 神主牌
 秫米腸
 神明桌
 秤花
 租金
 笑咪咪
 秤重
 笑面
 笊籬
 缺欠
 翁仔某
 紡車仔
 翁婆
 紙條仔
 紙盒仔
 耽誤
 胸槽
 臭耳
 茶行
 茶米茶
 茶米粕
 臭耳膿
 臭尿破
 臭尿羶
 草決明
 草坪
 茶店
 茶杯仔
 茶室
 茶郊
 脆氣
 草索
 臭液味
 草笠仔
 茶粕
 草場
 草棚
 茶渣
 臭菇
 臭腥母
 臭跤液味
 茶甌仔
 草藥仔
 臭礬
 袂收尾
 袂收煞
 荏身命
 袂和盤
 袂怪得
 衰旺
 袂要緊
 衰弱
 袂做得
 衰潲運
 送上山頭
 起水
 起毛摺
 起毛管
 財本
 起先
 討交替
 豈有
 起初
 記持䆀
 訕洗
 退時
 退時行
 逃閃
 起殺
 起蛟龍
 送葬
 起嗽
 記認
 起橫
 退燒
 貢糖
 退親
 高長大漢
 釘毒
 鬥相賽
 骨疼熱
 馬釘
 酒菜
 高粱
 高粱的
 鬥贏
 配藥
 酒麴
 酒罐仔
 做七
 停工
 做水災
 做木的
 做主
 做代誌
 假包的
 偷生
 偷作手
 偏私
 假的
 偏門
 偷咬雞
 假若
 偏音
 假面具
 做烏手的
 做買賣
 剪鈕仔
 假意
 偏號
 假錢
 偌濟工
 參一跤
 唱片
 唱名
 參考書
 動跤動手
 啖糝仔
 唸謠
 匾額
 問題
 國一
 國外
 國民
 執政
 堅強
 基模
 國曆
 專任
 婆姐母
 寄金
 寄喙
 娼寮
 娼頭
 宿題
 強劫
 得利
 張嫁粧
 強逼
 情況
 惜面底皮
 徙厝
 徛家厝
 惜寶
 捲心白菜
 排仙
 救主
 教囝
 敏豆仔
 採取
 控制
 救命
 掛念
 捲枝仔
 接近
 掠姦
 推屎蟲
 敗洩
 掩風
 掃梳荏仔
 接神
 推荐
 捷捷落
 捾桶
 掠痧筋
 掖粟種
 推算
 教養
 掛膭
 捻頭
 接縫
 推斷
 桸仔
 望江南
 斜眼
 望遠鏡
 晚輩
 棄
 涼的
 涼亭仔
 欲倚
 欲晝仔
 深目
 深色
 滇流
 深眠
 清爽
 深想
 清算
 清醒
 淡薄
 牽仔粿
 現在
 球埕
 猜測
 牽猴
 甜
 畢業
 理髮
 第二工
 符仔籙
 祭孤魯
 移徙
 笨傖
 章牌
 祭墓
 符籙
 粗牙
 組仔頭
 細目
 細百
 細叔仔
 細的
 粗面
 細食
 粗氣
 細粒石頭
 粗貨
 粗跤粗手
 細漢叔仔
 細漢的
 細嬸仔
 船肚
 聊聊仔是
 庄跤
 庄跤人
 荷蘭水
 處女
 莫名其妙
 規工
 規大堆
 規日
 被仔
 豉目
 被告
 設使
 豚
 貧
 逐工
 逐下昏
 貧戶
 販仔間
 貫耳
 這改
 通知單
 連相紲
 貧家
 貧惰仙
 貪睏
 逐暝
 貨範
 這擺
 頂月的
 釣仔
 頂世
 野外
 頂回
 頂年
 頂改
 陷阱
 陰府
 頂沿
 釣竿
 頂個月
 頂級
 陷落
 釣話
 部屬
 魚仔
 魚市
 麻米粩仔
 麻油雞
 魚乾
 麻黃仔
 麻煩
 鳥鼠仔色
 鳥鼠罩
 鳥鼠籠
 魚罾
 魚鱗刺
 善人
 喊名
 喜事
 喉空
 善信
 喙笑目笑
 割草鍥仔
 喝爽
 喙甜舌滑
 善終
 善報
 喙琴
 喝暢
 喉管滇
 喙齒縫
 喜齣
 堤
 圍身裙
 場面話
 報冤仇
 單單
 媠䆀
 寒天衫
 媌母
 寒假
 富貴花
 寒酸
 就學
 媌頭
 就職
 悶悶仔
 提早
 插事
 提紅包
 插條
 散赤人
 斑芝棉
 斑芝樹
 摒挕捒
 散食
 換喙齒
 散場
 換頭路
 散戲
 最
 棑仔
 期望
 減少
 款式
 欽佩
 渡船頭
 港口
 游泳
 湯飯
 無小心
 無心
 無天良
 無心腸
 無名
 猴死囡仔
 無老實
 牌位
 無注意
 無空榫
 無信用
 無按怎
 無面
 無面子
 煮食師傅
 無站節
 無記持
 無啥
 無夠力
 無情緒
 無桮
 無理
 無話講茭荖
 無盤
 焦瘦
 無錢人
 無錢飯
 無禮貌
 無禮數
 無額
 無關係
 煮麵
 無鹹無汫
 無變步
 發火
