音讀 詞目
thîng 停
thau 偷
tau 兜
tsián 剪
hù 副
li̍k 勒
bū 務
pû 匏
sî 匙
pián 匾
khu 區
tsham 參
liām 唸
kok 國
pi 埤
kian 堅
tui 堆
tóo 堵
kàu 夠
pô 婆
hun 婚
în 寅
tsiong 將
tsiòng 將
tsuan 專
thuah 屜
kiông 強
suá 徙
khong 悾
so 挲
phóng 捧
kńg 捲
liām 捻
hian 掀
tiāu 掉
pâi 排
ku̍t 掘
tshái 採
thàm 探
iám 掩
kiù 救
pāi 敗
tso̍k 族
poo 晡
tháng 桶
kuáinn 桿
liâu 條
tiâu 條
suh 欶
sat 殺
tô 淘
luī 淚
tshim 深
im 淹
lê 犁
tshai 猜
hiàn 現
hiān 現
kiû 球
lí 理
pân 瓶
tinn 甜
sán 產
tī 痔
hûn 痕
sīng 盛
bî 眯
kuàn 眷
tsè 祭
hû 符
pūn 笨
tē 第
lia̍p 粒
tshoo 粗
thiu 紬
khóng 紺
hiân 絃
tsoo 組
tûn 脣
póo 脯
tsing 舂
tsûn 船
ngeh 莢
bo̍k 莫
ham 蚶
su̍t 術
kui 規
kuat 訣
siat 設
tham 貪
sià 赦
tôo 途
tsuā 逝
thíng 逞
tsō 造
pōo 部
iá 野
tshuan 釧
pì 閉
puê 陪
hām 陷
tíng 頂
lo̍k 鹿
be̍h 麥
bâ 麻
tshong 創
tshòng 創
lô 勞
phok 博
thî 啼
siān 善
tshuán 喘
tshuì 喙
uî 圍
kham 堪
pò 報
tsun 尊
tsiū 就
bō 帽
sūn 循
ok 惡
tuî 捶
hong 揈
thê 提
uānn 換
tu̍h 揬
khi 敧
tháu 敨
kíng 景
tiâu 朝
kî 期
kî 棋
tsang 棕
tsó 棗
í 椅
khi 欺
phú 殕
thán 毯
kiám 減
tōo 渡
káng 港
ôo 湖
làm 湳
puē 焙
bû 無
tsú 煮
pâi 牌
kâu 猴
khîm 琴
huan 番
uē 畫
siáu 痟
sng 痠
kì 痣
sua 痧
tuán 短
kho̍k 硞
hīnn 硯
pit 筆
kiáu 筊
sún 筍
ân 絚
si 絲
hip 翕
pî 脾
koo 菇
tshài 菜
to̍h 著
tshâi 裁
bih 覕
sòo 訴
tsù 註
phîng 評
sû 詞
kuì 貴
pián 貶
huì 費
bāu 貿
ua̍t 越
pháu 跑
ku 跔
tsìn 進
soo 酥
tūn 鈍
liú 鈕
tuī 隊
gān 雁
tsi̍p 集
hûn 雲
hāng 項
sūn 順
ím 飲
tshui 催
tsè 債
thuánn 剷
khau 剾
tsâu 剿
bōo 募
huē 匯
sà 嗄
thap 塌
thah 塔
thióng 塚
thiām 填
ùn 塭
má 媽
só 嫂
hiâm 嫌
kàn 幹
tshiû 愁
ì 意
ài 愛
kám 感
tíng 戥
tshiû 揫
tsìnn 搢
siàn 搧
ùn 搵
kìng 敬
sin 新
àm 暗
huē 會
iâ 椰
lâm 楠
hùn 楦
gia̍p 業
hioh 歇
huí 毀
tsún 準
liu 溜
ik 溢
bia̍t 滅
ku̍t 滑
ian 煙
sa̍h 煠
huân 煩
iâ 爺
sai 獅
thâm 痰
muâ 痲
tshuì 碎
pi 碑
uánn 碗
pōng 碰
kìm 禁
pín 稟
khut 窟
kìn 絹
kûn 群
gī 義
phìng 聘
lê 腡
tsíng 腫
bān 萬
lak 落
làu 落
pha 葩
tsòng 葬
tì 蒂
hō 號
lâ 蜊
pôo 裒
hiû 裘
kûn 裙
póo 補
lí 裡
tshì 試
si 詩
uē 話
kai 該
khue 詼
tiô 趒
kha 跤
kuī 跪
lōo 路
thiàu 跳
tsài 載
tsáinn 載
lông 農
pik 逼
gū 遇
iû 遊
at 遏
tō 道
lîng 鈴
sian 鉎
iân 鉛
kau 鉤
tshìng 銃
tsa̍h 閘
luî 雷
pha̍uh 雹
bông 雺
tiān 電
hia 靴
tshī 飼
khun 髡
kóo 鼓
sàu 嗽
thàn 嘆
tôo 圖
thuân 團
kíng 境
tiām 墊
siū 壽
tua̍t 奪
kuá 寡
tsē 寨
tuì 對
bōo 幕
ìm 廕
tshám 慘
bān 慢
siak 摔
tshui 摧
tsih 摺
tsham 摻
phiat 撇
khau 敲
uat 斡
kî 旗
thiòng 暢
sún 榫
thuî 槌
tshiunn 槍
kǹg 槓
siàm 滲
lóo 滷
kún 滾
phiau 漂
tshat 漆
ián 演
au 漚
àu 漚
hàn 漢
hannh 熁
sit 熄
hîm 熊
gî 疑
tsīn 盡
thuànn 碳
hok 福
khoo 箍
po̍h 箔
tsàng 粽
tshái 綵
liú 綹
kín 緊
hua̍t 罰
thuí 腿
ko 膏
bú 舞
suàn 蒜
tshio̍h 蓆
bi̍t 蜜
iú 誘
kài 誡
gōo 誤
sia 賒
kuánn 趕
se̍h 踅
lua̍h 辣
phí 鄙
kànn 酵
ka 鉸
tâng 銅
khàu 銬
koh 閣
khiah 隙
piánn 餅
hûn 魂
hōng 鳳
phīnn 鼻
ik 億
khiām 儉
kiàm 劍
liâu 嘹
pho̍k 噗
tuī 墜
kiau 嬌
sím 審
siá 寫
liâu 寮
tsân 層
huan 幡
biō 廟
tshiúnn 廠
huì 廢
tik 德
iu 憂
the 撐
lián 撚
tōng 撞
pòo 播
tsiām 暫
tsiúnn 槳
tsô 槽
ga̍k 樂
lo̍k 樂
lâu 樓
bôo 模
thâm 潭
ut 熨
gô 熬
tsióng 獎
liû 瘤
pōng 磅
kha̍p 磕
kó 稿
iô 窯
ha̍h 箬
tsìnn 糋
suànn 線
iân 緣
uān 緩
liān 練
pā 罷
hu 膚
mo̍oh 膜
ka 膠
phòo 舖
tsià 蔗
tshang 蔥
ìm 蔭
hê 蝦
sat 蝨
tshiong 衝
po 褒
puè 褙
tiâu 調
tiāu 調
tâm 談
lūn 論
sù 賜
hiân 賢
tsiān 賤
tsit 質
tóo 賭
lián 輦
puè 輩
lûn 輪
tshian 遷
lîn 鄰
am 醃
tsuì 醉
tshòo 醋
siau 銷
phoo 鋪
tân 霆
khò 靠
gō 餓
nāu 鬧
phik 魄
lóo 魯
khí 齒
gîng 凝
khì 器
ìng 壅
hiàn 憲
lún 懍
tsiàn 戰
luî 擂
ti̍k 擇
khîm 擒
tsíng 整
kue̍h 橛
pûn 歕
kik 激
ting 燈
tūn 燉
sio 燒
thǹg 燙
au 甌
muâ 瞞
tsik 積
ko 篙
tshuàn 篡
thai 篩
ko 糕
thn̂g 糖
pa̍k 縛
kuān 縣
hing 興
hìng 興
luí 蕊
thǹg 褪
thí 褫
khòo 褲
gio̍h 謔
niau 貓
phîn 蹁
su 輸
pān 辦
suán 選
pió 錶
iam 閹
suî 隨
hiám 險
tiau 雕
siù 鞘
ām 頷
ānn 餡
kuán 館
ah 鴨
pang 幫
hì 戲
peh 擘
tshat 擦
tóng 檔
siap 澀
sip 溼
sò 燥
tshiûnn 牆
gâm 癌
siân 禪
suī 穗
liân 聯
lîm 臨
khau 薅
kiunn 薑
hiam 薟
khok 觳
liàn 輾
thuî 錘
liān 鍊
ko 鍋
khuah 闊
ún 隱
liâm 黏
tiám 點
luí 壘
khòng 壙
thok 戳
pái 擺
kuī 櫃
kui 歸
lī 濾
sià 瀉
phia̍h 甓
àng 甕
phiah 癖
phia̍h 癖
lé 禮
siau 簫
niû 糧
tsit 織
siù 繡
khiàu 翹
huan 翻
tsit 職
hun 薰
phiô 薸
siân 蟬
giô 蟯
tsîm 蟳
su 軀
i 醫
tsiùnn 醬
só 鎖
tìn 鎮
siang 雙
tsa̍p 雜
lī 離
gân 顏
tshiûnn 颺
iānn 颺
liū 餾
tsang 鬃
tsit 鯽
phan 攀
láng 攏
lóng 攏
lóo 櫓
tû 櫥
luā 瀨
gāi 礙
ún 穩
puà 簸
tshiam 簽
phōo 簿
kiáu 繳
gē 藝
than 蟶
tsìng 證
sik 識
phóo 譜
kiànn 鏡
pio 鏢
lān 難
bū 霧
ūn 韻
guān 願
luī 類
phiàn 騙
hôo 鬍
khak 麴
giâm 嚴
pó 寶
tshînn 瀳
lôo 爐
hiàn 獻
tshuah 礤
khòng 礦
huân 礬
báng 蠓
pīnn 辮
tsing 鐘
phiau 飄
tshi 鰓
kiâm 鹹
tóng 黨
tshut 齣
uang 嚾
liap 攝
tsinn 櫼
kuàn 灌
lân 蘭
piān 辯
lōo 露
pà 霸
hiáng 響
kòo 顧
lông 囊
uan 彎
tshuân 攢
tsâng 欉
khuân 權
thuann 灘
sián 癬
sio̍k 贖
tsù 鑄
liân 鰱
muâ 鰻
piō 鰾
kiáu 攪
tshiam 籤
giām 驗
lám 攬
kuàn 罐
tshàm 讖
lîng 靈
hāu 鱟
ing 鷹
iâm 鹽
uan 灣
phàn 襻
tshîm 鑱
khau 鬮
lô 鑼
lôo 鱸
gōng 戇
ut 鬱
pa̍k 贌
tàng 㨂
siam 䀐
khiap 㾀
gâu 𠢕
uáinn 𨂿
lān 𡳞
phín 𥰔
ńg 䘼
bái 䆀
siānn 𣛮
tòo 𪐞
lîng 𦊓
thē 䖳
tāi 𩸙
khat 𣁳
tsānn 㨻
gàn 
siāng 
ian 嫣
thok 託
pih 湢
pháng 麭
thōng 宕
kau 郊
hán 喊
hmh 摁
sui 嗺
tòng 噸
to̍h 擇
tshok 簇
lau 蹓
tshuan 川
í 已
ûn 云
hōo 互
kiû 仇
kài 介
guân 元
hūn 分
tshè 切
bu̍t 勿
ki̍p 及
iáu 夭
siàu 少
tūn 屯
pa 巴
huàn 幻
tiàu 弔
ua̍t 曰
tái 歹
ngâu 爻
khián 犬
tshiánn 且
tsú 仔
thann 他
tiōng 仗
tshian 仟
tshiong 充
tshong 匆
tsiam 占
līng 另
tiàu 召
pah 叭
iū 右
īn 孕
tsó 左
hông 弘
pit 必
phok 扑
tá 打
thik 斥
tsat 札
íng 永
hiân 玄
tiân 田
mâu 矛
môo 矛
sí 矢
hô 禾
tiu 丟
ki 乩
gióng 仰
tiōng 仲
ngóo 仵
khì 企
ngóo 伍
ho̍k 伏
hiong 兇
lua̍t 劣
guî 危
tshùn 吋
lī 吏
kui 圭
î 夷
bōng 妄
tshûn 存
ú 宇
tshún 忖
tsí 旨
sûn 旬
hiok 旭
phoh 朴
hiú 朽
u 汙
hue 灰
ú 羽
li̍k 肋
ki 肌
tsì 至
khū 臼
tsiu 舟
hing 亨
líng 伶
tiān 佃
tān 但
nā 但
tsū 住
tsò 佐
iū 佑
iá 冶
san 刪
lóo 努
tsik 即
līn 吝
hónn 否
phí 否
ngôo 吳
bún 吻
ngôo 吾
thîng 呈
khùn 困
sap 圾
tsí 址
tsòng 壯
gián 妍
tòo 妒
ki 妓
thò 妥
hông 妨
tsu 孜
hông 宏
hi 希
pì 庇
tîng 廷
hóng 彷
kī 忌
ngóo 忤
khuìnn 快
kài 戒
i̍k 扼
khòng 抗
tsik 折
kìng 更
sam 杉
tōo 杜
kí 杞
kuat 決
khì 汽
sím 沈
tūn 沌
bo̍k 沐
bu̍t 沒
phài 沛
kù 灸
bóo 牡
hú 甫
ting 町
siù 秀
kiù 究
bông 肓
siàu 肖
tiú 肘
kong 肛
io̍k 育
liông 良
tsiok 芍
kiong 芎
kok 谷
thuā 豸
puè 貝
sìn 迅
ip 邑
pang 邦
ńg 阮
hiáng 享
hióng 享
puē 佩
ló 佬
ka 佳
pìng 併
i 依
hâm 函
kuat 刮
suat 刷
pi 卑
ha̍h 協
hia̍p 協
tsiu 周
hō 和
hai 咍
kiū 咎
hù 咐
ka 咖
kòo 固
pho 坡
khun 坤
khia̍t 坷
hōng 奉
phun 奔
nî 妮
thán 妲
tsiá 姐
sāi 姒
uí 委
bīng 孟
tsong 宗
tiū 宙
uán 宛
gî 宜
kong 岡
