分訴	VE
分詞	Na
分讓	
分貝	Nf
分財產	
分贓	VA
分贓	VA
分路	VA;Na;Dh
分辨	VC
分辯	VE
分道	
分道嘴	
分部	Na
分配	VD
分野	Na
分量	Na
分金	
分針	
分銷	VC
分鐘	Nf
分開	VR
分開	VR;VA
分開khia7	VH
分開帶	VH
分開食	VA
分院	Nc
分隊	Na
分隔	VJ
分離	VH
分額	Na
分類	VB
分食	VA;VB;VH
分飯	VA
分餅	VA
分香	
切	VC;b
切傷	
切入	VC
切削	VC
切合	VJ
切實	VH
切忌	VE
切氣	VA;Dh;VH
切片	Na
切碎	VR
切結	VA
切腹自殺	VA
切莫	Db
切記	VE
切貨	VA
切身	A
切開	VR
切除	VC
刊	VC
刊出	VR
刊物	Na
刊登	VC
刊行	VA
刊載	VC
刑	Na;b
刑事	Na
刑具	Na
刑場	Nc
刑庭	Nc
刑期	Na
刑案	Na
刑求	
刑法	Na
刑罰	Na
刑警	Na
刑責	Na
划	VC
划橫流	VA
划算	Na;VE
划船	VA
划船的	Na
列	VC;Nf
列位	Nh
列入	VC
列出	VC
列印	VC
列國	Na
列寧	Nb
列島	Na
列席	VA
列強	Na
列為	VG
列祖	
列舉	VC
列舉be7了	VH
列表	Dh
列車	Na
列隊	Dh
刜	VC
刜草	
初	Dd;Ng
初	Dd;Ng
初一	Nd
初中	Nc
初初	Dd
初學者	Na
初審	VC
初戀	Na
初旬	Nd
初時	Dd
初期	Nd
初步	Dd;A
初犯	Na;VC
初皮	Na
初稿	Na
初級	A
初衷	Na
初試	Na;VC
初賽	Na
初選	VA
判	VF
判	VF;VJ
判例	Na
判刑	VB
判官	Na
判定	VE
判斷	VE
判案	VA
判決	VE
判決書	Na
別	Db;Ne
別世	VH
別人	Na
別位	Nf
別位無	
別個	
別出心裁	VH
別卦	
別墅	Na
別姓	A
別帶	
別庄頭	Nc
別所在	
別搭	VC
別日	Dd
別日	Dd;Nd
別樣	
別款	
別派	
別的人	Nh
別種	
別莊	Na
別號	Na
別跡	
別離	VH
別項	
利	Dd;Na;VH
利	Na;VH
利上利	Na
利上加利	
利仔錢	Na
利他	VH
利便	VL;VH
利刀	Na
利割	Db;VI;VL;VH
利劍劍	VH
利口	VH
利器	Na
利器	Na
利子	Na
利害關係	
利尿	
利尿劑	Na
利己	VH
利市	b;VH
利弊	Na
利得	Na
利息	Na
利息	Na
利於	VJ
利欲	
利比亞	Nc
利水	
利水	
利流	VH
利率	Na
利用	VC
利用廢物	
利用機會	
利用良機	
利益	Na
利益人	VH
利純	Na
利絞利	
利脾	
利誘	VC
利路	Na
利錢	Na
利頭	Na
利馬	Nc
刪減	VC
刪除	VC
刮	VC
刮	VC
刮先	
刮皮	
到	Db;VC;Df
到	Di
到	P6;Ca;VC
到taN	Dd
到今	Dd;Nd
到位	VC
到厝	VA
到地	VC
到坎	Nc
到家齣	
到尾	Db;Dd
到尾仔	Dd;Na;Dk
到尾來	Dd
到崁	Na;VH
到底	Db
到底	Db
到底	Db;Na
到所在	Dg
到手	VH
到手芳	
到旦	Dd
到時	Dd
到月	VA
到期	Dd;VH
到本	VH
到極角	Nc
到歲	VH
到熟水	VH
到甲	P1;Cb
到盡磅	
到繼草	
到職	VH
到落尾	Dd
到詣	Dg
到路尾	Dd
到載	Nc;VC
到透底	VH
到限	VH
到齊	VH
制	b
制伏	VC
制喉	
制壓	VC
制定	VC
制度	Na
制度化	VH
制式	A
制憲	VA
制服	Na
制煞	
制空權	Na
制約	VC
制衡	VA
制裁	VC
制訂	VC
制限	VF;Na
刷	Na;VC
刷	VC
刷	VC
刷新	VC
刺	Na;VC
刺	VC
刺chhoaN	
刺gia5-gia5	VA;VH
刺kui	Na
刺phe3	Na
刺乳	Na
刺五加	
刺人目	
刺仔	Na
刺仔埔	
刺仔子	
刺仔心	
刺仔花	Na
刺冬	
刺刀	Na
刺吐	VA
刺字	VA
刺字	VB
刺客	Na
刺心	VH
刺杜密	
刺果	
刺柑仔	
刺柿	Na
刺格	
刺桐	Na
刺楠	
刺殺	VC
刺毛蟲	Na
刺江某	
刺波	
刺激	VC;VH
刺激性	Na
刺球	Na
刺球仔	
刺球花	
刺瓜	Na
刺疫	VH
刺皮鞋	
刺盤	
刺目	VH
刺目	VH
刺竹	
刺繡	VA
刺繡	VA
刺膨紗	
刺膽	Na
刺花	VA;VB
刺茄	
刺草	Na
刺莓	Na
刺莧	
刺蒐	
刺蔥	
刺號	VA;VB
刺蝟	Na
刺螺	
刺血刀	Na
刺豬	Na
刺身	Na
刺酸	Na
刺鑿	Na;VH
刺鞋的	Na
刻	VC;Nf
刻不容緩	VH
刻刀	Na
刻剝	VC
刻劃	VC
刻印	VA
刻印仔	
刻字	VA
刻意	Dh
刻板	VH
刻沉	
刻浮	Na
刻版	
刻筆	Na
刻花	VA;Na
刻苦	VH
刻薄	VH
刻針	
剁掉	
剁斷	
剁肉	
剁頭	VB
剃光光	
剃光頭	
剃嘴鬚	VB
剃頭	VB
剃頭刀	Na
剃頭師傅	Na
剃頭店	Nc
剉	VC
剉掉	VR
剉柴	VA
剉柴夫	Na
剉樹	VA
剉樹仔	VA
削	VC
削人	VC
削刀	
削削叫	VA;VH
削孤枝	VA
削弱	VC
削減	VC
削皮	
削皮魚	
削竹箭	VA
削肉	
削肩	
削面子皮	VC
剋	VC;VH
剋斂	VC
剋星	Na
剋星	Na
剋歛	
剋父母	
前一暝	Nd
前世	
前世人	Na
前世債	Na
前世冤	
前世業	Na
前人	Na
前人囝	Na
前任	
前來	VC
前例	Na
前兆	Na
前兆	Na
前功盡棄	VA
前半暝	
前回	
前因	Na
前埕	Nc
前夜	Nd
前妻	Na
前嫌	Na
前幫	
前往	VC
前後	Dd;Ng
前所未見	VH
前手	
前提	Na
前提	Na
前擴	Na
前擺	
前改	
前斗	
前方	Nc
前日	Nd
前景	Na
前暗	Nd
前暝	Nd
前某	Na
前某囝	
前瞻	VC
前科	Na
前線	Nc
前緣	Na
前翁	Na
前者	Nh
前落	
前衛	VH
前裾	
前言	Na
前身	Na
前車之鑑	Na
前輩	Na
前述	Na
前途	Na
前進	
前進	VC
前過	Nd;Ng
前鋒	Na
前鎮	Nc
前門	Nc
前院	Nc
前陣	Na
前面	Nc;Na
前齒	Na
剎	b
剔剔	VC
剔嘴齒	VA
剔指	
剔斥	VC
剔算盤	VB
剖屍	
剖屍	
剖旁	
剖開	VR
剛	Dd
剛強	VH
剝	VC
剝光光	
剝削	VC
剝削	VC
剝地皮	VC
剝奪	VC
剝殼	
剝皮	VA;VB
剝皮羊	
剝皮魚	
剝裼裼	
剝走	
剝開	VR
剝開	VR;VC
剝面皮	
剝骨	
剝黜	VC
剩	VJ
剩	VJ
剩	VJ
剩落來	VR
剩額	Na
剩飯	Na
剩餘	VJ
剪	VC
剪liu2仔蟲	Na
剪仔	Na
剪儌	
剪報	VA;Na
剪接	VC
剪眉	Na
剪票	
剪紐仔	Na
剪紙	VA
剪絨	Na
剪絨仔花	Na
剪絨花	
剪綵	VA
剪落來	VR
剪蟲	Na
剪裁	VC
剪輯	VC
剪鑼	b
剪頭	VB
剪魚	Na
副	A;Nf
副主席	Na
副作用	Na
副刊	Na
副司令	Na
副廠長	Na
副房	Na
副所長	Na
副教授	Na
副會長	Na
副本	Na
副校長	Na
副業	Na
副理	Na
副產品	Na
副產物	Na
副社長	Na
副總	Na
副總裁	Na
副署	Nc
副議長	Na
副院長	Na
副食	Na
割	VC;Nf
割傷	
割價	Na
割喉	VA
割嘴鬚	VB
割定	VK
割店	Na
割引	Na
割捨	VC
割斷	VA;VC
割火	
割疼	VA
割盲腸	
割禮	Na
割稻仔	
割稻尾	VA;VH
割絕	VA
割腸肚	VH
割草刀	
割草機	
割讓	VD
割貨	VA
割除	VR
割頷	VA
割香	
創	VC;VG
創下	VR
創作	VA;Na
創傷	Na
創出	VC
創刊	VA
創厝	
創啥	VA;Dj
創啥乜	Dj;VH
創啥物	Dj;VH
創垃圾	VR
創始人	Na
創局	
創建	VC
創意	Na
創戇	VC
創新	VA
創景	VA;Na;VC;VE
創景人	VA
創業	VA
創歹	VR
創治	VC
創清楚	VA
創無好	
創空	VA;VC
創立	VC
創耍個	
創舉	Na
創設	VC
創辦	VC
創造	VC
創造出	VR
創造力	Na
剷平	VC
剷除	VC
剸	
剸死	VC
剸殺	VC
剸臍	
剿	b
剿滅	VA;VC
劃	Nf
劃	Nf
劃	Nf
劃	VC;Nf
劃一	VH
劃一不二	VH
劃出	VR
劃分	VC
劃定	VR
劃撥	VC
劃撥	VC
劃撥	VC
劃時代	A
劃歸	VR
劃法	Na
劃清	VR
劃清界線	VA
劃界	VA
劃界	VA
劃策	
劇	b
劇	b
劇	b
劇	b
劇中	Nc
劇作家	Na
劇團	Na
劇場	Nc
劇場	Nc
劇情	Na
劇情	Na
劇本	Na
劇本	Na
劇毒	Na
劇烈	VH
劇牙	VH
劇變	Na
劇院	Nc
劉寄奴	
劉邦	Nb
劊子手	Na
劊子手	Na
劌痧	VA
劍	Na;VH
劍匣	
劍束	
劍橋	Nc
劍潭	Nc
劍蘭	
劍道	Na
劍鞘	
劍魚	
劍魟	
劍鯊	
劑	Nf
力	Na
力	Na
力不從心	VH
力勸	VF
力圖	VF
力士	Na
力尾	Na
力水	
力求	VF
力爭	VE
力草	Na
力行	VC
力量	Na
力頭	Na
力魚	
功	Na
功	Na
功不可沒	VH
功利	VH
功力	Na
功勞	Na
功勞錢	Na
功名	Na
功夫	Na;VH
功夫底	Na
功德	Na
功效	Na
功率	Na
功用	Na
功績	Na
功能	Na
功臣	Na
功課	Na
功過	Na
加	Ne;Nc;VC;Da;Ng;Df;VH
加	VC
加hak	VC
加kham3	VC
加上	VR
加了工	
加以	Dh
加侖	Nf
加倍	Na;Df
加值	A
加偌	Df
加偌	Df
加入	VC
加入舊	
加冠面	Na
加冷損	Na
加出來	
加十	Nf;Df
加卡	Df
加印	VC
加句	
加嘴	VH
加嘴舌	VH
加囉嗦	
加圇	Na;VH
加圇個	
加圇吞	
加壓	VB
加大	VR
加孔魚	Na
加定	VC
加害	VC
加少	Ne;Na;Da
加少仔	Ne;Da
加工	VA
加工	VH
加工區	Nc
加工品	Na
加工廠	Nc
加工業	Na
加布棉	Na
加張	VC
加強	VC
加快	VH
加成	VA
加拿大	Nc
加插	VA
加收	VD;VC
加數	Na
加權	A
加水	
加油	VB
加油站	Nc
加派	VF
加深	VJ
加添	VC
加添	VR;VC;VH
加減	Ne;VC;Da
加減好	VH
加減聽	
加減講	
加煩惱	VI
加熱	VB
加班	VA
加盟	VC
加真好	
加真貴	
加破埔	
加穿衫	
加給	Na
加網	
加緊	VC
加苦氣	Na
加菜	VA
加菜金	Na
加薪	VB
加蚋吧	Nc
加衰e5	Na
加補	VC
加註	VC
加話	VA;Na;VH
加誣	VC
加謗	
加講話	VH
加護	A
加貝	Na
加起來	VR
加轆	Na
加速	VC;Dh
加重	VC
加長	VH
加長個	
加閣	Df
加陰	Na;VH
加陰寒	VH
加額	A;VJ
加高	VB
劣勢	Na
助	VF
助力	Na
助動詞	Na
助學金	Na
助手	Na
助教	Na
助理	Na
助理員	Na
助產士	Na
助益	Na
助膽	VB
助詞	Na
助贊	VD
助贊	VD;VC
助長	VJ
助陣	VA
努	b
努力	VH
努氣	
劫	VD;Na;VH
劫匪	Na
劫持	VC
劫掠	VC
劫數	Na
劫棺	VA
劫機	VA
劫監	VA
劫難	Na
勁	VC
勁	b
勁敵	Na
勁旅	Na
勁風	Na
勃	b
勃勃	VH
勃然	Dh
勇	Dh;VH
勇健	VH
勇固	VH
勇士	Na
勇壯	VH
勇往直前	VA
勇掔掔	VH
勇敢	VH
勇於	VL
勇桀桀	VH
勇氣	Na
勇猛	VH
勇身	VH
勇身命	VH
勇龍龍	VH
勉力	Dh
勉勵	VC
勉強	VF;VH
勉為其難	VH
勒	VC
勒	VC
勒令	VF
勒痕	Na
勒目眉	VA
勒目眉	VA
勒索	VD
勒贖	VC
勒馬	VA
勒馬索	
動	VA
動	VA
動亂	VH
動人	VH
動作	Na
動兵	VA
動刀兵	VA
動力	Na
動向	Na
動員	VA
動員令	
動土	VA
動容	VH
動工	VA;VH
動干戈	VA
動心	VI
動情	VA
動態	Na
動手	VA
動手	VA;VF
動手動腳	VA
動手術	VB
動拳頭	VA
動拳頭母	
動搖	VH
動植物	Na
動機	Na
動武	VA
動火	VH
動物	Na
動物園	Nc
動物學	
動物標本	
動物界	Na
動產	Na
動用	VC
動畫	Na
動盪	VH
動筆	VA
動粗法	VA;VB
動胎神	
動能	Na
動脈	Na
動脈硬化	VH
動腳手	
動著	VC
動詞	Na
動議	Na
動身	VA
動輦車	Na
動霆	Na
動靜	Na
動鼓樂	VA
勘	VC
勘印仔	VA
勘土	Na
勘察	VC
勘查	VC
勘步	
勘測	VC
勘雨	
勘驗	VC
務實	VH
務本	VH
務求	VE
勝	VH
勝任	VJ
勝利	VH
勝利者	Na
勝券	Na
勝地	Na
勝景	Na
勝算	Na
勝訴	Na
勞	VF
勞作	VA;Na
勞保	Na
勞保局	Nc
勞力	Na
勞力士	Nb
勞動	VF
勞動力	Na
勞務	Na
勞基法	Na
勞工	Na
勞役	Na
勞心	VH
勞方	Na
勞業	VH
勞民	VH
勞煩	VF;VH
勞碌	VH
勞碌命	VH
勞神	VF
勞累	VH
勞累	VH
勞苦	VH
勞資	Na
勞軍	VA
勞駕	VF
募得	VJ
募捐	VC
募款	VA
募集	VC
勢	Na;b
勢力	Na
勢在必得	VH
勢在必行	VH
勢將	Db
勢所難免	VH
勢故	Na;VJ
勢面	Na;Nf;Ng
勢頭	Na;VH
勤	VH
勤儉	VH
勤勉	VH
勤務	Na
勤務兵	
勤奮	VH
勤學	VH
勤快	VH
勤練	VC
勤苦	VH
勤讀	
勳章	Na
勵志	A
勸	VF
勸	VF
勸世	
勸世文	
勸募	VD
勸勸	VF
勸化	VF
勸告	VF
勸和	VC
勸善	VA;VF
勸業	VA
勸煞	VA
勸解	VA
勸誘	VF
勺	b
勺仔	Na
勺仔	Na
勻	VA;Na;VC;VH
勻仔是	VH
勻仔行	
勻仔遨	
勻仔遨	
勻勻	VH
勻勻仔	Dd;Dh;VH
勻勻仔來	
勻街	VA
勼之溜	
勼勼	VH
勼勼狹狹	VH
勼去	VH
勼手	
勼水	VH
勼燒	VA
勼狹	VH
勼短	VR
勼筋	VH
勼細	VH
勼絞痛	
勼腳	VA;VH
勼腳站	
勼腳筋	
勼退	VA
勼鼻	
勾引	VC
勾當	Na
勾當	Na
勾目尾	
勾起	VR
勿	Db
包	VC;Nf;Nb
包pak8	VD
包仔	Na
包仔鞋	Na
包伙食	
包保	VC;VE
包傷布	Na
包公	Nb
包冊紙	Na
包含	VJ
包商	Na
包圍	VC
包墘	VB
包容	VJ
包封	
包工	Na;VB
包庇	VC
包廂	Na
包抄	VC
包括	VK
包換	VH
包攬	VC
包攬尾	VB
包月	
包機	VA;Na
包死	
包決	VE
包涵	VJ
包用	
包皮	Na
包皮紙	
包種茶	
包穡頭	Na;VB
包穩	Db;Na;VI;VC;VE;VH
包紙	
包紮	VC
包羅萬象	VH
包腹	
包船	Na
包莖	Na
包葉蟲	
包蓑	Na
包袱	Na
包裝	VC
包裝紙	Na
包裹	Na
包贏	
包起來	
包車	Na
包輸	
包辦	VC
包醫	
包銷	VC
包領	VE
包頭	
包頭巾	Na
包頭白	
包食穿	VA
包飯	VA
包飼	
包餡	
匆促	VH
匈奴	Nb
匈牙利	Nc
匊首仔	Na
匏	b
匏仔	
匏桸	Na
匕首	Na
化	VC
化	VG;VH
化人	VA
化化	VH
化合物	Na
化名	VG
化妝	VB
化工	Na
化工業	Na
化整為零	VH
化石	Na
化石樹	
化石草	
化礐	Nc;Na
化糞池	Na
化緣	VD;VA
化裝	VC
化裝油	Na
化解	VC
化解	VC
化身	Na;VC
化驗	VC
北	Nc;Ng
北上	VA
北京大學	Nc
北仔	Na
北仔癖	
北仔話	
北仔餅	Na;VC
北伐	VA
北勢	Nc
北勢	Nc
北區	Nc
北半球	Nc
北埔	
北大	Nc
北大西洋	Nc
北宜	Nc
北岸	Nc
北市	Nc
北帶	Nc
北平	Nc
北投	Nc
北投區	Nc
北斗	Nc
北斗星	Nb
北方	Nc
北旁	Nc
北極	Nc
北歐	Nc
北海	Nc
北海岸	Nc
北海道	Nc
北港	Nc
北港溪	Nc
北溫帶	Nc
北爿	Nc
北管	
北管戲	
北約	A
北緯	Na
北縣	Nc
北美	Nc
北美洲	Nc
北蔥	Na
北部	Nc
北醫	Nc
北門	Nc
北非	Nc
北面	Nc
北韓	Nc
北頂	Nc
北頂人	Na
北頂話	Na
北風	Na
北馬	VH
北鴨	
北鷂	
北鼓	Na
匙	Nf
匙仔	Na
匠心	Na
匡正	VC
匣仔	Na
匪	b
匪徒	Na
匪諜	Na
匪類	Na
匯兌	VC
匯兌	VC
匯出	VR
匯單	
匯報	Na
匯款	VA
匯流	VH
匯率	Na
匯率	Na
匯票	Na
匯豐銀行	Nc
匯費	Na
匯集	VC
匹	Nf
匹偶	Na
匹敵	VI
匹配	Na;VH
匹頭	Na
匾	Na
匿ti7	VR
匿名	VH
區	Nf;Nb
區公所	Nc
區分	VC
區別	VC
區劃	VC
區區	Da
區域	Nc
區域性	Na
區段	Na
區長	Na
區間	Na
區隔	VC
十一叔	Na;VH
十一哥	VH
十一指	Na;VH
十三點	Nf;VH
十二月冬	Nd
十二紅	
十全	A
十全	A;VH
十八仔	Na
十八殿	
十分	Nf;Df
十分的	Nf;Df
十字互	
十字扯	
十字架	Na
十字語	Na
十字路	Na
十成金	Na;A
十成銀	
十扳仔	Na
十月冬	
十月液	Nd
十條誡	Na
十樣錦	
十虎利	Na
十足	Df;VH
十路全	Na;VH
十里香	
千	Ne;Nb
千	VH
千tu2沖	VJ
千不幸	Cb
千古	Na
千家貨	Na
千家路	Na
千層剝	Na
千層皮	
千年桐	
千抵千	VH
千斤力	Na
千斤拔	
千斤秤	Na
千斤草	Na
千日紅	
千歲蘭	
千燭	Nf
千瘡百孔	Na
千篇一律	VH
千萬	Db;Nf
千赫	Nf
千辛萬苦	Na;Dh;s
千里光	
千里彪	Na
千里急	
千里鏡	Na
千里馬	Na
千里駒	Na
千金	Na
千頭萬緒	Na
卅九日烏	Nb;b;VH
升	VC;VG
升值	VJ
升學	VA
升學主義	Na
升官	VH
升旗	VA
升旗典禮	Na
升格	VH
升空	VA
升等考試	Na
升級	VH
升聲	Na
升起	VA
升遷	VA
升降	VC
升降機	Na
升高	VR
午仔魚	
午休	VH
午夜	Nd
午時	Nd
午時	Nd
午時正	Nd
午時花	
午時花	
午時蓮	Na
午線	Na
午間	Nd
午餐	Na
半	Ne;Da
半\|臥虒	
半chhit-tho5	
半iau飽	
半iau餓	
半the倒	
半丁	
半丁	Na
半丁	Na
半丁	Na
半上仔	Na
半上路下	Nc
半世人	Na
半世代人	
半中剸	Nc
半中央	Nc;Ng
半中欄	Nc
半中段	Nc
半中站	Nc
半中而剸	
半中腰	Dh
半中途	Nc
半仙	Na
半仿仔	Na
半信疑	VI
半個月	
半倒水	
半價	Na
半冬	
半凋	
半剸	Da
半剸歇	VH
半叮噹	Na
半吊	Na
半吞吐	VA
半囝	
半圓	Na
半坐椅	
半夏	
半天	
半天仔	Na
半天雷	
半天飛	Na
半天鳥	Na
半奸忠	Na
半子	Na
半季考	Nf
半導體	Na
半小死	VH
半山	Nc
半島	Na
半嶺	Nc
半工	
半年紅	Na
半強欲	
半徑	Na
半心適	
半憨	Na
半戇定	
半打	
半挨推	VA
半攬浮	Na
半支蓮	
半數	Ne
半新	
半新舊	
半旁	
半旁天	
半旗	
半日	
半日	
半明半暗	
半晝仔	
半晡	Nd
半暝	Nd
半暝半	Nd
半暝後	
半暝月	Na
半月日	
半枝蓮	
半桶司	Na
半桶屎	Na;VH
半桶師	
半桶水	Na;VH
半桶靴	
半條氣	
半樓	Na
半樓仔	Na
半橛	
半歁	Na
半死	VH
半沉浮	
半浮沉	
半澹凋	
半烏白	VH
半熟	VH
半燒冷	
半爿	
半爿天	
半爿魚	Na
半牆仔	Na
半球	Nc
半生	Na
半生拉熟	VH
半生殽	VH
半生熟	
半生熟	VH
半產	VH
半男陽	Na
半番	Na
半病	Na;VH
半痟	Na
半癲戇	
半白	VH
半百	M
半目開瞎	
半睏醒	
半硬軟	VB
半票	Na
半站	Nc
半節	
半簸箕	
半簾懸	
半籠浮	Na
半籠米	Na
半精戇	Na
半精白	
半精白	
半精肉	
半精肥	
半絲	
半老少	Na
半老老	Na
半耍笑	
半聲半	VA
半腰	Na
半舊	
半舊相	
半舊落	
半草楷	Na
半行走	
半謽軟	VB
半買半送	
半赤白	
半赤肉	
半赤肥	
半跪	
半路	Nc
半路司	Na
半路師	Na
半路死	
半身	Dg
半身不	VH
半身像	
半躺倒	
半載	
半途	Nc
半途而廢	VH
半遂	
半遂	Na;VH
半邊蓮	
半醉	
半醒半睏	
半醒眠	Na
半長m3磽巡	
半長短	
半陰陽	Na;VH
半靴	
半頭生	Na;VH
半頭青	
半頭風	Na
半食thit	
半食餓	
半飽	VH
半鹹chiaN2	
半點鐘	
半	VH
卑	b
卑下	VH
卑南	Nc
卑微	VH
卑賤	VH
卑鄙	VH
卒	Na
卒仔	Na
卒業	VH
卓	Nb
卓蘭	Nc
卓鯤	
協	b
協力	Dh
協助	VC;Dh
協同	P6;Dh
協和	VH
協商	VE
協奏	VA
協奏曲	Na
協定	VE
協心	VH
協會	Na
協理	Na
協約	Na
協調	VC
協談	
協議	VE
協辦	VC
南	Ng
南下	VC
南亞	Nc
南京	Nc
南京東路	Nc
南側	Nc
南勢	Nc
南勢	Nc
南北	Nc
南北交	VD
南北貨	Na
南區	Nc
南台	Nc
南山	Nc
南山人壽	Nb
南庄	Nc
南投	Nc
南投市	Nc
南投楠	
南投縣	Nc
南斯拉夫	Nc
南方	Nc
南方澳	Nc
南旁	Nc
南昌	Nc
南極	Nc
南洋	Nc
南洋杉	
南洋群島	Nc
南海	Nc
南港	Nc
南港區	Nc
南澳	Nc
南澳柑	
南爿	Nc
南端	Nc
南竹	
南管	Na
南緯	Na
南美	Nc
南美洲	Nc
南茶	Na
南蛇	
南蠻辛	Na
南路鷹	
南迴鐵路	Na
南部	Nc
南門	Nc
南開	Nc
南陽	Nc
南非	Nc
南面	Nc
南韓	Nc
南風	Na
南風天	Na
南風戇	Na
南風草	
博	Na;b
博	VK;b
博	b
博儌	VA
博儌仙	Na
博儌漢	Na
博儌腳	Na
博取	VJ
博士	Na
博士博	
博士班	Nc
博大儌	VA
博孑	VH
博字運	
博字運	
博學	VH
博定	Db
博性命	
博愛	VH
博歹儌	
博物	
博物館	Nc
博聞	VH
博路儌	
博雅	VH
博面	VK
卜	VC;Nb
卜卦	VA;VB
卜卦先	Na
占	VA;VC
占仔米	
占仔粟	
占仔角仔	
占找	VB
占煞	
卡	Na;Nf
卡	VR
卡帶	Na
卡式	A
卡片	Na
卡賓銃	Na
卡車	Na
卡門	Nb
卦	Na
卯	
卯名	VC
卯嘴	
卯嘴的	
卯目	Na
卯落去	VR
卯著	VR
卯齒	
印	Na;VC
印仔	Na
印信	Na
印冊	
印出	VR
印刷	VC
印刷品	Na
印刷廠	Nc
印刷機	Na
印地安	A
印堂	Nc;Na
印尼	Nc
印度	Nc
印度洋	Nc
印度綢	
印戳	
印本	Na
印染	Na;VC
印模	Na
印發	VC
印章	Na
印第安	Nb
印臺	
印色	Na
印色盒	
印花	Na
印花稅	Na
印行	VC
印表機	Na
印證	VC
印象	Na
印金	A
印鑑	Na
印魚	
危及	VJ
危害	VC
危急	VH
危樓	Na
危機	Na
危險	VH
危險	VH
危難	Na
卲	Nb
即	b
即位	VA
即使	Cb
即個	
即刻	Dd
即可	Db;VH
即告	Dd
即呢	Da;Nf;Df
即呢	Da;Nf;Df
即呢仔大	A
即席	Dd
即日	Dd
即時	Dd;A
即時死	
即為	VG
即興	Dh
即霎	
卵	Na
卵仁	Na
卵仁	Na
卵包	Na
卵塊	
卵尾仔	
卵巢	Na
卵有形	Na
卵殼	Na
卵清	Na
卵白	Na
卵白質	Na
卵端	
卵粉	
卵蛋	Na
卷	Nf
卷	Nf
卷仔	
卷宗	Na
卷尺	
卷尺	Na
卷柏	
卷螺	A
卷螺仔	
卸	VC
卸ke5	VA
卸下	VR
卸世上	VH
卸世眾	VH
卸任	VH
卸擔	
卸祖公	
卸肩	VA
卸草	
卸裝	
卸貨底	
卸責任	
卸身離	VC;VH
卸錠	VH
卸離身	VH
卸面子	VH
卸體面	VH
卻是	Cb
卻步	VH
厄	b;VH
厄運	Na
厄運	Na
厄難	
厘	Nf;b
厘厘	VH
厘戥	Na
厘米	Nf
厘絲	Da
厚	Ne;Da;Df;VH
厚	VH
厚thut-thut	
厚事屎	
厚事路	VH
厚代誌	VH
厚利	Na
厚刺	
厚口舌	VH
厚唇	
厚嘴舌	VH
厚嘴花	
厚實	VH
厚尿	
厚屎	VH
厚工	VH
厚度	Na
厚徼兆	VK
厚心思	
厚心思	VH
厚性地	Na
厚愛	Na
厚手液	
厚掔	VK;VH
厚掔損	VK
厚掔頭	
厚操煩	VH
厚枝葉	Na
厚殼丁	
厚殼仔	Na
厚殼魚	
厚毛病	
厚沙屑	
厚渣滓	VH
厚濛	Na
厚煩惱	VH
厚熏	Na
厚熏吹	
厚病	
厚病痛	
厚症頭	
厚痰	
厚癖	
厚皮	VH
厚皮kui	
厚皮甕	VH
厚皮菜	
厚皮香	
厚禮	Na
厚禮數	VH
厚篤篤	
厚肉	VH
厚肉仔	
厚茉菜	
厚茶	Na
厚菇	Na
厚薄	
厚薰	
厚行	VH
厚衫	
厚言語	VH
厚話	Na;VH
厚話屎	VH
厚詼諧	VH
厚誼	Na
厚酒	Na
厚重	VH
厚重	VH
厚雨	
厚雨水	
厚面孔	VH
厚面皮	Na;VH
厚齣頭	
厝	Nc;Na;Nf
厝主	Na
厝佃	Na
厝價	Na
厝內	Nh
厝內人	Na
厝地	Na
厝契	Na
厝宅	Na
厝徛	Na
厝架	
厝業	Na
厝殼	Nc
厝瓦	Na
厝租	Na
厝稅	Na
厝脊	Na
厝腳	Nc;Na
厝腳仔	
厝蓋	Nc
厝角	VJ
厝角鳥	
厝邊	Na
厝邊兜	Nc;Na;Nf
厝邊間	
厝邊頭尾	Nc;Na;Nf
厝間	Nc;Na
厝頂	Nc
厝頭家	Na
厝鳥仔	Na
原主	Na
原也	Dd
原仔	Dd;VH
原仔	Dd;VH
原件	Na
原任	VG
原位	Nc
原住民	Na
原來	Db;A
原價	Na
原先	Dd
原全	VH
原再	Db
原初	Nd
原則	Na
原前	Dd
原名	Na
原告	Na
原因	Na;VJ
原在	Dd
原地	Nc
原型	Na
原始	VH
原子	Na
原子彈	Na
原子能	Na
原子能委員會	Nc
原封不動	VH
原底	Db;Dd;Na;A
原形	Na
原情	VJ
原意	Na
原文	Na
原料	Na
原早	Dd
原是	VG
原有	VJ
原木	Na
原本	Db;Dd;A
原材料	Na
原案	Na
原汁	
原油	Na
原版	Na
原狀	Na
原理	Na
原由	Na
原症	
原稿	Na
原籍	Na
原紙	
原義	
原舊	Dd
原色	Na
原著	Na
原處	Nc
原裝	A
原諒	VJ
原貌	Na
原起先	Dd
原路	Na
原配	Na
原野	Na
原音	Na
原頭	Db;Dd;A
原點	Na
厭	VJ
厭	b
厭sian7	VI;VJ;VH
厭世	VH
厭恨	VJ
厭懶	VJ;VH
厭氣	VH
厭落落	VJ;VH
厲害	VH
厲害病	
厲害藥	
厲行	VC
去	Db;VA;VC;Tc;VJ;VH
去世	VH
去了了	VH
去任	
去倒	VC
去倒	VC;Cb
去倒了	VH
去倒好	
去倒害	
去倒死	
去函	VC
去向	Na
