che7頭嘴	
cheN3嘴	VA;Na;VE
cheh8	VC;b
chek	VC;VH
chha7-chha7-chong5	VA
chha7-chha7滾	VH
chhaN2	
chhaN2手	VK
chhaN7	VL;Ng;VH
chhai7	VA;Dd;VC;VG;P2
chhai7暗毒	
chhai7歹心	VH
chhai7破爛	VI;VH
chhai7行	Dh
chhai7靈	
chhaiN2-chhoah	VA
chham5-chham5流	
chhan	VA
chhang3	
chhang3鬚	VA;VE;VH
chhap	VC
chhe2	VA;VC;VH
chhe2-soah	VR;VC;VB;VH
chhe2勻	VH
chhe2尾	Na;VH
chhe2平	VR
chhe2擺	VR;VH
chhe2數	
chhe2消	VB
chhe3	VC
chhe5	
chhe7	VH
chhe7人命	VA
chhe7低	VA
chhe7保	
chhe7名	Dh
chhe7尾	VA
chhe7底	
chhe7數	VA;VB
chhe7清	
chhe7理	VB
chhe7空	VA
chhe7罪	VA;Na
chhe7落	VH
chhe7落來	VA
chhe7食	VA
chheh	VK;VJ
chheh8	VH
chheh8聲	VH
chheh氣	VA;Na;VE;VH
chhek8	VA;VH
chheng3-phut8-phut8	VH
chheng3價	VA
chheng3影	VH
chheng3氣	VA;VH
chheng3煙	VH
chheng3芳	VH
chheng3著	VR
chheng3高	VH
chheng3鼻	VH
chheng3鼻空	VH
chhi5-chhi5	
chhi5瞷	VH
chhiN2	Na
chhiN5	
chhiaN2黃	
chhiak8	VA
chhiam2	VC
chhiam2仔	Na
chhian5	VC;VJ
chhiang5	VC
chhiang7	
chhiau	VA;VC
chhiau5	VR;VC
chhiau5-chhek8	VC;VH
chhiau5-chhoe7	VC
chhiau5促	VA;VC;VE
chhiau5借	VD
chhiau5價數	VA
chhiau5徙	VC
chhiau5振動	VA
chhiau5撥	VD;VC;VE
chhiau5時鐘	
chhiau5時間	
chhiau5策	VC
chhiau5骨	VA
chhiau5齊	
chhiauh	VC
chhih	VA
chhih8	Na;VC;VJ
chhih8倚來	
chhih8雙科	
chhih8電鈴	
chhih低	VA
chhih倒	VB
chhim2	Dd
chhim5	
chhio	VH
chhio-gih-gih	
chhio-khok8-khok8	VH
chhio-kiak8-kiak8	
chhio-tio5	VH
chhio3	VC
chhio7	P4;VC;VH
chhio7影	VA;Na
chhioh	Na
chhioh日	VA
chhiok8	Na;VC;VH
chhio頭	Na
chhip	VC
chhit-tho5	VA;Na;VC
chhit-tho5-a2	
chhit-tho5-gin2仔	Na
chhit-tho5人	
chhit-tho5人	Na
chhit-tho5仔	Na
chhit-tho5伴	
chhit-tho5客	Na
chhit-tho5物	Na;s ;b
chhit-tho5腳	
chhiu	Na;Nf
chhiu2	VC
chhiu3	VC
chhiuN5	b
chhiuN7	VA;Ne;Nc;VC;Ng;VH
chhiuN7水	VA
chhng	VC
chhng2食	VA
chho2	Na
chhoa7	VF;VC
chhoa7囡仔	
chhoa7嫁	VA
chhoa7尿夢	Na
chhoa7尿婆	
chhoa7操	Na;VC
chhoa7歹	VR;VC
chhoa7路	VA;Na
chhoa7路的	Na
chhoa7路雞	
chhoa7隊	VA
chhoa7頭	VA;VC;Dh
chhoa7頭個	Na
chhoaN3	VH
chhoah	VD;Dd;VA;VK;VC;b;VH
chhoah8	VH
chhoah8角	Na
chhoah一下	VH
chhoah冰	
chhoah嘴鬚	
chhoah屎	
chhoah屎星	Na
chhoah屎水	
chhoah心	VI
chhoah斷	
chhoah毛	VA
chhoah活鳥	VD
chhoah流	Na;VH
chhoah鼻草	
chhoan5	VF;VC
chhoan5嫁妝	
chhoe7	VD;VC
chhoe7出	VR
chhoe7著	VR
chhoe7著	VR;VC
chhoeh	VC;b;VH
chhoeh氣	Na
chhok8	VC
chhu7	VC;VL
chhu7底	VH
chhuh	VC;VH
chhun5	Dh
chhun7死	Dh
chi	Na
chi2	VC;Nf
chiN	VC;b;VH
chiN2	b;VH
chiN2仔	Na
chiN2仔囝	
chiN2囝	Na
chiN2葉	Na
chiN2薑	
chiN2鳥	
chiN2鳥仔	Na
chiN3	VR;VC
chiN3訥	VA
chiN3鴨	b
chiN3鴨仔	b
chiN鼠	
chia--e5	
chia3	b
chiaN2	VH
chiaN2嘴	
chiaN2水	Na
chiaN2色	Na
chiaN7	Dj
chiah	Df
chiah-e5	Ne
chiah久仔	
chian2	VC
chian7	
chian7	VC
chiap8	Dd;b
chiat	VH
chiau5	Ne;Da;Df;VH
chiau5-chiau5齊	VH
chiau5全	A;VH;Df
chiau5勻	
chiau5齊	VH
chih	VC
chim嘴	VA
chin	
chin5	VA;VC;b
chiong	VH
chip	VC
chip8	VC
chit素	Na
chiuh-chiuh哮	
chng2甲	Na
chng2甲心	
chng2甲油	Na
chng2頭	Na
chng2頭仔	Na
chng3狗空	VA
chng3空縫	
chng3骨	VH
chng5	Ne;VC;Da
chng7	VC
cho5	VH
cho7	
choa7	VA;Nf;VH
choaN	VA
choaN3	VC
choai7	VC;VH
choaiN7	VC;VH
choan7	VC;VH
choat	VC
choe7	Ne;Da;Df;VH
choh	VC
choh8	
chong5	VA;b
chong5紅燈	VA
chong5躐	VA
chong5錢	
chong5錢空	
chu-na2-mih	Na
chu7	Na;VC
chu7板	Na
chu7桌巾	
chu7紙	
chu7肩	
chui5	VA;VF;Nf
chui5頭	
chun	VA
chun3	VA
chun7	VA;VC;b
chun7嘴phoe2	
chut	VR
chut8	
e5	Ta
e5早	Nd
e5昏	Nd
e5昏時	Nd
e5昏頓	Na
e5晝	Nd
e5晡	Nd
e5暗	Nd
e5話	Cb
eh	I
ek-khu2-suh光	
eng	Na;VC;Dh
eng埃	Na
eng埃圾洗	Na
eng埃撓夾	VH
gai5仔錢	Na
gai5哥	VH
gai5板	VH
gam2	Na;Nf;b
gam7	VH
gam7目	
gam7面	
gan3	VC;VH
gan3水	
gan3鋼	
gan3鐵	
gang7	VH
gang7-gang7去	
gang7去	VA
gang7目	
gap	
gau5	A;VL;VH
gau5 o-lo2	VA
gau5-so5	VH
gau5-toh8	VH
gau5人	Na
gau5做人	
gau5參疼	VJ
gau5想	
gau5摸	VH
gau5早	VH
gau5滾	VA;Na
gau5滾笑	
gau5講	VH
gau5講話	
gau5變	VH
gau5雕	
ge3	VC
ge5	VI;VK
ge5-ge5	
ge5-lan7	VK
ge5神	Na;VJ
geng5	VJ
gia5	VC;VH
gia5勢故	VH
gia5勢頭	VH
gia5枷	VH
gia5症頭	Na
gia5硬篙	VA
gia5篙尺	Na;VC
gia5身勢	Dh
gia5車輦	VA
gia5雉雞	
gia5頭	Dd;VA;Na;VC
gia5高	VR
gia5魚翁	
giah-chhoaN	VC
