乾呃 VA
乾嗽 VA
乾焦chhoah VH
乾燥機 Na
乾燥燥 VH
乾竭 VH
乾證 Na
乾鬆 VH
亂chong5 VC
亂ioh VE
亂sa VC
亂sahN VC
亂tan3 VC
亂主來 Dh
亂主吵 VA
亂主說 VA
亂主講 VA
亂使 VA
亂使來 VA
亂使創 VC
亂使想 VA
亂使用 VC
亂使講 VA
亂使變 VC
亂使鬧 VA
亂創 VC
亂嗤吵 VH
亂嘈嘈 b
亂子來 VH
亂惝 b
亂戽 b
亂捏 VA
亂操操 VH
亂攪吵 VA
亂皂 VA
亂絞絞 VH
亂臆 VE
亂茹 VA
亂諍 VA
亂販 VC
亂鐘 Na
亂馬馬 b
亂鬧 VA
了傢伙 VH
了嘴 Di
了家仔 Na
了家囝 Na
了尾 Nc
了局 VH
了工 Di
了徹 VH
了截 VH
了捷 VH
了本 VH
了盡 VH
了神 VH
了腳手 VH
了解著 VR
了錢 VA
了離 VC
了鳥囝 Na
了鳥胚 Na
予人招 VA
予人罵 VB
事因 Na
事尾 Na
二九下昏 Nd
二九暗 Nd
二九暝 Nd
二四猛 Dd
二指 Na
二撇鬚 Na
二比 Nh
二藍 Na
二路貨 Na
二部制 Na
云衫 Na
互不侵犯 VA
互不相讓 VA
互人招 VA
五仁 VH
五代孫 Na
五凍 VH
五官端正 VH
五屜桌 Na
五彩虹 Na
五支鬚 VH
五斂子 Na
五日節 Nd
五更早 Nd
五更時 Nd
五月節 Nd
五月艾 Na
五服 Na
五服外 Na
五服親 Na
五根草 Na
五爪龍 Na
五皮 VH
五竭 VH
五總頭 Nc
五腳 Na
五腳梨 Na
五腳記 Nc
五色人 Na
五虎利 Na
五言絕 Na
五路 Dg
井邊草 Na
亞東關係協會 Nc
亞鉛 Na
亞鉛板 Na
亞鉛線 Na
亞鉛鉼 Na
亞鉛鐵 Na
亡國奴 Na
交仗 VD
交參 VA
交含 Dh
交唅 VH
交定 VC
交崙 Dh
交怙 VD
交懍恂 VA
交拼 Na
交換手 VA
交摻 VJ
交攙 VC
交數 VA
交春 Nd
交枝連 Na
交椅the Na
交盤 VC
交睡 VH
交秋 Nd
交絞 VA
交繚 Na
交聊 VA
交落 VR
交落水 Na
交落胎 VH
交落身 VA
交葛 VH
交起去 VR
交輦覆 VA
交通大學 Nc
交針釘 VH
交銜 VH
交陪 VA
交陰 VH
亥在 VH
亦是 Ca
亭仔 Na
人乾 Na
人去公園 Na
人命案 Na
人客伴 Na
人客官 Na
人客廳 Nc
人客房 Na
人客間 Na
人家人 Na
人家厝 Na
人巴 Na
人情話 Na
人懶懶 VH
人扮 Na
人望 Na
人款 Na
人殼 Na
人疊人 VH
人癖 Na
人看人 VH
人眾 Nh
人眾眾 Na
人胚 Na
人胞 Na
人豚仔 Na
人踏人 VH
人車 Na
人頭殼 Na
人頭生 VH
人額 Na
人颼 Dh
人鵠 Na
仁仁仁 VH
仁仔粕 b
仁仔餅 Na
仁愛醫院 Nc
仁粕 Na
仃 b
仆耳孔 VA
今仔再 Nd
今仔日 Nd
今仔早起 Nd
今仔載 Nd
今暗 Nd
介懷 VK
他項 Nf
付數 VA
付現金 VA
仙人凍 Na
仙人草 Na
仙公 VA
仙古 Na
仙尪仔 Na
仙巴掌 Na
仙拚仙 VA
仙鼠 Na
仝一樣 A
仝時 Dd
仝款 A
仝號 VH
仝行 Na
仝輩 VI
仝途 VI
仝類 VH
仡 VA
代先 Dd
