台語漢字	pos_h
千里急	
千里光	
千里彪	Na
千年桐	
遷往	VC
千篇一律	VH
遷舖	
千不幸	Cb
千辛萬苦	Na;Dh;s
千歲蘭	
千層皮	
千頭萬緒	Na
遷調	VC
千tu2沖	VJ
千抵千	VH
車擺	
車牌	Na
竊案	Na
車班	
車幫	
硨反	VA
車拋輦	VA
竊嫌	Na
車票	Na
車拼	VA;Na
車邊	
車棚	Nc
竊據	VC
車跋peng2	VA
車跋反	VA
推跋反	VA;VC
車盤	VA;VC;VE;VH
硨盤	VK;VC;VE
妾身	Nh
竊聽	VK
竊聽器	Na
竊盜	Na
車畚斗	VA
推畚斗	VA
推屎蟲	Na
車參舂	VA
車心	Nc;Na
車身	Na
車廂	Na
車箱	Na
車栓	
車桑仔	
車栓仔	
車線絪	Na
車速	Na
車榫	Na
切	VC;b
車踏	Na
車臺	
車斗	Na
切莫	Db
切碎	VR
車底	Na
車燈	Na
車頂	Nc
車窗	Na
車桶倒	
切合	VJ
車頭	Nc
車體	Na
切貨	VA
車錠	VA
車長	Na
切入	VC
切氣	VA;Dh;VH
切忌	VE
切開	VR
切記	VE
切結	VA
車倒	VR
推倒	VR;VC
硨倒	VR
車道	Na
車單	Na
車擋仔	
切腹自殺	VA
切片	Na
切削	VC
切身	A
切傷	
切實	VH
切除	VC
竊盜罪	Na
車隊	Na
chhiau	VA;VC
超	A
搜	VC
悄	b
笑劇	Na
笑納	VA
笑談	Na;VC
chhiau5	VR;VC
chhiau5齊	
chhiau5促	VA;VC;VE
chhiau5策	VC
chhiau5-chhek8	VC;VH
chhiau5-chhoe7	VC
chhiau5借	VD
chhiau5價數	VA
chhiau5骨	VA
chhiau5撥	VD;VC;VE
chhiau5時鐘	
chhiau5時間	
chhiau5徙	VC
chhiau5振動	VA
超載	VH
超摵	VH
超市	Nc
超車	VA
抄找	VC
搜出	VR
超支	VH
chhiauh	VC
超乎	VJ
超音波	Na
超然	VH
超人	Na
抄家	
超強	VH
超級	Df
超過	VJ;Df;VH
超過人	VH
超群	VH
抄人鮭	
超越	VC
超生	VH
抄身軀	VA
超收	VC
超速	VH
超重	VH
超脫	VJ
超導體	Na
超大型	A
超度	VC
癡情	VH
嗤喳叫	
悽慘	VH
淒慘	VH
悽慘笑	
悽慘啜	VA
悽慘哭	VA
淒慘落魄	
悽慘代	Na
淒慘代	Na
嗤嗤嗆嗆	VA
嗤呲	Na;VE
嗤呲	VA
癡騃	VH
chhih	VA
chhih8	Na;VC;VJ
chhih8雙科	
蠽仔	Na
蠽仁	Na
蠽膏	Na
chhih8倚來	
chhih8電鈴	
嗤悄	VA
鴟鴞	Na
chhih低	VA
chhih倒	VB
痴哥	VH
癡哥	Na;VH
侵	VD;VC
深	Df;VH
chhim2	Dd
寢	Nd;b
寢仔	Dd
鋟醒仔	Na
寢寢	Dd
纔纔走	
踸腳	
踸看	VC
寢室	Nc
纔頭	Dd;Nd;VL;Ng;VH
纔頭仔	
chhim5	
饞	VH
侵債	VH
深井	Nc;Na
深井埕	Nc;Na
深情	Na
深淺	Na
深切	VH
深深	
深秋	Nd
侵取	VC
深處	Nc
侵占	VC
侵佔	VC
侵錢	
深造	VA
侵用	VC
侵害	VC
深化	VH
侵犯	VC
深夜	Nd
深淵	Na
侵用	VC
侵擾	VC
侵入	VR
深入	VC;VH
深入淺出	VH
深感	VK
深溝	Na
深厚	VH
深刻	VH
深坑	Nc
侵欠	VD
深汱	Na
深究	VC
深閨	Nc
深藍	A;VH
侵人錢	VH
深綠	A
侵略	VC
侵略者	Na
深long3-long3	VH
深瓏瓏	
深奧	VH
深遠	VH
深oang-oang	
深惡痛絕	VI
深色	Na
侵蝕	VC
深信	VK
侵襲	VC
深受	VJ
深山	Na
深山鶲	
深茶色	Na
深桃	Na
深知	VK
深沉	VH
深得	VC
深度	Na
親	A;VC;VH
chhiN2	Na
淺毛藍	Na
淺色	Na
淺長衫	Na
秤	Na;VC
凊	VH
秤仔	Na
稱仔	Na;VC
凊面	
凊采	Dh;VH
凊彩	Dh;VH
凊采采	VH
凊彩講	
凊彩時	
凊彩想	
凊菜	
秤星	Na
秤星木	
秤星樹	
凊市	
凊凊	VH
凊凊采采	Dh
凊笑	VA
凊水	Na
秤花	Na
凊支支	VI;VH
秤桿	Na
凊汗	Na
秤繚	
秤繚索	
凊糜	
凊糜	
凊瘼	Na
凊膜	
凊膜凹	Na
凊瘼吶	Na
凊吶	Na
凊乓乓	VI;VH
凊飯	Na
凊飯藤	
秤盤	
凊色	
凊心	VH
秤重	
凊塊塊	VH
秤頭	Na
秤錘	Na
秤錘沕	
chhiN5	
瞪	VC
菁仔	
菁仔宅	
親愛	VH
親愛的	Nh
親目	Dh
親目看著	VE
親目見	VE
親密	VH
親情	Na
青草湖	Nc
親戚	Na
親昌	VA;VC;VH
親切	VH
親親成	Na
親手	Dh
親像	V_;P4;VG;VJ;VH
親像款	VH
親嘴	Dh
親情	Na
親情五雜	
親族	Na
親子	A
親自	Dh
親兄弟	Na
親和力	Na
菁芳草	
親戽戽	VH
親友	
親熱	VA;VH
鯖魽	
親家	Na
親家倌	Na
親家公	Na
親家姆	Na
親近	VC
菁蘭	
親人	Na
親姆	Na
親王	Na
親朋	Na
親筆	Dh
親生	VH
親善	A
親身	Dh
親信	Na
親屬	Na
親事	Na
親tauh-tauh	
親疊親	VH
親堂	Nc;Na
chhio	VH
鶺	Nf;b;VH
俏色	Na
chhio3	VC
俏	VH
笑	VA;VC
笑紅	A
笑微微	VA
笑面	Na
笑面虎	VA;Na
笑bui-bui	VA
笑bun2-bun2	VA
笑市	Na
笑淺	Na
笑脊	
峭槽	
笑誼誼	VA
笑哈哈	VA
笑咳咳	VA
笑粉	VH
笑容	Na
笑甲落嘴齒	VH
笑詼	Na;VC;VH
笑劇	
笑藍	Na
笑人	Na;VC
俏綠	VH
笑綠	Na
笑黃	A
笑話	Na;VC
笑柄	Na
笑色	Na
笑聲	Na
笑神	VA;Na
笑談	Na
笑頭笑面	VH
chhio7	P4;VC;VH
chhio7影	VA;Na
峭脊	Na
chhio-gih-gih	
chhioh	Na
尺	Na;Nf
席	Nf
蓆	Na
蓆草	
尺仔磚	
chhioh日	VA
尺篙	Na
尺斗稱	Na
尺頭	Na
螫著	
尺度	Na
促	VF
雀	Na
觸	VC
chhiok8	Na;VC;VH
觸角	Na
摶土	
峭角	Na
觸摸	VC
雀賊	
促請	VF
鵲鳥	
雀鳥仔	Na
促進	VJ
雀鷹	
綽號	Na
觸犯	VJ
觸法	VA
觸發	VJ
chhio-khok8-khok8	VH
chhio-kiak8-kiak8	
雀鷂	
觸感	Na
矗khia7	VH
捉拿	
觸怒	VC
鶺哥	Na;VH
雀斑	Na
促成	VK
促銷	VC
觸衰	
促使	VL
雀頭香	Na
觸著	VJ
觸著	VC
唱片	Na
充	VG;VB
沖	VC
娼	b
衝	VA;VJ
縱事	VA
縱禍	VI
倡言	VE
縱橫	VC
縱然	Cb
縱貫	A
縱事	VA
倡導	VE
娼仔	Na
娼媌	Na
昌明	VH
充滿	VJ;VH
沖走	VR
充足	VH
充作	VG
衝	VC
沖恨	VJ
沖犯	VC;VJ;VH
衝犯	VC
充血	VH
衝鋒陷陣	VA
娼婦	Na
充分	VH
沖印	VC
昌陽	
充任	VG
衝擊	Na
充氣	VB
娼妓	Na
沖割	VC
充官	VB
充公	VB
猖狂	VH
娼寮	Nc
充落官	VB
充落公	VB
充滿	VJ;VH
充沛	VH
衝破	VC
衝拚	VA
娼婊	Na
沖磅	VH
衝磅	VH
菖蒲	
菖蒲葉	Na
沖洗	VC
充盛	VH
昌盛	VH
衝射	VA
沖銷	VC
充實	VC;VH
沖蝕	VC
衝線	VA;VC
沖淡	VC
沖天	VH
充填	VC
充電	VA
衝著鬼	
衝撞	VH
充當	VG
衝動	VH
衝突	VH
茺蔚子	
chhio頭	Na
chhio-tio5	VH
鶺趒	VH
chhip	VC
揖仔	
緝捕	VC
七	Ne
拭	VC
七仔	Na
拭仔	Na
七仔科	Na;VH
七美	Nc
七層塔	
七彩	Na
七星	Nb
七星草	
七星尺	
七星魚	
七星鱸	Na
拭手	
拭嘴	
七寸金	Na
痴頭婆	
七葉蓮	
七葉膽	
七巧圖	Na
拭尻川	VB
七孔	Na
七講八講	VA
七姑星	
七里香	Na
七里香	
七捏八捏	VC
七娘媽	
七娘媽	Nb
拭布	Na
七步蛇	
七色	Na
七夕	Nd
chhit-tho5	VA;Na;VC
chhit-tho5-a2	
chhit-tho5仔	Na
chhit-tho5-gin2仔	Na
chhit-tho5腳	
chhit-tho5客	Na
chhit-tho5人	Na
chhit-tho5人	
chhit-tho5物	Na;s ;b
chhit-tho5伴	
七腸仔	
七堵	Nc
chhiu	Na;Nf
秋	Nd
羞	b
鰍	b
鬚	Na
chhiu2	VC
手	Na;Nf
首	Dd;Ne;Nf
醜	VH
手後蹺	Na
手後臼	Na
手後卵	Na
手後窩	
手後彎	Na
手後蹬	Na
手眉深	
手目	
手面	Na
手面錢	Na
手尾	Na;Nd
手尾錢	Na
手尾字	Na
手尾力	Na
手尾字	Na
手尾物	Na
手模	Na
醜聞	Na
手指	Na
手節	Na
手則	Na
手叉	Na
手冊	Na
手銃	VA;Na;VH
手銃仔	
手車	Na
手車仔	Na
手襯	Na
手襯仔	Na
手只	
手指	Na
手賤	VH
手摺仔簿	Na
手摺簿	Na
手枕	
手足	Na
手掌	Na
手癢	VH
手下	Na
手下節	
手閒	Na
手藝	Na
手舉鼎	
手下	Na
手形	Na
醜化	VH
手按	Na
手	Na
手法	Na
手風	
手風琴	Na
手痕	Na
手挹後	
手揜後	
手印	Na
手爪	Na
手爪賤	
手工	Na
手工藝	Na
手工業	Na
手交手	Dh
手牽手	
手銬	Na
手氣	Na
手曲	Na
手蹺	
手琴	Na
手靠	Na
手環	Na
手臼	
手技	Na
手機	
手鋸	
手巾	Na
手巾蛇	
手稿	Na
手杆	Na
手汗	
手股	Na
手鼓	Na
手股頭	Na
手骨	Na
手絡	Na
手腡	Na
手冗	VA
手粘	
手料錢	Na
手橐	Na
手橐仔	Na
手囊	Na
手路	Na
醜陋	VH
手路菜	
手路戲	Na
手雷彈	Na
手門	Na
手ng2	Na
手袂	Na
手	Na
手ng2箍	Na
手ng2管	Na
手ng2束	Na
手ng2頭	Na
手ng2長	VA
手撓	VH
手爪	Na
手彎	
手腕	Na
手碗	
手腕骨	Na
手斡彎	
醜惡	VH
手霸	Na
手板	Na
醜八怪	Na
手pe5	Na;Nf
手縫	Na
手縫疏	
手臂	Na
手錶	Na
手筆	Na
手盤	Na
首飾	Na
手勢	Na
手心	Na
手信	Na
手液	
手續	Na
手續費	Na
手相	Na
手袖	Na
手痠錢	Na
手鐲	Na
手束	Na
手數料	Na
手術	Na;VB
手底	Na
手底痕	Na
手底撓	VH
手蹄賤	
手頂節	
手頭	Na
首頭	Na
手頭an5	
手頭冗	
手頭重	
手撐	Na
手提包	Na
手提式	A
手提袋	Na
手套	Na
手豬仔	
手電	Na
手電仔	Na
手中心	Nc;Na
手段	Na
手擋	Na
手動	A
手肚	
chhiu3	VC
瞅睬	VC
揪	VA;VC;VE
愁	VK
愁面	Na
愁容	Na
揪根元	VA
揪話	VE
揪錠	VA
揪碇	
樹	Na
樹仔	Na
樹木	Na
樹目	
樹母	
樹尾	Nc
樹尾溜	Nc
樹尾頂	Nc
樹栽	Na
樹欉	Na
樹草蓮	
樹青	
樹脂	Na
樹子	Na
樹脂	Na
樹薯	Na
樹錦	Na
樹魚	
樹葉	Na
樹蔭	Na
樹油	Na
樹膠	Na
樹腳	
樹箍	Na
樹枝	Na
樹杞	
樹根	Na
樹菊	
樹龜	Na
樹蘭	Na
樹蘭花	
樹絡	Na
樹奶	Na
樹乳	Na
樹龍	
樹奶仔	
樹奶弓	Na
樹奶頭	
樹奶糖	Na
樹梅	Nc
樹梅雨	Na
樹梅餅	
樹林	Na
樹影	Na
樹奶	Na
樹乳	Na
樹奶擦	Na;VC
樹奶糖	Na
樹椏	Na
樹王公	Na
樹腹	Na
樹皮	Na
樹蜚	
樹梳	Na
樹身	Na
樹豆	
樹頭	
秋後	Nd
秋後熱	Na;Nd
羞面	
秋凊	VA;A;VH
羞羞人	
秋分	Nd
鬚甘	
秋菊	
秋宮	Na
鬚哥	
秋姑	
秋姑魚	
秋季	Nd
秋葵	Na
昌	b
槍	Na;Nf
鯧	b
搶	VD
廠	Nc
搶案	Na
搶走	VR
瞅睬	VC
搶市	VH
搶秤頭	
搶chhoah	
廠址	Na
搶眼	VH
搶嫌	Na
搶火燒	VA
廠方	Na
搶劫	VC
搶救	VC
搶功	
搶孤	
搶購	VC
搶話頭	VA
廠牌	Na
搶剝	VC
搶剝賊	Na
廠房	Nc
廠商	Na
搶修	VC
搶灘	VA
搶頭前	VA
搶頭香	VA
搶頭標	VA
廠長	Na
搶奪	VC
唱	VC
嗆	VH
唱出	VR
唱曲	VA
唱起	VR
唱歌	VA
唱片	Na
唱盤	Na
唱調	Na
chhiuN5	b
牆	Na
牆仔	Na
牆仔腳	Nc
薔薇	Na
牆面	Na
牆角	Nc
牆腳	Nc
牆基	Nc
牆橛	
揚人	VJ
牆壁	Na
牆壁藤	
牆圍	Nc;Na
牆圍仔	Na
chhiuN7	VA;Ne;Nc;VC;Ng;VH
象	Na
像	VG;P5
上後腳	VA;VB
橡木	Na
上濛	
上墓	VA
上溡	VH
chhiuN7水	VA
上水	VA
象牙	Na
象牙床	Na
象牙箸	
象魚	
像款	VH
象棋	Na
象管	
橡奶	Na
橡奶鞋	
橡奶性	Na
橡奶糖	Na
橡奶土	
橡奶帶	Na
橡奶	Na
橡奶鞋	Na
上烏斑	
象鼻椿	Na
象皮症	
上殕	VH
上sian	VH
匠心	Na
上頭	VA
上店窗	VA;VH
鯧仔	Na
槍手	Na
槍戰	Na
鯧鏡	
槍兵	Na
槍炮	Na
槍柄	Na
鎗刀藥	
秋山	Na
秋天	Nd
chhng	VC
穿	VC
倉	VC;b
傖	b
瘡	Na
艙	b
吮	VC
串仔	Na
串仔魚	Na
chhng2食	VA
吮空	VA
串瓜子	
串話縫	
串	VC;Nf
擤	VC
竄	VA
串仔魚	
串過	VC
串過	VC
蒸鼻	
擤鼻	
床	Na;Nf
床母	
床巾	Na
床球	VA
床鋪	Na
床舖	Na
床舖	Na
床婆	
床頂	Nc
床道	Nc
床位	Na
穿插	VC
嗆	VA;VH
瘡痕	
瘡跡	
倉庫	Nc;Na
穿過	VC
穿鼻龍	
穿梭	VA
穿山龍	Na
穿迵過	VC
穿透過	VC
瘡毒	Na
艙位	Na
臊	VH
chho2	Na
草	Na;VH
楚	Nc;Nb
草仔	
草案	Na
草海桐	
草花	Na
草約	Na
草橄仔	Na
草橄仔	
草橄欖	
草稿	Na
草書	Na
草that	
草塞仔	Na
剉	VC
錯	VH
譟	VC
糙米	Na
剉柴	VA
剉柴夫	Na
錯手	VH
剉樹	VA
剉樹仔	VA
錯誤	Na
噪音	Na
錯覺	Na
譟姦撟	VC
操琴	VA
錯怪	VJ
噪人耳	VE;VH
錯亂	VH
錯誤	Na
挫敗	VH
措施	Na
錯失	VJ
措詞	Na
剉掉	VR
蔡	Nb
蔡牽	
蔡板草	
蛇波	
蛇波勒	
chhoa7	VF;VC
拽	VC
娶	VC
娶某	VA
chhoa7操	Na;VC
娶妻	VA
chhoa7囡仔	
娶香火	Na
泄尿	VA
chhoa7尿夢	Na
chhoa7尿婆	
chhoa7嫁	VA
娶嫁	VA
拽尿	VA
chhoa7路	VA;Na
chhoa7路的	Na
chhoa7路雞	
chhoa7歹	VR;VC
chhoa7頭	VA;VC;Dh
chhoa7頭個	Na
chhoa7隊	VA
chhoah	VD;Dd;VA;VK;VC;b;VH
泄	b
惙	VK
chhoah8	VH
斜目	Na
chhoah8角	Na
斜角	Na
斜角逝	Na
斜路	
礤仔	
礤簽	
chhoah嘴鬚	
chhoah一下	VH
chhoah流	Na;VH
chhoah毛	VA
chhoah活鳥	VD
chhoah冰	
chhoah鼻草	
chhoah屎	
chhoah屎星	Na
chhoah屎水	
chhoah心	VI
chhoah斷	
村	Na;Nf
喘	VA
癬	Na
喘be7直	VH
喘氣	VC
喘病	Na
喘pheN7-pheN7	
喘phi7-pheN7	VH
喘大氣	VA
chhoaN3	VH
串	Dd;VC;Cb;Nf;Df
閂	VC
篡	b
竄	VA;VR
闖	VH
串仔	
閂仔	
竄出	VR
串牙	Na
串芽	VA
竄入	VC
竄改	VC
串供	VA
串口供	VA
闖關	VA
闖過	VC
串講	
串聯	VC
闖路	
串門	VA
串通	VC
竄逃	VA
闖道	VA
串同	
chhoan5	VF;VC
僎	VF;VC
chhoan5嫁妝	
攢空	VC
橫權	
僎料	
僎辦	VF;VC
僎便	VF;VC
村民	Na
川菜	Na
穿鑿	VH
扦刺	VD;VC
川七	
村莊	Nc
壯兄	
壯犅	
壯點	VH
顓頊	
村夫子	
痊癒	VH
川殼	
川芎	Na
村姑	Na
村里	Na
村落	Na
川泡桐	
詮釋	VC
銓敘部	Nc
村長	Na
川堂	
穿堂	Nc;Na
臊味	Na
臊菜	Na
吹	Na;VC
炊	VC
初	Dd;Ng
髓	b
摧	VA;VF
箠	VC
箠仔	Na
chhoe7	VD;VC
揣	VC
chhoe7出	VR
找食	VA
找錢	VB
找空縫	VA
找麻煩	
找死路	VA
找頭路	VA
chhoe7著	VR
chhoe7著	VR;VC
chhoeh	VC;b;VH
吹向	VC
chhoeh氣	Na
吹風	VA;VH
慼心	VK
初一	Nd
吹狗螺	Na;VH
吹起來	VR
吹管	Na
炊龜	
吹涼	VA
炊路	
炊卵	
炊鋪	Na
炊床	Na
吹凋	VC
炊斗	Na
肏	VC
操行	Na
肏姦撟	
肏姦訕	
簇	VC;Nf
戳	VC
chhok8	VC
戳記	Na
觸景	Dd
創清楚	VA
創	VC;VG
創無好	
創厝	
創出	VC
創造	VC
創造出	VR
創造力	Na
創作	VA;Na
創業	VA
創戇	VC
創下	VR
創意	Na
創景	VA;Na;VC;VE
創景人	VA
創刊	VA
創空	VA;VC
創舉	Na
創建	VC
創局	
創垃圾	VR
創立	VC
創辦	VC
創歹	VR
創始人	Na
創啥	VA;Dj
創啥乜	Dj;VH
創啥物	Dj;VH
創設	VC
創新	VA
創傷	Na
創耍個	
創治	VC
聰明	VH
聰敏	VH
匆促	VH
倉促	VH
蒼朮	
倉頡	Nb
蒼耳	
倉碰	VH
倉磅	VH
蒼生	Na
滄桑	Na
涉涉滴	
涉涉津	
戳印仔	VA
初	Dd;Ng
粗	Na;VH
醋	Na
醋甕	Na
醋飯箍	
措施	Na
醋神	Na
措詞	Na
醋桶	Na
粗米飯	Na
粗菜	Na
粗殘	VH
粗穿	Na
初試	Na;VC
粗長	VH
初初	Dd
粗嘴	Na
初衷	Na
粗做人	Na
粗紙	Na
粗紙枋	Na
粗作	
粗孝	Na
初學者	Na
初犯	Na;VC
粗花	VH
粗貨	
粗糊	VH
粗夫	Na
粗瓷	Na
粗鹽	
粗勇	VH
粗幼	Na
粗工	Na
粗傢俬	
粗腳	Na
粗空課	Na
粗糠	Na
粗糠仔	
粗糠柴	
粗糠耳	
粗糠花	
粗糠殼	
粗糠獺	
初期	Nd
初級	A
初稿	Na
粗骨	
粗鱗	
粗人	Na
初戀	Na
粗魯	VH
粗飽	
粗耙耙	VH
粗平直	A;VJ;VH
粗坯	Na
粗坯	Na
粗胚	Na
初皮	Na
粗皮柳	
粗皮擇	
粗暴	VH
粗布衫	
初步	Dd;A
粗笨	VH
初賽	Na
粗絲	VH
初時	Dd
粗澀	VH
粗心	VH
初審	VC
粗俗	VH
粗俗貨	Na
粗俗物	Na
粗穡	Na
初選	VA
粗索	Na
初旬	Nd
粗重	VH
粗桶	Na
初中	Nc
蛆	Na
舒	VC
樞	b
趨	VA;VC;b;VH
趨山	
取	VC
此後	Dd
取材	VI
處在	VJ
取齊	VR;VA
取出	VR
取折	
處折	VD
取自	VI
此外	Cb
處刑	VB
雌雄眼	
處方	Na
取和	VA
處和	VA;VC
處罰	VC
取回	VR
處分	Na;VC
處於	VJ
取用	VC
取樣	VA
處境	Na
取款	VA
取決	VI
處決	VC
處理	VC
處理器	Na
處理機	Na
處女地	Na
取名	VG
處世	VA
取勝	VI
處死	VC
取捨	Na
取消	VC
處事	VA
取代	VC
取締	VC
取締	VC
處置	VC
取中範	A
取得	VC
取直	
取道	VC
次	Ne;Nf
厝	Nc;Na;Nf
處	Nf
覷	b
覷懵	Na;VH
趣味	Na;VH
趣味性	Na
趣聞	Na
覷睛	Na
厝鳥仔	Na
厝脊	Na
厝租	Na
次子	Na
厝主	Na
厝業	Na
厝瓦	Na
處罰	VC
次要	A
次日	Nd
厝角	VJ
厝角鳥	
厝架	
厝價	Na
厝間	Nc;Na
厝腳	Nc;Na
厝腳仔	
厝殼	Nc
厝契	Na
厝徛	Na
次級	A
厝蓋	Nc
厝內	Nh
厝內人	Na
次男	Na
次女	Na
處女	Na
次路貨	
處女	Na
次年	Nd
厝邊	Na
厝邊間	
厝邊兜	Nc;Na;Nf
厝邊頭尾	Nc;Na;Nf
厝稅	Na
處暑	
次序	Na
趣事	Na
次第	Na
厝地	Na
次等	A
厝頂	Nc
厝頭家	Na
厝宅	Na
處置	VC
處治	VC;VE
厝佃	Na
次長	Na
處長	Na
chhu7	VC;VL
炷星	Na
淬鋼	
chhu7底	VH
炷鐵	Na
泚中營	
趨媚	VB
趨趨仔	Na
趨水	VA
chhuh	VC;VH
覷目	
覷懵	Na;VH
趨向	VK
崔	Nb;b
推	VC
催	VF
碎	VH
翠	b
嘴	Na;Nf;Ng
嘴掩	Na
嘴限	
碎肉	Na
嘴目鼻	Na
嘴密	VH
嘴面	
嘴尾	Nc
碎插筅	VC
嘴臭	
嘴凊	
嘴峭	VH
嘴鶺	VH
嘴笑目笑	VA
嘴鬚	Na
嘴鬚糖	
嘴食緊	
嘴食物	Na
嘴汫	VH
嘴汫汫	
嘴舌	Na
嘴舌尾	Nc
嘴舌根	Nc
嘴舌頭	Nc
碎石	Na
嘴殘	
嘴水	Na
嘴下頷	Na
嘴下頦	Na
嘴下斗	Na
嘴譯	VC
翠玉	Na
嘴錦	Na
嘴花	Na
嘴花利	
嘴呼	
碎鹽鹽	VC;VH
碎葉葉	VC
嘴應	
嘴約	
碎溶溶	VC
嘴角	Nc;Na
碎工	Na
嘴空	Na
嘴腔	Na
嘴口	Nc;Na
嘴口願	
嘴口話	Na
嘴口定	
嘴齒	Na
嘴齒暴暴	Na
嘴齒凸凸	Na
嘴齒標標	Na
嘴齒暴暴	Na
嘴起凊	VH
嘴齒岸	Nc;Na
嘴齒齦	Nc
嘴齒腳	Nc
嘴齒根	Nc
嘴齒縫	Nc
嘴齒瘍	Na
嘴齒頭	Nc
嘴琴	Na
嘴快	VH
嘴苦	Dh
嘴強	VH
嘴緊	Na;VH
嘴講	VC
碎糊糊	VC;VH
嘴滑	VH
碎裂	VH
嘴路	Na
嘴硬	VH
嘴瀾	Na
嘴瀾水	Na
嘴放冗	VA
嘴白	VH
嘴鼻	Na
嘴麩	VH
嘴phoe2	Na
嘴phoe2肉	
嘴phoe2-koai	Na
嘴phoe2骨	Na
嘴phoe2腮	Na
碎phoe3仔	Na
嘴粕粕	
嘴邊	
嘴扁	VA;A;VH
嘴腮	Na
嘴饞	VH
碎屑屑	VC
嘴聖	
嘴水	Na
嘴ta	VH
嘴罩	Na
嘴踏脫	
嘴觸舌	VH
嘴斗	Na
嘴甜	VH
嘴鈍	VH
嘴唇	Na
嘴唇珠	
嘴唇皮	Na
嘴飫	
趨於	VL
崔an5	Nb
催眠	VA
摧殘	VC
推測	VE
催千	Dd
推chhiau5	VA;VC;VH
推促	VA;VH
催促	VF
推薦	VC
催陣	VA
催化	VB
摧毀	VC
催油	VB
催告	VE
推理	VA
推論	Na;VE
催死	
摧死	VR
推銷	VC
推算	VC
推事	Na
推定	VF
趨去	
樞機	A
趨崎	Na
趨近	VJ
樞紐	Na
趨溜籠	Na
伸	Ne;VC;Nb;VJ
春	Nd
偆	VJ
剩	VJ
蠢笨	VH
寸	Nf
吋	Nf
寸尺	Na
寸棗	
寸金仔	
寸白蟲	Na
寸步	Na
chhun5	Dh
存	VC
存歹心	VH
存後	VB
存後步	VB
存錢	VA
存khng3	VC
存命	VA
存辦	Dh
存辦死	Dh
存私傢	
存生死	
存死	Dh
存心	Na;Dh;VH
存心重	VH
存天良	
chhun7死	Dh
春仔花	
春尾	Nd
春菜	Na
春秋	Nd
伸手	VA;Nc
春子	
偆錢	VA;Na;VH
春子	
春水簾雨	Na
伸的	Ne
偆額	Na;VJ
鰆魚	
春華	Na
春花	
春方	Na
春風	Na
春暉	Na
春分	Nd
春分	Nd
春陰	
伸入	VC
春日	Nd
春假	Nd
春耕	VA
伸腳	VA
伸筋草	Na;s ;Nb
伸筋藤	
春宮	Nc
伸勼	VA;VH
春季	Nd
春蘭	
春聯	Na
伸lun5	VA
伸圇	VA
春梅	
春畫	
春餅	Na
春飯	Na
偆飯	Na
春不老	
春宵	Nd
春心動	
春訊	Na
伸頭	VA
春頭	Nd
伸頭瞻	
春天	Nd
伸展	VC
伸長	VH
伸長手	VD;VA
伸勻	VA
趨冰	VA
趨坡	Na
舒被	Na
趨雪	VA
趨勢	Na
趨蹌	VB
出	VC;VJ
齣	Nf
出馬	VA
出賣	VC
出面	VA;VH
出尾	Nc;Na
出沒	VA
出在	VK;VL
出在我	
出在伊	VH
出在家己	VH
出在人	
出在你	
出蹟	VH
出征	VA
出眾	VH
出差	VA
出菜	VA
出青	VH
出請	VF;VC
出超	VH
出笑話	VA
出手	VA;VC
出醜	VH
出廠	VA
出錯	VH
出炊	VA
出取	VH
出處	Nc;Na;on
出嘴	Nc;VC
出伸	VJ
出正	VA
出戰	VC
出掌	VC
出招	VA
出疹	Na
出錢	VA
出招	VF;VC
出借	VD
出眾	VH
出酒	
出罪	VB
出葬	VD;VA;VC
出租	VD
出珠	
出資	VC
出主意	
出自	VJ
出水	VA;VC;VB;VE;VH
出水珠	
舒底	
出厄	VH
出獄	VA
出芽	VA;VH
出額	VH
出業	VH
出外	VA
出外洋	VA
出外景	VA
出外人	Na
出月	
出海	VA
舒毯仔	
蛆蟲	Na
出現	VH
出發	VA
出發點	Nc
出火	VH
出火星	
出貨	VA
出血	VH
出磺口	
出風頭	VH
出痕	VH
出於	VJ
出煙	VH
出演	VC
出院	VA
出遊	VA
出洋	VA
出任	VG
出入	Na;VC
出入境	VA
出入口	Nc
出日	VA
出港	VA;Nc;VC
出家	VA
出嫁	VA
出價	VA;VC
出計智	
出擊	VA
出家人	Na
出境	VA
出腳手	
出空頭	VA
出口	Nc;VC
出口商	Na
出虹	Na
出去	VA
出勤	VA
出缺	VH
出缺	
出氣	VC;VH
出奇	VH
出腳	VC;VH
出局	VH
出光	VH
出汗	VA;VH
出國	VA
出閨	VA
出軌	VH
出鬼	VH
出貴	VH
出骨	
出來	VA
出籠	VA
出人前	VH
出納	Na
出納員	Na
出力	VA;VH
出爐	VH
出路	Na
出名	VH
出名人	Na
出門	VA
出門人	Na
出麻	
出痲仔	
趨倒	VR
出版	VC
出版業	Na
出版社	Nc
出版商	Na
出範	VH
出平儕	
出兵	VC
出帆	VA
出篷	VA
出品	Na;VC
出破	VK;VC;VJ;VH
出殯	VA
出不盡	VC
出不產	VC;VH
出師	
出賽	VA
出山	VA
出產	VJ
出世	VA
出色	VH
出席	VA
出生	VA
出剩	A
出世	VA;VH
出世命	VH
出示	VC
出賒	Na
出聲	VA;Na
出身	VJ;VH
出神	VI;VH
出剩	VJ
出身命	VH
出收	VH
出首	VA
出售	VC
出賞格	VC
出床	VA;VH
出山	VD;VA;VC
出傖	VA;VH
出書	VA
出事	VA;VH
