台語漢字	pos_h
頷帶	Na
頷圍仔	Na
阿媽	Na
奄奄一息	VH
掩攔	VC
庵廟	Na
腌cham	Na;VH
闇戇	VH
闇戇e5	Na
庵院	Nc
腌嬰仔	Na
闇雞	Na
闇憨	
闇kham2戇	
掩kham3	VC;VB
醃缸	
醃瓜	Na
醃瓜蟲	
掩咯雞	VA
腌管蟬	Na
am枚	Na
亞麻	Na
掩胡	VC;VJ
掩鼻	VA
am屁	
腌蜅蟬	Na
am蜅蠐	Na
腌蜚	
闇耽	VH
掩貪	VH
闇貪	VH
安	VC;Nb;VH
氨	Na
aN2	VJ
俺	
按怎	Dh
俺姐	Na
俺叔	Na
俺嬸	Na
按怎	VA;Dh;Dj;VH
按怎樣	Dj;VH
按怎講	VH
按怎m7	Dj
俺祖	Na
按月	Dh
安兄	Na
按鍵	VA
俺公	Na;b
俺姑	Na
aN2規旁	VJ
俺媽	Na
俺媽體	VH
按呢	Na;Da;Nf;Dh;VH
按呢	Da;Nf;Dh
按呢	Da;Nf;Dh;Df
按呢仔	Dk;Dh;VH
按呢生	Dh;Df
俺娘	Na
aN2倚	VJ
俺伯	Na
俺扁	
俺細的	Na
按	P1;P4;VC;VE
案	b
按chia	
案情	Na
aN3前向後	VH
按照	P4
按怎	VA;Dh;Dj;VH
按怎樣	Dh
按下	VR;VC
偃耳	Dh
偃耳聽	VC
案發	VA
aN3腰	VA
案由	Na
按樣	Dh
按日	Dh
按期	Dd
案件	Na
案卷	Na
按例	Dh
按理	Dh
aN3落去	VA
aN3落來	VR
按脈	VB
按摩	VB
案內	VC
按呢	Da;Nf;Dh;Df
按呢生	Na;Dh
按兵不動	VA
按盤	VE
按部就班	Dh
按時	Dd
aN3身	VA
按算	VF;VC;VE
案底	Na
aN3頭	VA;Dh
按頭來	
按定	VE
案桌	Na
aN5	VC
an5	VH
aN5	
an5	b;VH
aN5	VJ
an5	
攔	VC;VJ
an5-an5	Dh
aN5閘	VC;VJ
攔親	VA
aN5食	
aN5做	
an5空	VH
攔歸peng5	VJ
an5逼逼	VF
an5燥	VH
an5-tauh-tauh	VH
an5丟丟	
an5-tong3-tong3	
an5-tu-tu	
餡	Na
限期	VB
限定	VK
阿奶	Na
阿奶娘	
安眠	VA
安眠藥	Na
安靜	VH
安插	VC
安厝	VC
安怎	Dj;VH
安怎創	VA
安怎講	VH
安怎辦	VA
安全	VH
安全帽	Na
安全感	Na
安全梯	Na
安全島	Nc
安全帶	Na
安裝	VC
安葬	VC
尪	
翁	Na;b
甕	Na
齆	
甕仔	b
甕菜	Na
甕串	Na
甕籠	VH
甕籠赤	VH
齆鼻	VH
齆鼻仔	
齆鼻聲	
甕聲	VH
齆聲	Na
甕城	Na
甕凍	
甕底戲	Na
甕毒	
甕肚	Na;VH
紅	VH
紅肉	
紅肉仔	Na
紅肉榕	
紅目	Na;VH
紅目鳥	
紅目睚	
紅目猴	
紅目墘	Na
紅目管	
紅目鰱	
紅馬頭	
紅眠床	
紅面	
紅面馬	
紅面番	
紅帽仔	
紅尾	
紅木	Na
紅	
紅鯮	
紅糟	Na
紅糟鼻	
紅柴	
紅菜	Na
紅菜頭	Na
紅田烏	
紅星	Na
紅松	
紅松柏	
紅蛆	
紅刺蔥	
紅赤	
紅赤尾	
紅赤赤	
紅赤仁土	
紅樹梅	Nc
紅秋姑	Na
紅椿樹	Na
紅紫薇	Na;Nb
紅紫蘇	
紅鳥仔	
紅蟳	Na
紅椒	Na
紅蕉	
紅石仔	Na
紅石花	Na
紅酒	
紅磚仔	Na
紅棗	Na
紅鰽	
紅鰽魚	
紅子仁	Na
紅珠仔	
紅珠木	Na
紅朱朱	
紅水茄	
紅珠螺	
紅嬰	
紅嬰仔	Na
紅鶯	
紅鷹	
紅牙	VH
紅霓	VH
紅嚴公	
紅銀朱	Na
紅銀朱筆	
紅牛尾	
紅霞	Na
