AID	role	content	number	songtablet	action	book
5553	外	阮今憑你說下落	40.031	NULL	NULL	荔鏡記--嘉靖
5554	NULL	若卜不見你著纏	40.032	NULL	並下	荔鏡記--嘉靖
5555	NULL	旅館叙情	41	NULL	第四十一出	荔鏡記--嘉靖
5556	NULL	做緊RR	41.001	秋夜月	NULL	荔鏡記--嘉靖
5557	NULL	且趁日頭未	41.002	NULL	NULL	荔鏡記--嘉靖
5558	NULL	那恨襪小弓鞋短	41.003	NULL	NULL	荔鏡記--嘉靖
5559	NULL	為著人情到只處	41.004	NULL	NULL	荔鏡記--嘉靖
5560	NULL	又畏爹媽趕來尋	41.005	NULL	NULL	荔鏡記--嘉靖
5561	NULL	定是惹出一場禍	41.006	NULL	NULL	荔鏡記--嘉靖
5562	NULL	彩雲易散琉璃碎	41.007	NULL	NULL	荔鏡記--嘉靖
5563	旦白	官人啞	41.008	NULL	NULL	荔鏡記--嘉靖
5564	NULL	阮腳痛都袂行了	41.009	NULL	NULL	荔鏡記--嘉靖
5565	生	娘仔做緊	41.01	NULL	NULL	荔鏡記--嘉靖
5566	NULL	行上幾步，前去便是客店	41.011	NULL	NULL	荔鏡記--嘉靖
5567	旦	我今寸步難行	41.012	NULL	NULL	荔鏡記--嘉靖
5568	NULL	腳酸手軟行不起	41.013	拈地風	NULL	荔鏡記--嘉靖
5569	NULL	依倚步R啼	41.014	NULL	NULL	荔鏡記--嘉靖
5570	NULL	腹內又驚又飢	41.015	NULL	NULL	荔鏡記--嘉靖
5571	NULL	卜力著做侢得變	41.016	NULL	NULL	荔鏡記--嘉靖
5572	NULL	恁今強企行一里	41.017	NULL	NULL	荔鏡記--嘉靖
5573	NULL	前去店內歇一冥	41.018	NULL	NULL	荔鏡記--嘉靖
5574	NULL	益春，叫店主出來	41.019	NULL	NULL	荔鏡記--嘉靖
5575	NULL	行船坐舖，不離寸步	41.02	NULL	占叫淨上	荔鏡記--嘉靖
5576	NULL	恁卜歇店	41.021	NULL	見介	荔鏡記--嘉靖
5577	NULL	請入內來	41.022	NULL	NULL	荔鏡記--嘉靖
5578	NULL	店婆	41.023	NULL	生旦占介	荔鏡記--嘉靖
5579	NULL	阮行來辛苦	41.024	NULL	NULL	荔鏡記--嘉靖
5580	NULL	恁有好酒啞無	41.025	NULL	NULL	荔鏡記--嘉靖
5581	淨	婆仔十分有好酒	41.026	NULL	NULL	荔鏡記--嘉靖
5582	生	既是有好酒	41.027	NULL	NULL	荔鏡記--嘉靖
5583	NULL	打一壺來	41.028	NULL	NULL	荔鏡記--嘉靖
5584	淨	釀成春夏秋冬酒	41.029	NULL	NULL	荔鏡記--嘉靖
5585	NULL	醉倒東西南北人	41.03	NULL	NULL	荔鏡記--嘉靖
5586	NULL	酒在此	41.031	NULL	淨下	荔鏡記--嘉靖
5587	生	一更鼓打，月朦朧	41.032	江兒水	NULL	荔鏡記--嘉靖
5588	NULL	照見恁三人	41.033	NULL	NULL	荔鏡記--嘉靖
5589	NULL	勸食一杯酒	41.034	NULL	NULL	荔鏡記--嘉靖
5590	NULL	且解心頭鬆	41.035	NULL	NULL	荔鏡記--嘉靖
5591	NULL	人情相惜不甘放	41.036	NULL	NULL	荔鏡記--嘉靖
5592	旦	二更鼓打	41.037	NULL	NULL	荔鏡記--嘉靖
5593	NULL	月在天邊	41.038	NULL	NULL	荔鏡記--嘉靖
5594	NULL	勸君食些兒	41.039	NULL	NULL	荔鏡記--嘉靖
5595	NULL	半醉又半醒	41.04	NULL	NULL	荔鏡記--嘉靖
5596	NULL	半驚半歡喜	41.041	NULL	NULL	荔鏡記--嘉靖
5597	NULL	憶著思情畏雞啼	41.042	NULL	NULL	荔鏡記--嘉靖
5598	占	三更鼓打，月正光	41.043	NULL	NULL	荔鏡記--嘉靖
5599	NULL	三人說起乜心酸	41.044	NULL	NULL	荔鏡記--嘉靖
5600	NULL	覓除爹媽在後頭	41.045	NULL	NULL	荔鏡記--嘉靖
5601	NULL	思量起來目滓流	41.046	NULL	NULL	荔鏡記--嘉靖
5602	旦	四更鼓打，月西斜	41.047	NULL	NULL	荔鏡記--嘉靖
5603	NULL	共君說盡今宵事	41.048	NULL	NULL	荔鏡記--嘉靖
5604	NULL	你莫學負心蔡伯喈	41.049	NULL	NULL	荔鏡記--嘉靖
5605	NULL	王魁賊乞丐	41.05	NULL	NULL	荔鏡記--嘉靖
5606	NULL	誤了桂英不瞅睬	41.051	NULL	NULL	荔鏡記--嘉靖
5607	占	五更鼓打，天漸光	41.052	NULL	NULL	荔鏡記--嘉靖
5608	NULL	雞啼聲鬧亂	41.053	NULL	NULL	荔鏡記--嘉靖
5609	NULL	娘仔起梳妝	41.054	NULL	NULL	荔鏡記--嘉靖
5610	NULL	菱花鏡抱來瞈	41.055	NULL	NULL	荔鏡記--嘉靖
5611	NULL	照見啞娘面青黃	41.056	NULL	NULL	荔鏡記--嘉靖
5612	生白	天色句未光	41.057	NULL	NULL	荔鏡記--嘉靖
5613	NULL	未有人行路	41.058	NULL	NULL	荔鏡記--嘉靖
5614	NULL	不免辭除店主	41.059	NULL	NULL	荔鏡記--嘉靖
5615	NULL	早行幾步	41.06	NULL	生旦占走介	荔鏡記--嘉靖
5616	生	見說洛陽花似錦	41.061	四邊靜	NULL	荔鏡記--嘉靖
5617	NULL	果然娘仔有只真心	41.062	NULL	NULL	荔鏡記--嘉靖
5618	NULL	江海雖深，無恁人情深	41.063	NULL	NULL	荔鏡記--嘉靖
5619	NULL	雙人做卜如花似錦	41.064	NULL	NULL	荔鏡記--嘉靖
5620	占	五更月落花園頭	41.065	NULL	NULL	荔鏡記--嘉靖
5621	NULL	五娘牽君目滓流	41.066	NULL	NULL	荔鏡記--嘉靖
5622	NULL	為著君人情	41.067	NULL	NULL	荔鏡記--嘉靖
5623	NULL	刈捨共君走	41.068	NULL	NULL	荔鏡記--嘉靖
5624	NULL	又畏天光，那畏人來力	41.069	NULL	NULL	荔鏡記--嘉靖
5625	NULL	人情似水	41.07	NULL	NULL	荔鏡記--嘉靖
5626	NULL	刀劍破不開	41.071	NULL	NULL	荔鏡記--嘉靖
5627	NULL	穿線入石	41.072	NULL	NULL	荔鏡記--嘉靖
5628	NULL	也卜共君相隨	41.073	NULL	NULL	荔鏡記--嘉靖
5629	旦	共君斷約柳樹兜	41.074	NULL	NULL	荔鏡記--嘉靖
5630	NULL	風吹柳葉絆郎頭	41.075	NULL	NULL	荔鏡記--嘉靖
5631	NULL	泉州路遠RR	41.076	NULL	NULL	荔鏡記--嘉靖
5632	NULL	甲阮值時行得到	41.077	NULL	NULL	荔鏡記--嘉靖
5633	NULL	那碍爹媽在後頭	41.078	NULL	NULL	荔鏡記--嘉靖
5634	NULL	值曾識出路，受只艱辛	41.079	NULL	NULL	荔鏡記--嘉靖
5635	NULL	今旦為君識只路程	41.08	NULL	NULL	荔鏡記--嘉靖
5636	NULL	玉露濕透胭粉面	41.081	NULL	NULL	荔鏡記--嘉靖
5637	NULL	輕風吹送柳搖金	41.082	NULL	NULL	荔鏡記--嘉靖
5638	NULL	英臺山伯冤魂結深	41.083	NULL	NULL	荔鏡記--嘉靖
5639	NULL	是阮前世湊合恁	41.084	NULL	NULL	荔鏡記--嘉靖
5640	NULL	今旦為君	41.085	NULL	NULL	荔鏡記--嘉靖
5641	NULL	論乜山嶺萬重	41.086	NULL	NULL	荔鏡記--嘉靖
5642	生	綠水青山是畫圖	41.087	NULL	NULL	荔鏡記--嘉靖
5643	NULL	星光水現正好行路	41.088	NULL	NULL	荔鏡記--嘉靖
5644	NULL	一輪光月照見柳搖金	41.089	NULL	NULL	荔鏡記--嘉靖
5645	NULL	輕風吹送蓮花舞	41.09	NULL	NULL	荔鏡記--嘉靖
5646	NULL	感謝娘仔	41.091	NULL	NULL	荔鏡記--嘉靖
5647	NULL	煩動我小妹	41.092	NULL	NULL	荔鏡記--嘉靖
5648	NULL	今旦為恁碧雲煙	41.093	NULL	NULL	荔鏡記--嘉靖
5649	NULL	三人行到藍橋路，神仙景	41.094	NULL	NULL	荔鏡記--嘉靖
5650	NULL	行入帝王都	41.095	NULL	NULL	荔鏡記--嘉靖
5651	NULL	但願只去平安	41.096	NULL	NULL	荔鏡記--嘉靖
5652	NULL	心內即不見憂苦	41.097	NULL	NULL	荔鏡記--嘉靖
5653	入 白	憶著爹媽淚哀R	41.098	NULL	NULL	荔鏡記--嘉靖
5654	NULL	娘仔寬心莫皺眉	41.099	NULL	NULL	荔鏡記--嘉靖
5655	NULL	樹鳥客鳥同枝宿	41.1	NULL	NULL	荔鏡記--嘉靖
5656	NULL	好怯全然未得知	41.101	NULL	並下	荔鏡記--嘉靖
5657	NULL	靈山說誓	42	NULL	第四十二出	荔鏡記--嘉靖
5658	末判淨鬼	親領娘R敕旨	42.001	粉蝶兒	NULL	荔鏡記--嘉靖
5659	NULL	不敢違遲	42.002	NULL	NULL	荔鏡記--嘉靖
5660	NULL	神通變化無比	42.003	NULL	NULL	荔鏡記--嘉靖
5661	NULL	威風顯聖無偏	42.004	NULL	NULL	荔鏡記--嘉靖
5662	NULL	金爐內香煙不離	42.005	NULL	NULL	荔鏡記--嘉靖
5663	NULL	小神不是別神	42.006	NULL	NULL	荔鏡記--嘉靖
5664	NULL	便是靈山廟娘R殿前	42.007	NULL	NULL	荔鏡記--嘉靖
5665	NULL	著法判官便是	42.008	NULL	NULL	荔鏡記--嘉靖
5666	NULL	娘R出去赴會未返	42.009	NULL	NULL	荔鏡記--嘉靖
5667	NULL	恐畏遠近弟子來廟燒香下紙	42.01	NULL	NULL	荔鏡記--嘉靖
5668	NULL	須著速扮威儀	42.011	NULL	NULL	荔鏡記--嘉靖
5669	淨	正是展起神通光一點	42.012	NULL	NULL	荔鏡記--嘉靖
5670	NULL	免得迷人暗處行	42.013	NULL	NULL	荔鏡記--嘉靖
5671	NULL	行來到靈山廟口	42.014	婁R金	生旦占上	荔鏡記--嘉靖
5672	NULL	判官小鬼把在門兜	42.015	NULL	NULL	荔鏡記--嘉靖
5673	NULL	廟前生草無人行到	42.016	NULL	NULL	荔鏡記--嘉靖
5674	NULL	君恁先行，阮隨後	42.017	NULL	NULL	荔鏡記--嘉靖
5675	NULL	三人入廟內，燒香告投	42.018	NULL	NULL	荔鏡記--嘉靖
5676	NULL	RR	42.019	NULL	NULL	荔鏡記--嘉靖
5677	生	請娘仔燒香	42.02	NULL	NULL	荔鏡記--嘉靖
5678	旦	官人燒香便是	42.021	NULL	NULL	荔鏡記--嘉靖
5679	生	弟子是泉州人氏	42.022	NULL	NULL	荔鏡記--嘉靖
5680	NULL	在此潮州經過	42.023	NULL	NULL	荔鏡記--嘉靖
5681	NULL	恐畏前去路途不平	42.024	NULL	NULL	荔鏡記--嘉靖
5682	NULL	善願投娘R保庇	42.025	NULL	NULL	荔鏡記--嘉靖
5683	NULL	一齊告神祇	42.026	蠻牌令	生旦占拜	荔鏡記--嘉靖
5684	NULL	燒香獻紙錢	42.027	NULL	NULL	荔鏡記--嘉靖
5685	NULL	保庇阮三人	42.028	NULL	NULL	荔鏡記--嘉靖
5686	NULL	走卜身離。乞靈聖	42.029	NULL	NULL	荔鏡記--嘉靖
5687	NULL	暗相扶持。到泉州，心即歡喜	42.03	NULL	NULL	荔鏡記--嘉靖
5688	NULL	許時來謝神祇	42.031	NULL	NULL	荔鏡記--嘉靖
5689	NULL	娘R爾聖廟	42.032	NULL	NULL	荔鏡記--嘉靖
5690	NULL	阮來全新更起	42.033	NULL	NULL	荔鏡記--嘉靖
5691	生	燒香了	42.034	NULL	NULL	荔鏡記--嘉靖
5692	NULL	做緊起身	42.035	NULL	NULL	荔鏡記--嘉靖
5693	旦	官人姻緣說卜盡	42.036	NULL	NULL	荔鏡記--嘉靖
5694	NULL	恁丈夫人口說無憑	42.037	NULL	NULL	荔鏡記--嘉靖
5695	NULL	莫待去到你厝虧心	42.038	NULL	NULL	荔鏡記--嘉靖
5696	NULL	益春	42.039	NULL	NULL	荔鏡記--嘉靖
5697	NULL	到只處誰人是親	42.04	NULL	NULL	荔鏡記--嘉靖
5698	占	官人	42.041	NULL	NULL	荔鏡記--嘉靖
5699	NULL	阮娘仔來到只處，即憶著厝	42.042	NULL	NULL	荔鏡記--嘉靖
5700	生	娘仔到只其段即猶豫	42.043	NULL	NULL	荔鏡記--嘉靖
5701	NULL	娘仔既不信	42.044	NULL	NULL	荔鏡記--嘉靖
5702	NULL	待小人就娘R面前咒誓	42.045	NULL	NULL	荔鏡記--嘉靖
5703	旦	你咒	45.046	NULL	NULL	荔鏡記--嘉靖
5704	生	有神明在阮做證明	42.047	NULL	NULL	荔鏡記--嘉靖
5705	NULL	到我厝若虧心	42.048	NULL	NULL	荔鏡記--嘉靖
5706	NULL	娘R你報應，譴責伯卿	42.049	NULL	NULL	荔鏡記--嘉靖
5707	旦	君恁有心，阮有情	42.05	NULL	尾聲	荔鏡記--嘉靖
5708	NULL	到其段說無盡	42.051	NULL	NULL	荔鏡記--嘉靖
5709	NULL	三人一齊行做緊	42.052	NULL	NULL	荔鏡記--嘉靖
5710	NULL	全望娘R相推排	42.053	NULL	NULL	荔鏡記--嘉靖
5711	NULL	夫妻一對早和諧	42.054	NULL	NULL	荔鏡記--嘉靖
5712	末淨/判鬼	好生叵耐	42.055	NULL	下	荔鏡記--嘉靖
5713	NULL	三人空口哺舌來下紙	42.056	NULL	NULL	荔鏡記--嘉靖
5714	NULL	只一丈夫便是泉州人氏	42.057	NULL	NULL	荔鏡記--嘉靖
5715	NULL	只諸娘是潮州人	42.058	NULL	NULL	荔鏡記--嘉靖
5716	NULL	二人是前世夫妻	42.059	NULL	NULL	荔鏡記--嘉靖
5717	NULL	今走來懶只廟內下紙	42.06	NULL	NULL	荔鏡記--嘉靖
5718	NULL	後去句有一大難	42.061	NULL	NULL	荔鏡記--嘉靖
5719	NULL	即會夫妻團圓	42.062	NULL	NULL	荔鏡記--嘉靖
5720	NULL	恁今迷乞伊走不離	42.063	NULL	NULL	荔鏡記--嘉靖
5721	NULL	乞人力著	42.064	NULL	NULL	荔鏡記--嘉靖
5722	下白	差遣陰兵去迷伊	42.065	NULL	NULL	荔鏡記--嘉靖
5723	NULL	乞人力去到官司	42.066	NULL	NULL	荔鏡記--嘉靖
5724	NULL	路遇伊兄都堂返	42.067	NULL	NULL	荔鏡記--嘉靖
5725	NULL	判斷雙人得團圓	42.068	NULL	NULL	荔鏡記--嘉靖
5726	NULL	途中遇捉	43	NULL	第四十三出	荔鏡記--嘉靖
5727	NULL	乜人喝噉聲起	43.001	金錢花	生旦占上	荔鏡記--嘉靖
5728	NULL	RR？腳酸手軟提不起	43.002	NULL	NULL	荔鏡記--嘉靖
5729	NULL	恁只三人走去值	43.003	NULL	淨末上力	荔鏡記--嘉靖
5730	合	告將軍	43.004	NULL	NULL	荔鏡記--嘉靖
5731	NULL	可憐見	43.005	NULL	NULL	荔鏡記--嘉靖
5732	NULL	卜錢銀，無半釐	43.006	NULL	NULL	荔鏡記--嘉靖
5733	NULL	饒阮性命返鄉里	43.007	NULL	NULL	荔鏡記--嘉靖
5734	淨末	阮不是賊	43.008	NULL	NULL	荔鏡記--嘉靖
5735	NULL	阮是知州差來力恁三人	43.009	NULL	NULL	荔鏡記--嘉靖
5736	生	官差跪伊做乜	43.01	NULL	NULL	荔鏡記--嘉靖
5737	NULL	刀劍雖利	43.011	NULL	起白	荔鏡記--嘉靖
5738	NULL	不斬無罪之人	43.012	NULL	NULL	荔鏡記--嘉靖
5739	NULL	你是乜人，卜力阮	43.013	NULL	NULL	荔鏡記--嘉靖
5740	淨	只一後生句可惡	43.014	NULL	NULL	荔鏡記--嘉靖
5741	NULL	阮公差	43.015	NULL	NULL	荔鏡記--嘉靖
5742	NULL	林大告你拐走伊ㄙ	43.016	NULL	NULL	荔鏡記--嘉靖
5743	NULL	現有牌面在只	43.017	NULL	NULL	荔鏡記--嘉靖
5744	NULL	你看一看	43.018	NULL	NULL	荔鏡記--嘉靖
5745	生	誰卜看你牌面	43.019	NULL	NULL	荔鏡記--嘉靖
5746	NULL	干碍我乜事	43.02	NULL	NULL	荔鏡記--嘉靖
5747	淨	你夭諍	43.021	NULL	NULL	荔鏡記--嘉靖
5748	NULL	你是陳三	43.022	NULL	NULL	荔鏡記--嘉靖
5749	生	誰是陳三	43.023	NULL	NULL	荔鏡記--嘉靖
5750	淨	你是五娘	43.024	NULL	NULL	荔鏡記--嘉靖
5751	旦	誰是五娘	43.025	NULL	NULL	荔鏡記--嘉靖
5752	淨	你是益春	43.026	NULL	NULL	荔鏡記--嘉靖
5753	占	誰是益春	43.027	NULL	NULL	荔鏡記--嘉靖
5754	淨	都諍去	43.028	NULL	NULL	荔鏡記--嘉靖
5755	末	第二个，伊是謔你	43.029	NULL	NULL	荔鏡記--嘉靖
5756	淨	來，後生个	43.03	NULL	NULL	荔鏡記--嘉靖
5757	NULL	我今年四十歲	43.031	NULL	NULL	荔鏡記--嘉靖
5758	NULL	當有四、五十年皂隸了	43.032	NULL	NULL	荔鏡記--嘉靖
5759	NULL	莫謔我	43.033	NULL	NULL	荔鏡記--嘉靖
5760	生	障說，便是積年	43.034	NULL	NULL	荔鏡記--嘉靖
5761	淨	閑話	43.035	NULL	NULL	荔鏡記--嘉靖
5762	NULL	人說：誤力無誤放	43.036	NULL	NULL	荔鏡記--嘉靖
5763	NULL	力來去	43.037	NULL	NULL	荔鏡記--嘉靖
5764	NULL	乞你會不是，我著回你	43.038	NULL	NULL	荔鏡記--嘉靖
5765	旦	官人卜做侢得好	43.039	NULL	NULL	荔鏡記--嘉靖
5766	生	首領哥哥，聽阮告說	43.04	皂羅袍	NULL	荔鏡記--嘉靖
5767	NULL	無奈何，千萬乞一面皮	43.041	NULL	NULL	荔鏡記--嘉靖
5768	NULL	犯姦八十，有乜大罪	43.042	NULL	NULL	荔鏡記--嘉靖
5769	NULL	做一些仔人情	43.043	NULL	NULL	荔鏡記--嘉靖
5770	NULL	免阮受災禍	43.044	NULL	NULL	荔鏡記--嘉靖
5771	淨	你，都不聽見人說	43.045	NULL	NULL	荔鏡記--嘉靖
5772	NULL	快活霎時久	43.046	NULL	NULL	荔鏡記--嘉靖
5773	NULL	煩惱一間厝	43.047	NULL	NULL	荔鏡記--嘉靖
5774	NULL	來去，我袂管得	43.048	NULL	NULL	荔鏡記--嘉靖
5775	生旦	送銀十兩為阮回去	43.049	NULL	NULL	荔鏡記--嘉靖
5776	淨	天光間眾了	43.05	NULL	NULL	荔鏡記--嘉靖
5777	NULL	一百兩亦不敢放恁去	43.051	NULL	NULL	荔鏡記--嘉靖
5778	NULL	賣放罪無人坐	43.052	NULL	NULL	荔鏡記--嘉靖
5779	生旦	由伊卜監卜禁	43.053	NULL	NULL	荔鏡記--嘉靖
5780	NULL	由伊卜斬卜砍	43.054	NULL	NULL	荔鏡記--嘉靖
5781	NULL	乞阮三人做一處	43.055	NULL	NULL	荔鏡記--嘉靖
5782	淨	你只人舊性不改	43.056	NULL	NULL	荔鏡記--嘉靖
5783	NULL	那因三人做一處，即會惹禍	43.057	NULL	NULL	荔鏡記--嘉靖
5784	NULL	又卜三人做一處	43.058	NULL	NULL	荔鏡記--嘉靖
5785	旦	今到只處，乜見受苦	43.059	NULL	NULL	荔鏡記--嘉靖
5786	NULL	犯姦八十有乜大故	43.06	NULL	NULL	荔鏡記--嘉靖
5787	NULL	侢得冤家離別路	43.061	NULL	NULL	荔鏡記--嘉靖
5788	生	首領尊兄	43.062	NULL	NULL	荔鏡記--嘉靖
5789	NULL	將阮娘仔只頭上金首飾都乞你	43.063	NULL	NULL	荔鏡記--嘉靖
5790	NULL	并銀十兩	43.064	NULL	NULL	荔鏡記--嘉靖
5791	NULL	千萬做些兒方便	43.065	NULL	NULL	荔鏡記--嘉靖
5792	NULL	放乞阮走	43.066	NULL	NULL	荔鏡記--嘉靖
5793	淨末	不准	43.067	NULL	NULL	荔鏡記--嘉靖
5794	NULL	不合貪心圖謀	43.068	NULL	NULL	荔鏡記--嘉靖
5795	NULL	林大告你偷櫒伊ㄙ	43.069	NULL	NULL	荔鏡記--嘉靖
5796	NULL	現有牌票不差誤	43.07	NULL	NULL	荔鏡記--嘉靖
5797	NULL	有金不惡開走路	43.071	NULL	NULL	荔鏡記--嘉靖
5798	NULL	好R共我來去	43.072	NULL	NULL	荔鏡記--嘉靖
5799	NULL	免得我縛你	43.073	NULL	NULL	荔鏡記--嘉靖
5800	入	歡喜未來煩惱到	43.074	NULL	NULL	荔鏡記--嘉靖
5801	NULL	一場恩愛水中流	43.075	NULL	NULL	荔鏡記--嘉靖
5802	NULL	力只三人押返去	43.076	NULL	NULL	荔鏡記--嘉靖
5803	NULL	句有好事在後頭	43.077	NULL	並下	荔鏡記--嘉靖
5804	NULL	知州判詞	44	NULL	第四十四出	荔鏡記--嘉靖
5805	末上	叵耐陳三可貪心	44.001	菊花新	NULL	荔鏡記--嘉靖
5806	NULL	拐誘五娘情意真	44.002	NULL	NULL	荔鏡記--嘉靖
5807	NULL	牌差捕甲去趕力	44.003	NULL	NULL	荔鏡記--嘉靖
5808	NULL	當臺審問實共虛	44.004	NULL	NULL	荔鏡記--嘉靖
5809	NULL	懼法朝R樂	44.005	NULL	NULL	荔鏡記--嘉靖
5810	NULL	欺公日日憂	44.006	NULL	NULL	荔鏡記--嘉靖
5811	NULL	前日牌差、捕甲	44.007	NULL	NULL	荔鏡記--嘉靖
5812	NULL	曾經前去提獲陳三一起姦情	44.008	NULL	NULL	荔鏡記--嘉靖
5813	NULL	因乜不見回報	44.009	NULL	NULL	荔鏡記--嘉靖
5814	NULL	不免叫承行吏寫票	44.01	NULL	NULL	荔鏡記--嘉靖
5815	NULL	力原差。多少是好	44.011	NULL	NULL	荔鏡記--嘉靖
5816	丑上	人心似鐵	44.012	NULL	NULL	荔鏡記--嘉靖
5817	NULL	果然官法如爐	44.013	NULL	NULL	荔鏡記--嘉靖
5818	NULL	稟老爹	44.014	NULL	見官	荔鏡記--嘉靖
5819	NULL	陳三一起姦情到了	44.015	NULL	NULL	荔鏡記--嘉靖
5820	末	放過來	44.016	NULL	NULL	荔鏡記--嘉靖
5821	NULL	離除龍，沖著虎	44.017	NULL	生旦占上	荔鏡記--嘉靖
5822	NULL	心中受辛苦	44.018	NULL	NULL	荔鏡記--嘉靖
5823	NULL	匍匐府廳告訴	44.019	NULL	NULL	荔鏡記--嘉靖
5824	末	陳三，過來	44.02	NULL	NULL	荔鏡記--嘉靖
5825	NULL	你是人養的奴婢	44.021	NULL	NULL	荔鏡記--嘉靖
5826	NULL	姦拐家長子女	44.022	NULL	NULL	荔鏡記--嘉靖
5827	NULL	不安為奴本分	44.023	NULL	NULL	荔鏡記--嘉靖
5828	NULL	甚麼道理	44.024	NULL	NULL	荔鏡記--嘉靖
5829	生	告稟老爹	44.025	NULL	NULL	荔鏡記--嘉靖
5830	NULL	容小的分訴	44.026	NULL	NULL	荔鏡記--嘉靖
5831	NULL	小的因送大哥嫂廣南赴任	44.027	NULL	NULL	荔鏡記--嘉靖
5832	NULL	返來潮州	44.028	NULL	NULL	荔鏡記--嘉靖
5833	NULL	經過黃中志招小的進贅	44.029	NULL	NULL	荔鏡記--嘉靖
5834	NULL	後來輕遠就近，悔了這親	44.03	NULL	NULL	荔鏡記--嘉靖
5835	NULL	將五娘許與林大	44.031	NULL	NULL	荔鏡記--嘉靖
5836	NULL	是小的怪恨	44.032	NULL	NULL	荔鏡記--嘉靖
5837	NULL	要同五娘回家，不曾稟知	44.033	NULL	NULL	荔鏡記--嘉靖
5838	NULL	而今被林大誣告	44.034	NULL	NULL	荔鏡記--嘉靖
5839	NULL	望老爹詳情察理	44.035	NULL	NULL	荔鏡記--嘉靖
5840	NULL	斧斷冤屈，筆下超生	44.036	NULL	NULL	荔鏡記--嘉靖
5841	末	黃中志是糧長之家	44.037	NULL	NULL	荔鏡記--嘉靖
5842	NULL	肯招你奴才進贅	44.038	NULL	NULL	荔鏡記--嘉靖
5843	NULL	這話胡說	44.039	NULL	NULL	荔鏡記--嘉靖
5844	介	黃五娘上來	44.04	NULL	NULL	荔鏡記--嘉靖
5845	NULL	問你	44.041	NULL	NULL	荔鏡記--嘉靖
5846	NULL	R是良家子女	44.042	NULL	NULL	荔鏡記--嘉靖
5847	NULL	這等不才	44.043	NULL	NULL	荔鏡記--嘉靖
5848	NULL	怎麼和奴才走	44.044	NULL	NULL	荔鏡記--嘉靖
5849	NULL	這情從實說來	44.045	NULL	NULL	荔鏡記--嘉靖
5850	NULL	免我刑罰你	44.046	NULL	NULL	荔鏡記--嘉靖
5851	旦	告稟老爹	44.047	NULL	NULL	荔鏡記--嘉靖
5852	NULL	容奴婢分訴	44.048	NULL	NULL	荔鏡記--嘉靖
5853	NULL	因父親先招陳三進贅	44.049	NULL	NULL	荔鏡記--嘉靖
5854	NULL	後來父親輕遠就近，悔了這親	44.05	NULL	NULL	荔鏡記--嘉靖
5855	NULL	是奴婢要同陳三回去拜望爹媽	44.051	NULL	NULL	荔鏡記--嘉靖
5856	NULL	不曾稟明	44.052	NULL	NULL	荔鏡記--嘉靖
5857	NULL	望老爹察情	44.053	NULL	NULL	荔鏡記--嘉靖
5858	末	一片胡說	44.054	NULL	NULL	荔鏡記--嘉靖
5859	NULL	押在一邊伺候	44.055	NULL	NULL	荔鏡記--嘉靖
5860	NULL	益春你是人家養的丫頭	44.056	NULL	介	荔鏡記--嘉靖
5861	NULL	你娘仔和陳三走	44.057	NULL	NULL	荔鏡記--嘉靖
5862	NULL	你應當與家長知	44.058	NULL	NULL	荔鏡記--嘉靖
5863	NULL	怎麼也同他一起走	44.059	NULL	NULL	荔鏡記--嘉靖
5864	NULL	想起來只因由都是你這丫頭	44.06	NULL	NULL	荔鏡記--嘉靖
5865	NULL	做出這樣勾當	44.061	NULL	NULL	荔鏡記--嘉靖
5866	NULL	你好R說來	44.062	NULL	NULL	荔鏡記--嘉靖
5867	占	告稟老爹	44.063	NULL	NULL	荔鏡記--嘉靖
5868	NULL	益春做人奴婢	44.064	NULL	NULL	荔鏡記--嘉靖
5869	NULL	從小跟著娘仔	44.065	NULL	NULL	荔鏡記--嘉靖
5870	NULL	怎麼敢私情	44.066	NULL	NULL	荔鏡記--嘉靖
5871	NULL	因陳三同娘仔要往泉州望親	44.067	NULL	NULL	荔鏡記--嘉靖
5872	NULL	別甚麼事奴婢不曉得：是實	44.068	NULL	NULL	荔鏡記--嘉靖
5873	末	這丫頭也不肯招認	44.069	NULL	NULL	荔鏡記--嘉靖
5874	NULL	左右來，上來挾起	44.07	NULL	NULL	荔鏡記--嘉靖
5875	占	告相公乞聽說起	44.071	漿水令	NULL	荔鏡記--嘉靖
5876	NULL	因林大不中阮娘仔意	44.072	NULL	NULL	荔鏡記--嘉靖
5877	NULL	即共陳三結相知	44.073	NULL	NULL	荔鏡記--嘉靖
5878	NULL	荔枝為媒	44.074	NULL	NULL	荔鏡記--嘉靖
5879	NULL	益春證見	44.075	NULL	NULL	荔鏡記--嘉靖
5880	末	賊婢仔胡說亂說	44.076	NULL	NULL	荔鏡記--嘉靖
5881	NULL	七三八四	44.077	NULL	NULL	荔鏡記--嘉靖
5882	NULL	左右敲起來	44.078	NULL	NULL	荔鏡記--嘉靖
5883	NULL	添上刑罰，收禁凌遲	44.079	NULL	NULL	荔鏡記--嘉靖
5884	旦唱	打死益春，五娘替死	44.08	NULL	NULL	荔鏡記--嘉靖
5885	NULL	莫力三哥胡相帶利	44.081	NULL	NULL	荔鏡記--嘉靖
5886	NULL	阮三人	44.082	NULL	NULL	荔鏡記--嘉靖
5887	NULL	RR，是鳥著答，虎落網	44.083	NULL	NULL	荔鏡記--嘉靖
5888	NULL	不得身離	44.084	NULL	NULL	荔鏡記--嘉靖
