台語漢字,pos_h
一下子,Na
一下手,Dd
一下按呢,Dk
一丹好,VH
一久仔,Dd
一停仔,Na
一則,Cb
一勞永逸,VH
一半日,Nd
一味,Dh
一嘴氣,Na
一夥,Nf
一字平,VH
一家一家,Dh
一寸仔,Df
一尾,Nd
一己,A
一席之地,Na
一帶,Ng
一年半載,Nd
一庀仔,Df
一度好,VH
一廂情願,VH
一意孤行,VA
一應俱全,VH
一所在,Dg
一手,Nf
一技之長,Na
一掃空,VH
一掃而空,VH
一搭,Nc
一方面,Cb
一旁,Nc
一日一日,Dd
一早,Dd
一是一二是二,VH
一時之間,Dd
一晡久,Na
一暫仔,Na
一月,Nd
一朝,Dd
一枝獨秀,VH
一枝香,Nb
一條根,VH
一樣,Da
一步取,Na
一氣,Na
一氧化碳,Na
一波三折,VH
一派胡言,Na
一流水,VH
一炮而紅,VH
一無所知,VI
一爿,Nc
一片帆,VH
一痎,VH
一盡,Da
一目,Na
一目nih,Na
一目了然,VH
一目仔,Na
一目瞬,Na
一直到,P1
一睏,Dd
一睏手,Na
一知半解,VH
一筆勾銷,VB
一筆成,VH
一等一,Na
一籌莫展,VH
一統,VC
一絲不掛,VH
一網打盡,VB
一緊,Dh
一腹火,Na
一臂之力,Na
一致性,Na
一舉,Dh
一般性,Na
一落千丈,VH
一視同仁,VB
一覽表,Na
一角,Nc
一觸即發,VH
一言不合,VH
一言堂,Nc
一語,Na
一路上,Dg
一蹶不振,VH
一輒久,Nd
一輒仔久,Na
一陣,Na
一陣仔,Na
一霎仔,Dd
一面倒,VH
一頭霧水,VH
一馬當先,VA
一鳴驚人,VH
一點點仔,Da
丁字尺,Na
丁香,Na
七仔,Na
七仔科,Na
七寸金,Na
七巧圖,Na
七彩,Na
七捏八捏,VC
七星鱸,Na
七美,Nc
七色,Na
七講八講,VA
七里香,Na
丈夫,Na
三lian2車,Na
三不等,VH
三不管,A
三令五申,VE
三光,Na
三八嘴,Na
三八赤,VH
三十,Ne
三叉草,Na
三合,Na
三商銀,Nc
三堡三,Na
三壘手,Na
三字經,Na
三峽,Nc
三巴壟,Nc
三思而行,VA
三把車,P0
三支手,Na
三斑搖,Dh
三日新,VH
三星,Nb
三更暝半,Nd
三牲胚,Na
三牲頭,VA
三生,Na
三番五覆,Dd
三白,Na
三碗飯,VA
三節六蹺,VH
三節曲,VA
三節蹺,VA
三級跳,VA
三總,Nc
三腳tu,VA
三腳丁,Na
三腳仔,Na
三腳弓,VA
三腳架,Na
三腳株,VA
三腳砧,Na
三腳虎,Na
三腳貓,Na
三腳馬,Na
三色,Na
三芝,Nc
三花,Na
三葉酸,Na
三藍,Na
三角形,Na
三角梅,Na
三角目,VJ
三角花,Na
三角薸,VH
三讀會,Na
三軍總醫院,Nc
三輕,Nc
三部曲,Na
三重市,Nc
三隻手,Na
三齣頭,Na
上sian,VH
上丁,VH
上位,Nc
上來,VA
上儕,Db
上元節,Nd
上去,VA
上取,VC
上品,Na
上好勢,Ne
上尉,Na
上尾手,Nd
上床,VA
上店窗,VA
上後壁,Nd
上後腳,VA
上早,Dd
上春,Nd
上格,VH
上樓,VA
上樣,VH
上正,VH
上歲頭,VH
上海,Nc
上海市,Nc
上溡,VH
上煞尾,Nd
上片,Nf
上疆,Na
上算,VH
上範,VH
上腳,VA
上至少,Da
上船,VA
上菜市,VH
上蓋儕,Da
上蓋好,Db
上蓋近,Nd
上街,VA
上諓,VA
上路尾,Nd
上近,Nd
上運,Nd
上釣,VH
上門,VA
上門娶,VB
上陣,VA
上陸,VA
上香,VA
下choh,VH
下kiuN,Na
下一腳,VA
下仔,Nf
下任,Na
下位,Nc
下作,VH
下凡,VA
下列,Nf
下力,VA
下功夫,VA
下勢風,Na
下半身,Na
下南,VC
下命,VH
下命令,VE
下唇,Na
下墜,VA
下士,Na
下女,Na
下嫁,VC
下屬,Na
下工夫,VA
下幫,Nf
下底衫,Na
下後手,VC
下心神,VA
下情,Na
下意識,Dh
下挫,VH
下搗,Nf
下放,VC
下文,Na
下斗鬚,Na
下旁,Nc
下昏暝,Nd
下昏飯,Na
下晝時,Nd
下晝晡,Nd
下晡時,Nd
下格,Na
下梢,VH
下榻,VC
下樓,VA
下橈,VA
下次,Nf
下毒手,VA
下水溝,Na
下流,VH
下消,VH
下游,Nc
下筆,VA
下策,Na
下級,Na
下結論,VA
下肥,VB
下腰,Na
下腳,Nh
下腳手,Na
下腳裾,Na
下腹,Na
下腹仔,Na
下腿,Na
下船,VA
下色,VB
下葬,VA
下藥,VA
下行,b
下裾,Na
下貨,Na
下賂,VC
下賤,VH
下跪,VB
下身,Na
下述,A
下遊,VH
下過,Nd
下達,VJ
下重,VH
下野,VA
下錠,VH
下限,Na
下陷,VH
下馬威,VB
下體,Na
不一而足,VH
不三似兩,VH
不三時,Dd
不二價,VH
不二法門,Na
不亦樂乎,VH
不以為然,VI
不住,Dd
不倒翁,Na
不克,Db
不免,Db
不全,VH
不凡,VH
不切實際,VH
不務正業,VA
不勝酒力,VH
不勞而獲,VH
不厭其煩,Dh
不可多得,VH
不可收拾,VH
不可理喻,VH
不可諱言,VH
不合時宜,VH
不同點,Na
不周,VH
不善,VH
不在此限,VH
不在話下,VH
不堪一擊,VH
不堪設想,VH
不夜城,Na
不失為,VG
不女仔,Na
不妙,VH
不妥,VH
不妨,Db
不孕症,Na
不存天,VH
不孝囝,Na
不定,VH
不容置疑,VH
不少,VH
不屑,VL
不常在,Cb
不廉,VH
不廉嘴,VH
不得而知,VI
不必,Db
不忘,VK
不悅,VI
不情,VH
不惑,VH
不意中,Na
不慎,VH
不應該,Db
不折不扣,Db
不接一,VC
不擇手段,VA
不支倒地,VH
不敵,VJ
不明不白,VH
不是,Db
不朽,VH
不歡而散,VH
不止是,Da
不正,VH
不治,VH
不渡,VB
不為所動,VH
不無,Db
不甘寂寞,VH
不由分說,Dh
不由自主,Dh
不當,VH
不白之冤,Na
不目,VR
不直,VH
不相干,VH
不眠不休,VH
不知去向,VH
不禁,VL
不移,VH
不符,VH
不約而同,Dh
不絕,VH
不絕於耳,VH
不耐煩,VH
不能不,Db
不脛而走,VH
不自覺,VK
不良份子,Na
不良少年,Na
不藥而癒,VH
不虛此行,VH
不見天,Na
不覺,VK
不計,VK
不計其數,VH
不詳,VH
不謀而合,VH
不負眾望,VH
不足為奇,VH
不軌,VH
不遂,VH
不配,Db
不雅,VH
不離匙,Dd
不齒,VJ
丑旦,Na
丑腳,Na
且看,VE
且說,VE
世交,Na
世俗事,Na
世外桃源,Na
世宗,Nb
世家底,Na
世局,Na
世居,VC
世景,Na
世界大戰,Na
世界性,Na
世界潮流,Na
世界級,A
世界觀,Na
世盟,Nb
世貿中心,Nc
丘薸,VH
丙等,Na
丟丟,Dd
並出,VH
並列,VG
並存,VH
並排,VA
並無,Dd
並無不當,VH
並立,VA
並肩,Dh
並行,VA
並進,VA
並重,VH
中上,A
中下,A
中下游,Nc
中中,Nc
中亞,Nc
中人禮,Na
中人錢,Na
中共,Na
中剸,Nc
中北部,Nc
中午,Nd
中南美洲,Nc
中原大學,Nc
中和市,Nc
中國人,Na
中國商銀,Nc
中國國民黨,Nb
中國城,Nc
中國式,Na
中國文化大學,Nc
中國時報,Nb
中國海,Nc
中國石油公司,Nc
中國醫藥學院,Nc
中國銀行,Nc
中土,Na
中堅,A
中壢市,Nc
中外,Nc
中央信託局,Nc
中央圖書館,Nc
中央大學,Nc
中央委員,Na
中央政府,Na
中央日報,Nb
中央標準局,Nc
中央研究院,Nc
中央社,Nc
中央銀行,Nc
中央集權,Na
中央黨部,Nc
中套仔,A
中套仔人,Da
中子,Na
中學生,Na
中宵,Nd
中將,Na
中尉,Na
中小,A
中小企業,Na
中山堂,Nc
中山大學,Nc
中年級,Nc
中庸,e 
中廣,Nc
中彈,VH
中影,Nc
中心人物,Na
中心線,Na
中扮,A
中文系,Nc
中斑,Na
中斷,VC
中時晚報,Na
中晝前,Nd
中晝崎,Nd
中晝後,Nd
中晝心,Nd
中暑,VH
中東,Nc
中東國家,Na
中東地區,Nc
中梁,Na
中楹,Na
中欄,e 
中歐,Nc
中正機場,Nc
中氣,VH
中游,Nc
中燈,Na
中營,Na
中爪,Na
中產階級,Na
中盤,VD
中科院,Nc
中空,VH
中立區,Nc
中立國,Na
中立派,Na
中級,A
中線,Na
中縣,Nc
中美洲,Nc
中耳炎,Na
中聽,VH
中脊梁,Na
中興大學,Nc
中興新村,Nc
中華,Nc
中華文化,Na
中華民國,Nc
中華民族,Nb
中華隊,Nb
中西部,Nc
中視,Nc
中鋼,Nc
中間人,Na
中間商,Na
中間派,Na
中隊,Nc
中非,Nc
中餐,Na
中齒,Na
串仔魚,Na
串供,VA
串口供,VA
串牙,Na
串芽,VA
串透,VJ
串過,VC
串門,VA
丹尼爾,Nb
丹桂,Na
丹疽,Na
丹麥,Nc
主事者,Na
主人家,Na
主人翁,Na
主使,VC
主修,VC
主公,Na
主審,Na
主峰,Na
主幹,Na
主從,A
主戰,VH
主持人,Na
主攻,VC
主政,VB
主日學,Na
主旨,Na
主決,VB
主治醫師,Na
主盤,VC
主祭,VA
主禮人,Na
主筆,VB
主裁,Na
主計,A
主計室,Nc
主計處,Nc
主計長,Na
主語,Na
主賓,Na
主軸,Na
主辦權,Na
主頭,Na
乃,VG
乃父,Nh
久候,VA
久年冤,Na
久年願,Na
久耐,VH
久違,VH
久長冤,Na
久長雨,Na
之上,Ng
之下,Ng
之交,Ng
之內,Ng
之初,Ng
之前,Nd
之後,Ng
之於,VJ
之時,Ng
之鑽,VC
之類,Tb
之龜力,Na
乏乏,VH
乏人問津,VH
乏制,VJ
乏善可陳,VH
乏水,Na
乏窩,VH
乒乓,A
乖乖,Na
乖張,VH
乖旋,VH
乖癖,VH
乖眠,Na
乖育育,VH
乖著,VR
乖螺,VH
乘勝追擊,VA
乘勢,Dd
乘坐,VC
乘客,Na
乘搭,VC
乘歹,VR
乘法,Na
乘虔,VA
乙烯,Na
乜人,Nh
乜代,VA
九八人,Na
九冬十月,VH
九族,Na
九龍,Nc
乞個,Na
乞求,VF
乞討,VD
乞雨,VA
乞食仙,Na
乞食症,Na
乞食相,VH
乞食骨,Na
也就是,VG
也就是講,Dk
也捌,Dd
也敢,Db
乳母,Na
乳瓜,Na
乾了,VJ
乾冰,Na
乾凋,Da
乾凋有,Db
乾呃,VA
乾嗽,VA
乾嘔,VA
乾坤,Na
乾旱,VH
乾死,VR
乾洗,VC
乾焦chhoah,VH
乾燥,VH
乾燥機,Na
乾燥燥,VH
乾瘦,VH
乾癬,Na
乾竭,VH
乾證,Na
乾酪,Na
乾隆,Nb
乾電池,Na
乾鬆,VH
亂chong5,VC
亂ioh,VE
亂sa,VC
亂sahN,VC
亂tan3,VC
亂主來,Dh
亂主吵,VA
亂主說,VA
亂主講,VA
亂使創,VC
亂使想,VA
亂使用,VC
亂使講,VA
亂使變,VC
亂使鬧,VA
亂創,VC
亂吵,VA
亂嗤吵,VH
亂嘈嘈,b
亂子來,VH
亂性,VH
亂惝,b
亂戽,b
亂捏,VA
亂攪吵,VA
亂皂,VA
亂真,VH
亂絞絞,VH
亂罵,VC
亂臆,VE
亂茹,VA
亂諍,VA
亂販,VC
亂鐘,Na
亂馬馬,b
亂鬧,VA
了不得,VH
了事,VA
了傢伙,VH
了嘴,Di
了家仔,Na
了家囝,Na
了尾,Nc
了局,VH
了徹,VH
了悟,VJ
了截,VH
了捷,VH
了斷,VC
了盡,VH
了神,VH
了腳手,VH
了解著,VR
了離,VC
了鳥囝,Na
了鳥胚,Na
予人招,VA
予人罵,VB
予以,VC
予取予求,VI
事事,Na
事例,Na
事倍功半,VH
事務官,Na
事務性,Na
事半功倍,VH
事因,Na
事在人為,S
事尾,Na
事情,Na
事態,Na
事業家,Na
事業部,Nc
事權,Na
事由,Na
事端,Na
事變,Na
事跡,Na
二九下昏,Nd
二九暗,Nd
二來,Cb
二元,A
二副,Na
二四猛,Dd
二壘手,Na
二專,Na
二撇鬚,Na
二極體,Na
二比,Nh
二者,Nh
二藍,Na
二路貨,Na
二部制,Na
于,P2
云衫,Na
互不侵犯,VA
互不相讓,VA
互人招,VA
互利,VH
互換,VJ
互異,VH
互通,VJ
互連,VH
互選,Na
五代孫,Na
五倫,Na
五凍,VH
五官端正,VH
五專,Nc
五屜桌,Na
五峰,Nc
五常,Na
五彩繽紛,VH
五彩虹,Na
五支鬚,VH
五斂子,Na
五星旗,Na
五更早,Nd
五更時,Nd
五月艾,Na
五服,Na
五服外,Na
五服親,Na
五權,Na
五爪龍,Na
五皮,VH
五竭,VH
五經,Na
五總頭,Nc
五股,Nc
五腳,Na
五腳梨,Na
五腳記,Nc
五色人,Na
五虎利,Na
五角大廈,Nc
五言絕,Na
五言詩,Na
五路人,Na
五輕,Nc
五顏六色,Na
井邊草,Na
亙古,Nd
亞東,Nc
亞東關係協會,Nc
亞熱帶,Nc
亞細亞,Nc
亞運會,Nb
亞鉛板,Na
亞鉛鐵,Na
亞麻,Na
亟需,VK
亡命,VA
亡國奴,Na
亡羊補牢,VH
亡靈,Na
交互,VR
交出,VR
交加,VH
交參,VA
交叉口,Nc
交叉點,Nc
交含,Dh
交唅,VH
交大,Nc
交尾,VA
交崙,Dh
交待,VE
交怙,VD
交惡,VH
交手,VA
交拼,Na
交換手,VA
交換機,Na
交摻,VJ
交攙,VC
交數,VA
交易所,Nc
交易稅,Na
交春,Nd
交枝連,Na
交椅the,Na
交界,Nc
交界處,Nc
交白卷,VA
交盤,VC
交睡,VH
交秋,Nd
交絞,VA
交繚,Na
交聊,VA
交與,VC
交落水,Na
交落胎,VH
交著,VR
交葛,VH
交誼,Na
交誼廳,Nc
交起去,VR
交趾,Nc
交輦覆,VA
交通大學,Nc
交通局,Nc
交通網,Na
交通處,Nc
交通車,Na
交通部,Nc
交還,VR
交針釘,VH
交銜,VH
交鋒,VA
交陰,VH
交集,Na
亥在,VH
亦是,Ca
亨利,Nb
亨通,VH
享年,VJ
享樂,VA
享譽,VJ
京城,Nc
京華,Nc
京都,Nc
亭仔腳,Nc
亮度,Na
亮票,VA
亮麗,VH
人丁,Na
人主,Na
人乾,Na
人事室,Nc
人事處,Nc
人事行政局,Nc
人人自危,VH
人傑,Na
人像,Na
人力車,Na
人去公園,Na
人名,Na
人命案,Na
人妖,Na
人客伴,Na
人客官,Na
人客廳,Nc
人客房,Na
人客間,Na
人家人,Na
人家厝,Na
人巴,Na
人形,Na
人心惶惶,VH
人情話,Na
人懶懶,VH
人扮,Na
人材,Na
人樣,Na
人殼,Na
人民幣,Na
人民日報,Nb
人海,Nc
人滿為患,VH
人煙,Na
人物畫,Na
人犯,Na
人猿,Na
人瑞,Na
人生觀,Na
人疊人,VH
人癖,Na
人盡皆知,VH
人看人,VH
人眾,Nh
人眾眾,Na
人稱,Na
人胚,Na
人胞,Na
人行道,Nc
人證,Na
人豚仔,Na
人跡,Na
人踏人,VH
人車,Na
人頭殼,Na
人頭生,VH
人颼,Dh
人鵠,Na
仁仔粕,b
仁仔餅,Na
仁兄,Nh
仁德,Na
仁愛路,Nc
仁愛醫院,Nc
仁武,Nc
仁粕,Na
仃,b
仆耳孔,VA
仇敵,Na
今世,Nd
今仔再,Nd
今仔早起,Nd
今仔載,Nd
今夜,Nd
今暗,Nd
今生,Nd
介意,VK
介懷,VK
介於,VJ
介紹人,Na
介紹所,Nc
介質,Na
介面卡,Na
仔細,VH
仕女,Na
他殺,A
他項,Nf
付印,VB
付數,VA
付清,VC
付現金,VA
付給,VR
付託,VB
付錢,VA
仙人凍,Na
仙人掌,Na
仙人草,Na
仙公,VA
仙古,Na
仙子,Na
仙尪仔,Na
仙巴掌,Na
仙鼠,Na
仝一樣,A
仝時,Dd
仝號,VH
仝行,Na
仝途,VI
仝類,VH
仡,VA
代打,VB
代數,Na
代溝,Na
代為,VF
代理人,Na
代理商,Na
代用,VB
代管,VC
代罪羔羊,Na
代表人,Na
代表作,Na
代言,VA
代課,VA
代起先,Dd
令堂,Nh
令妹,Nh
令姊,Nh
令尊,Nh
令弟,Nh
令郎,Nh
以便,Cb
以內,Ng
以北,Ng
以南,Ng
以太,Nb
以東,Ng
以此,Dh
以牙還牙,VA
以致,Cb
以色列,Nc
以身作則,VA
以身試法,VA
以防,Cb
仰慕,VJ
仰望,VC
仰角,Na
仰賴,VJ
仲裁,VC
仵作,Na
任事,VB
任免,VC
任性,VH
任教,VA
任用,VC
任算be7了,VH
份內,A
仿古,VH
仿製,VC
仿造,VC
企劃,Na
企劃廳,Nc
企望,VK
企業化,VH
企業家,Na
企鵝,Na
伉儷,Nh
伊拉克,Nc
伊斯蘭,Na
伊斯蘭教,Nb
伊朗,Nc
伏拜,VC
伏筆,Na
伏羲,Nb
伏膿,VH
伐木,VA
伐過,VC
休假,VH
休克,VH
休兵,VH
休士頓,Nc
休字,Na
休息室,Nc
休憩,VA
休戰,VH
休書,Na
休會,VH
休止,VH
休止符,Na
休閒活動,Na
休養,VA
伙計,Na
伯仲,Nh
伯公祖,Na
伯姆,Na
伯婆,Na
伯爵,Na
估價單,Na
伴侶,Na
伴壇,VJ
伴房,VA
伴膽,VB
伴舞,VA
伶利,VH
伸lun5,VA
伸入,VC
伸冤,VA
伸圇,VA
伸展,VC
伸張,VC
伸港,Nc
伸的,Ne
伸筋草,Na
伸腳,VA
伸頭,VA
伺候,VC
伺機而動,VA
似是而非,VH
伽藍鳥,Na
佃批,Na
但使,Cb
但書,Na
但有,Cb
但願,VK
佇足,VA
佈下,VC
佈告,Na
佈搭,VC
佈施,VD
佈景,Na
佈署,VC
佈道,VA
佈達,VA
佈雷,VA
位ti7,VJ
位居,VC
位數,Na
低nah,A
低下,VR
低估,VJ
低價,Na
低分,Na
低地,Nc
低姿態,Na
低成本,Na
低於,VJ
低氣壓,Na
低水,VH
低沈,VH
低湖,VH
低溫,Na
低空,Nc
低窩,VH
低能兒,Na
低落,VH
低路司,Na
低路貨,A
低階,A
低音管,Na
住宅區,Nc
住屋,Na
住手,VA
住持,Na
住民,Na
住處,Nc
住院,VA
佐料,Na
佐證,Na
佔上風,VI
佔去,VR
佔地,VJ
佔大,VH
佔據,VC
佔有,VC
佔柱,VA
佔權,VH
佔用,VC
佔著,VR
佔贏,VI
佔開,VR
佔領,VC
佔領區,Nc
佔風頭,VI
何去何從,VA
何在,VH
何干,VI
何得而苦,Dj
何得苦,Dj
何必苦,Dj
何故,Dj
何方,Dg
何樂不為,VH
何等,Df
何處,Nc
何首烏,Na
佛事,Na
佛仔土,Na
佛仔生,Nd
佛公,Na
佛塔,Na
佛字,Na
佛宮,Nc
佛家,Na
佛廟,Nc
佛性,Na
佛手瓜鬚,Na
佛殿,Nc
佛祖生,VA
佛陀,Na
佛骨,Na
作假,VA
作對,VB
作對頭,VB
作彩,VA
作暗號,VE
作曲,VA
作曲家,Na
作業員,Na
作樂,VA
作畫,VA
作祟,VA
作譴,VA
你兄我弟,VA
你我,Na
你那坐,Cb
佣金,Na
佩劍,Na
佩命,VH
佩性命,VH
佩甲,Na
佩紅,Na
佩衫,VC
佩風,Na
佬仔指,Na
佬仔步,Na
佮線,VC
佮色,VA
佰,Ne
佳在無,Db
佳節,Na
佳落哉,Db
佳話,Na
佳里,Nc
佳餚,Na
佳麗,Na
併吞,VC
併案,VA
併科,VC
佻弄,VH
使be7行,VH
使be7走,VH
使in娘,I
使倨,VH
使出,VR
使勢,Dh
使勢頭,Dh
使命感,Na
使唆,VR
使嘴撮,VA
使嘴花,VA
使土地,VA
使尻川,VB
使後栓,VF
使得過,VH
使徛目,VH
使性,VA
使性搦地,VA
使手路,VA
使拒,VH
使暗箭,VA
使暗路,VC
使替,VB
使替包,VB
使橫,VA
使歹,VA
使歹譜,VA
使派,VA
使然,VH
使用權,Na
使用率,Na
使用者,Na
使用費,Na
使畚,VC
使癖,VA
使目色,VA
使目角,VH
使硬鼻,VH
使翸用,VC
使者,Na
使蕩,VF
使褪包,VB
使覆手,VA
使見色,VH
使話抵,VA
使話栓,VA
使賂,VB
使過面,VH
使過馬,VH
使館,Nc
使驚,VL
使體,VA
侄,b
侄仔,Na
來hou7伊,Dh
來不及,Dd
來信,VA
來到,VA
來勢,Na
來去倒,Db
來去轉,VC
來客,Na
來意,Na
來批,VA
來歷不明,VH
來生,Nd
來訪,VA
來路不明,VH
侈,b
例假日,Nd
例會,Na
例案,Na
例行,A
例證,Na
侍從,Na
侍衛,Na
供出,VE
供口供,VB
供投,VA
供水,VA
供求,Na
供物,Na
供稱,VE
供端,VC
供詞,Na
供述,VE
供銷,VC
供需,Na
依依,Dh
依依不捨,VH
依原,Dd
依存,VI
依序,Dh
依次,Dh
依歸,Na
依然,Dd
依約,Dh
依聿,VA
依賴度,Na
依賴性,Na
侮弄,VC
侮慢,VH
侵人錢,VH
侵佔,VC
侵債,VH
侵占,VC
侵取,VC
侵擾,VC
侵欠,VD
侵用,VC
侵略者,Na
侵蝕,VC
侵襲,VC
便套藥,Na
便套飯,Na
便宜貨,Na
便所紙,Na
便捷,VH
便有,VJ
便條,Na
便橋,Na
便民,VH
便當盒,Na
便秘,VH
便藥,Na
便貨,Na
便車,Na
便道,Na
係數,Na
係項,Na
促倚,VC
促就,VJ
促死人,VH
促減,VC
促短,VR
促糟,VH
促細,VH
促耳,VH
促請,VF
促近,VC
促馬勢,VA
俄國,Nc
俄文,Na
俄羅,Nc
俄羅斯,Nc
俄羅斯共和國,Nc
俄語,Na
俊傑,Na
俊秀,VH
俏綠,VH
俏色,Na
俐落,VH
俗phang2,Na
俗事,Na
俗例,Na
俗掔,VK
俗氣,VH
俗癖,VK
俗稱,VG
俗話說,Dk
俗語講,Dk
俗醫,Na
保be7-tiau5,VR
保住,VR
保值,VH
保加利亞,Nc
保守派,Na
保守黨,Na
保家單,Na
保家燈,Na
保惜,VJ
保暖,VH
保有,VJ
保溫箱,Na
保溫罐,Na
保留地,Na
保稅,VA
保羅,Nb
保胎,VA
保証,VE
保認,VE
保證書,Na
保證金,Na
保警,Na
保身符,Na
保釋,VC
保鑣,Na
保防,A
保險套,Na
保險櫃,Na
保險法,Na
保險箱,Na
保險費,Na
保險金,Na
保養品,Na
保麗龍,Na
信任案,Na
信函,Na
信天翁,Na
信守,VJ
信憑,Na
信服,VJ
信篤篤,VI
信紙,Na
信聖,VJ
信號彈,Na
信號燈,Na
信袋,Na
信譽,Na
信錯,VK
信靠,VJ
修善,VA
修女,Na
修好,VR
修定,VC
修建,VC
修持,VC
修業,VA
修正案,Na
修理費,Na
修築,VC
修繕,VC
修路,VA
修身,VA
修造,VC
修道,VA
修齊,VR
俯視,VC
俱佳,VH
俱備,VJ
俱全,VH
俸給,Na
俺伯,Na
俺公,Na
俺叔,Na
俺姐,Na
俺姑,Na
俺娘,Na
俺媽,Na
俺媽體,VH
俺嬸,Na
俺祖,Na
俺細的,Na
倉促,VH
倉碰,VH
倉磅,VH
倉頡,Nb
個數,Na
倍增,VH
倒來,VA
倒侵,VJ
倒倒,VB
倒出來,VC
倒剃,VC
倒削,VC
倒反照,VJ
倒反行,Na
倒台,VH
倒問,VE
倒坐罪,VA
倒塌,VD
倒少年,VH
倒床,VA
倒房,VH
倒拋,VA
倒插筆,VC
倒換,VC
倒揜,VA
倒摳,VC
倒攄,VA
倒攄車,VA
倒斡,VA
倒案,VH
倒椅,Na
倒泍風,Na
倒流,VA
倒激,VA
倒照,VJ
倒照影,Na
倒照日,Na
倒祖,VA
倒祧,VH
倒笑天,VA
倒翻箍,VC
倒翻頭,VA
倒聲,VH
倒腳,Na
倒袒平,VR
倒袒笑,VA
倒路站,Nc
倒踏蹬,VC
倒踏錢,Na
倒車,VA
倒退車,VA
倒離離,VH
倒青春,VH
倒頭唸,VI
倒頭流,VA
倒頭訕,VC
倔強,VH
倖免,VH
候下,VC
候價,VH
候機室,Nc
候等,VK
候車室,Nc
候選,VH
候駕,VA
倚並,VC
倚倚,VC
倚偏邊,VH
倚傍,VC
倚勢,Dh
倚天,Nc
倚岸,VC
倚帶,VJ
倚按,VC
倚暗,Nd
倚樣,P4
倚欲,Ne
倚歸爿,VH
倚海,Nc
倚理,VH
倚街,Dg
倚身,VC
倚邊,Dg
倚食,VA
借khia7,VC
借toa3,VC
借來,VR
借出,VR
借助,VC
借口,Na
借單,Na
借嘴,VA
借地,VB
借字,Na
借屍還魂,VA
借帶,VC
借徛,VC
借據,Na
借歇,VC
借著,P3
借詞,Na
借話,VA
借貸,VD
借重,VC
借鏡,Na
倡導,VE
倡言,VE
倡頭,VA
倨,b
倩人,VC
倩工,VF
倩船,b
倩車,VA
倫敦,Nc
倯teh-teh,b
倯氣,VH
值代,Na
值勤,VA
值夜,VA
值大代,Na
值日,VA
值日官,Na
值日生,Na
值星官,Na
偃sak,VC
偃交仔,VA
偃徛,VC
偃耳,Dh
偃耳聽,VC
偃覆,VA
偆,VJ
偆錢,VA
偆額,Na
偆飯,Na
假chang2,Na
假gau5,VA
假khiang3,VA
假tiN3,VF
假tiN3生,Na
假上諓,VA
假人,Na
假以時日,VH
假佯,VA
假借,VF
假做,VR
假出獄,VB
假分數,Na
假名,Na
假君子,Na
假嘴齒,Na
假夠禮,Na
假大範,VA
假好心,VI
假好額,VA
假山,Na
假想敵,Na
假戇,VA
假戇槌,VA
假手,Na
假扣押,VC
假扮,VC
假掔乖,VH
假有心,VI
假枝路,Na
假牌個,Na
假物,Na
假皮,Na
假盡情,VI
假目頭,A
假睏,VA
假破病,VA
假空,VA
假空假榫,VA
假精光,VA
假老大,VH
假聖人,Na
假肢,Na
假腳,Na
假茄苳,Na
假虔,VA
假虔意,Na
假虔笑,VA
假袍,VC
假裝,VF
假證,Na
假貨,Na
假造,VC
假那,VG
假頭毛,Na
假齒,Na
假,VA
偉人,Na
偉績,Na
偌仔,Df
偌仔呢,Df
偌儕,Ne
偌呢,Df
偌大,VH
偌怎樣,Dj
偌懸,b
偌爾仔,Df
偌重,b
偎倚,VA
偎揳,VH
偏人,Db
偏低,VH
偏僻話,Na
偏僻路,Na
偏向,VJ
偏執,VH
偏好,VJ
偏強,VH
偏愛,VJ
偏房,Na
偏竅,VH
偏袒,VJ
偏視,VA
偏護,VJ
偏路,Na
偏途,Na
偏邊,Nc
偏重ti7,VJ
偏離,VJ
偏頭痛,Na
偏頭風,Na
偏食,VH
偓促,VH
偓促火,Na
偓促熱,Na
做kiuN7,VA
做一,Dh
做一下,Na
做一時,Dd
做一氣,VA
做一睏,VA
做三牲,VA
做中人,VC
做主人,VA
做了,VR
做事,VA
做交替,Na
做人客,VA
做仙,VH
做代,VH
做件,VA
做件個,VA
做伊,Dh
做伊走,VA
做便,A
做便的,Na
做保家,VB
做假,VA
做傢夥,VH
做價,VA
做公親,VC
做兵,VA
做出來,VR
做到,VE
做功,Na
做勻,VC
做唯是,VH
做善事,VA
做囝仔戲,Na
做土的,Na
做堆,VA
做堆徛,VA
做夢,VA
做夥,VA
做套,Na
做好,VR
做好事,VA
做婊,VA
做媒人,VB
做孔,VA
做完,VR
做家,VH
做家伙,VH
做對頭,VB
做尾牙,VA
做局,VA
做工藝,VA
做息,Na
做情,VB
做意致,VH
做慶成,Na
做戲仔,Na
做手,VA
做散氣,VA
做替,VC
做會,VA
做會來,Df
做木個,Na
做東,VA
做案,VA
做涌,VA
做物,Na
做王,VA
做田,VA
做田人,Na
做田囝,Na
做硌硞,VH
做神,VH
做科,VA
做穡,VA
做穡人,Na
做空,VA
做空做榫,VH
做竅害人,b
做答,VA
做節,VA
做聖人,VH
做聲,VA
做腳手,VA
做膽,VB
做著,VR
做藝,VC
做藝量,VC
做誆,b
做證,VA
做證據,VI
做譴爽,b
做貴,VA
做起,VR
做陣痛,VA
做陣行,Na
做陪客,VA
做靠山,VB
做頭家,VA
做風做湧,VA
