序號	詞語	等別	級別	情境	書面字頻(每百萬字)	口語字頻(每百萬字)	簡編本系統號	參考注音	參考漢語拼音
6615	及時	精熟	第6級		27	17	[['及時', ['21347']]]	ㄐㄧˊ ㄕˊ	jí shí
6616	棘手	精熟	第6級		11	7	[['棘手', ['21478']]]	ㄐㄧˊ ㄕㄡˇ	jí shǒu
6617	記述	精熟	第6級		8	2	[['記述', ['21614']]]	ㄐㄧˋ ㄕㄨˋ	jì shù
6618	祭祀	精熟	第6級		16	8	[['祭祀', ['21685']]]	ㄐㄧˋ ㄙˋ	jì sì
6619	急速	精熟	第6級		11	11	[['急速', ['21451']]]	ㄐㄧˊ ㄙㄨˋ	jí sù
6620	寄宿	精熟	第6級		5	2	[['寄宿', ['21668']]]	ㄐㄧˋ ㄙㄨˋ	jì sù
6621	寄託	精熟	第6級		8	7	[['寄託', ['21657']]]	ㄐㄧˋ ㄊㄨㄛ	jì tuō
6622	即位	精熟	第6級		16	1	[['即位', ['21396']]]	ㄐㄧˊ ㄨㄟˋ	jí wèi
6623	繼位	精熟	第6級		17	2	[['繼位', ['21722']]]	ㄐㄧˋ ㄨㄟˋ	jì wèi
6624	極限	精熟	第6級		18	10	[['極限', ['21417']]]	ㄐㄧˊ ㄒㄧㄢˋ	jí xiàn
6625	跡象	精熟	第6級		17	12	[['跡象', ['21269']]]	ㄐㄧ ㄒㄧㄤˋ	jī xiàng
6626	譏笑	精熟	第6級		5	1	[['譏笑', ['21265']]]	ㄐㄧ ㄒㄧㄠˋ	jī xiào
6627	機械	精熟	第6級		28	23	[['機械', ['21244']]]	ㄐㄧ ㄒㄧㄝˋ	jī xiè
6628	畸形	精熟	第6級		5	3	[['畸形', ['21202']]]	ㄐㄧ ㄒㄧㄥˊ	jī xíng
6629	記敘	精熟	第6級		2	0	[]	ㄐㄧˋ ㄒㄩˋ	jì xù
6630	積蓄	精熟	第6級		7	3	[['積蓄', ['21305']]]	ㄐㄧ ㄒㄩˋ	jī xù
6631	技藝	精熟	第6級		10	10	[['技藝', ['21570']]]	ㄐㄧˋ ㄧˋ	jì yì
6632	記憶體	精熟	第6級		5	0	[['記憶體', ['21617']]]	ㄐㄧˋ ㄧˋ ㄊㄧˇ	jì yì tǐ
6633	集郵	精熟	第6級		1	0	[['集郵', ['21496']]]	ㄐㄧˊ ㄧㄡˊ	jí yóu
6634	急於	精熟	第6級		12	2	[]	ㄐㄧˊ ㄩˊ	jí yú
6635	給予	精熟	第6級		67	40	[['給予', ['21538']]]	ㄐㄧˇ ㄩˇ	jǐ yǔ
6636	基於	精熟	第6級		43	12	[]	ㄐㄧ ㄩˊ	jī yú
6637	機緣	精熟	第6級		11	12	[['機緣', ['21255']]]	ㄐㄧ ㄩㄢˊ	jī yuán
6638	急躁	精熟	第6級		8	3	[['急躁', ['21448']]]	ㄐㄧˊ ㄗㄠˋ	jí zào
6639	及早	精熟	第6級		10	5	[['及早', ['21348']]]	ㄐㄧˊ ㄗㄠˇ	jí zǎo
6640	極致	精熟	第6級		9	4	[['極致', ['21419']]]	ㄐㄧˊ ㄓˋ	jí zhì
6641	機制	精熟	第6級		55	37	[]	ㄐㄧ ㄓˋ	jī zhì
6642	機智	精熟	第6級		9	2	[['機智', ['21247']]]	ㄐㄧ ㄓˋ	jī zhì
6643	脊椎	精熟	第6級		12	13	[['脊椎', ['21531']]]	ㄐㄧˇ ㄓㄨㄟ	jǐ zhuī
6644	甲	精熟	第6級		46	35	[['甲', ['21887']]]	ㄐㄧㄚˇ	jiǎ
6645	甲板	精熟	第6級		8	0	[['甲板', ['21888']]]	ㄐㄧㄚˇ ㄅㄢˇ	jiǎ bǎn
6646	家產	精熟	第6級		9	2	[['家產', ['21839']]]	ㄐㄧㄚ ㄔㄢˇ	jiā chǎn
6647	假定	精熟	第6級		15	1	[['假定', ['21910']]]	ㄐㄧㄚˇ ㄉㄧㄥˋ	jiǎ dìng
6648	加緊	精熟	第6級		6	8	[['加緊', ['21743']]]	ㄐㄧㄚ ㄐㄧㄣˇ	jiā jǐn
6649	加碼	精熟	第6級		2	3	[['加碼', ['21729']]]	ㄐㄧㄚ ㄇㄚˇ	jiā mǎ
6650	架設	精熟	第6級		5	8	[['架設', ['21938']]]	ㄐㄧㄚˋ ㄕㄜˋ	jià shè
6651	假設	精熟	第6級		84	34	[['假設', ['21923']]]	ㄐㄧㄚˇ ㄕㄜˋ	jiǎ shè
6652	加深	精熟	第6級		11	11	[['加深', ['21751']]]	ㄐㄧㄚ ㄕㄣ	jiā shēn
6653	家世	精熟	第6級		5	1	[['家世', ['21844']]]	ㄐㄧㄚ ㄕˋ	jiā shì
6654	家務	精熟	第6級		11	8	[['家務', ['21858']]]	ㄐㄧㄚ ㄨˋ	jiā wù
6655	假象	精熟	第6級		6	1	[['假象', ['21917']]]	ㄐㄧㄚˇ ㄒㄧㄤˋ	jiǎ xiàng
6656	假想	精熟	第6級		5	1	[['假想', ['21916']]]	ㄐㄧㄚˇ ㄒㄧㄤˇ	jiǎ xiǎng
6657	加以	精熟	第6級		94	12	[]	ㄐㄧㄚ ㄧˇ	jiā yǐ
6658	駕馭	精熟	第6級		8	2	[['駕馭', ['21949']]]	ㄐㄧㄚˋ ㄩˋ	jià yù
6659	夾雜	精熟	第6級		8	4	[['夾雜', ['21876']]]	ㄐㄧㄚˊ ㄗㄚˊ	jiá zá
6660	加重	精熟	第6級		12	4	[['加重', ['21749']]]	ㄐㄧㄚ ㄓㄨㄥˋ	jiā zhòng
6661	架子	精熟	第6級		11	5	[['架子', ['21939']]]	ㄐㄧㄚˋ ˙ㄗ	jià zi
6662	賤	精熟	第6級		9	1	[['賤', ['23092']]]	ㄐㄧㄢˋ	jiàn
6663	間2	精熟	第6級		400	316	[['間', ['22826', '23056']]]	ㄐㄧㄢˋ	jiàn
6664	揀	精熟	第6級		8	1	[['揀', ['22867']]]	ㄐㄧㄢˇ	jiǎn
6665	兼	精熟	第6級		61	16	[['兼', ['22777']]]	ㄐㄧㄢ	jiān
6666	奸	精熟	第6級		8	1	[['奸', ['22756']]]	ㄐㄧㄢ	jiān
6667	煎熬	精熟	第6級		10	8	[['煎熬', ['22823']]]	ㄐㄧㄢ ㄠˊ	jiān áo
6668	檢測	精熟	第6級		9	43	[['檢測', ['22932']]]	ㄐㄧㄢˇ ㄘㄜˋ	jiǎn cè
6669	檢察官	精熟	第6級		10	1	[['檢察官', ['22928']]]	ㄐㄧㄢˇ ㄔㄚˊ ㄍㄨㄢ	jiǎn chá guān
6670	間諜	精熟	第6級		11	2	[['間諜', ['23058']]]	ㄐㄧㄢˋ ㄉㄧㄝˊ	jiàn dié
6671	鑑定	精熟	第6級		6	10	[['鑑定', ['23086']]]	ㄐㄧㄢˋ ㄉㄧㄥˋ	jiàn dìng
6672	尖端	精熟	第6級		7	5	[['尖端', ['22748']]]	ㄐㄧㄢ ㄉㄨㄢ	jiān duān
6673	間隔	精熟	第6級		8	3	[['間隔', ['23060']]]	ㄐㄧㄢˋ ㄍㄜˊ	jiàn gé
6674	建構	精熟	第6級		49	11	[['建構', ['23010']]]	ㄐㄧㄢˋ ㄍㄡˋ	jiàn gòu
6675	兼顧	精熟	第6級		9	12	[['兼顧', ['22781']]]	ㄐㄧㄢ ㄍㄨˋ	jiān gù
6676	簡化	精熟	第6級		15	6	[['簡化', ['22955']]]	ㄐㄧㄢˇ ㄏㄨㄚˋ	jiǎn huà
6677	減緩	精熟	第6級		8	21	[['減緩', ['22891']]]	ㄐㄧㄢˇ ㄏㄨㄢˇ	jiǎn huǎn
6678	簡潔	精熟	第6級		8	3	[['簡潔', ['22956']]]	ㄐㄧㄢˇ ㄐㄧㄝˊ	jiǎn jié
6679	剪接	精熟	第6級		7	4	[['剪接', ['22876']]]	ㄐㄧㄢˇ ㄐㄧㄝ	jiǎn jiē
6680	漸進	精熟	第6級		5	2	[['漸進', ['23070']]]	ㄐㄧㄢˋ ㄐㄧㄣˋ	jiàn jìn
6681	兼具	精熟	第6級		8	6	[['兼具', ['22784']]]	ㄐㄧㄢ ㄐㄩˋ	jiān jù
6682	監控	精熟	第6級		10	11	[]	ㄐㄧㄢ ㄎㄨㄥˋ	jiān kòng
6683	艱苦	精熟	第6級		11	13	[['艱苦', ['22855']]]	ㄐㄧㄢ ㄎㄨˇ	jiān kǔ
6684	艱困	精熟	第6級		5	8	[['艱困', ['22856']]]	ㄐㄧㄢ ㄎㄨㄣˋ	jiān kùn
6685	簡陋	精熟	第6級		7	11	[['簡陋', ['22952']]]	ㄐㄧㄢˇ ㄌㄡˋ	jiǎn lòu
6686	兼任	精熟	第6級		7	1	[['兼任', ['22790']]]	ㄐㄧㄢ ㄖㄣˋ	jiān rèn
6687	尖銳	精熟	第6級		15	4	[['尖銳', ['22752']]]	ㄐㄧㄢ ㄖㄨㄟˋ	jiān ruì
6688	健身房	精熟	第6級		5	3	[]	ㄐㄧㄢˋ ㄕㄣ ㄈㄤˊ	jiàn shēn fáng
6689	檢視	精熟	第6級		33	14	[['檢視', ['22930']]]	ㄐㄧㄢˇ ㄕˋ	jiǎn shì
6690	堅守	精熟	第6級		13	5	[['堅守', ['22812']]]	ㄐㄧㄢ ㄕㄡˇ	jiān shǒu
6691	見聞	精熟	第6級		6	2	[['見聞', ['23001']]]	ㄐㄧㄢˋ ㄨㄣˊ	jiàn wén
6692	堅信	精熟	第6級		11	5	[['堅信', ['22807']]]	ㄐㄧㄢ ㄒㄧㄣˋ	jiān xìn
6693	艱辛	精熟	第6級		9	18	[['艱辛', ['22860']]]	ㄐㄧㄢ ㄒㄧㄣ	jiān xīn
6694	堅毅	精熟	第6級		10	7	[['堅毅', ['22816']]]	ㄐㄧㄢ ㄧˋ	jiān yì
6695	堅硬	精熟	第6級		9	9	[['堅硬', ['22817']]]	ㄐㄧㄢ ㄧㄥˋ	jiān yìng
6696	監獄	精熟	第6級		35	30	[['監獄', ['22850']]]	ㄐㄧㄢ ㄩˋ	jiān yù
6697	見證	精熟	第6級		18	35	[['見證', ['22992']]]	ㄐㄧㄢˋ ㄓㄥˋ	jiàn zhèng
6698	僵	精熟	第6級		5	1	[['僵', ['23442']]]	ㄐㄧㄤ	jiāng
6699	江湖	精熟	第6級		21	3	[['江湖', ['23419']]]	ㄐㄧㄤ ㄏㄨˊ	jiāng hú
6700	僵局	精熟	第6級		5	7	[['僵局', ['23447']]]	ㄐㄧㄤ ㄐㄩˊ	jiāng jú
6701	將軍	精熟	第6級		129	14	[['將軍', ['23435']]]	ㄐㄧㄤ ㄐㄩㄣ	jiāng jūn
6702	講理	精熟	第6級		7	2	[['講理', ['23485']]]	ㄐㄧㄤˇ ㄌㄧˇ	jiǎng lǐ
6703	降臨	精熟	第6級		15	4	[['降臨', ['23512']]]	ㄐㄧㄤˋ ㄌㄧㄣˊ	jiàng lín
6704	將領	精熟	第6級		33	2	[['將領', ['23533']]]	ㄐㄧㄤˋ ㄌㄧㄥˇ	jiàng lǐng
6705	講求	精熟	第6級		10	13	[['講求', ['23493']]]	ㄐㄧㄤˇ ㄑㄧㄡˊ	jiǎng qiú
6706	江山	精熟	第6級		12	2	[['江山', ['23422']]]	ㄐㄧㄤ ㄕㄢ	jiāng shān
6707	獎賞	精熟	第6級		10	2	[['獎賞', ['23479']]]	ㄐㄧㄤˇ ㄕㄤˇ	jiǎng shǎng
6708	講師	精熟	第6級		7	6	[['講師', ['23497']]]	ㄐㄧㄤˇ ㄕ	jiǎng shī
6709	講述	精熟	第6級		15	4	[['講述', ['23499']]]	ㄐㄧㄤˇ ㄕㄨˋ	jiǎng shù
6710	獎項	精熟	第6級		5	4	[['獎項', ['45226']]]	ㄐㄧㄤˇ ㄒㄧㄤˋ	jiǎng xiàng
6711	僵硬	精熟	第6級		20	4	[['僵硬', ['23449']]]	ㄐㄧㄤ ㄧㄥˋ	jiāng yìng
6712	講座	精熟	第6級		9	11	[['講座', ['23500']]]	ㄐㄧㄤˇ ㄗㄨㄛˋ	jiǎng zuò
6713	絞	精熟	第6級		5	2	[['絞', ['22448']]]	ㄐㄧㄠˇ	jiǎo
6714	繳	精熟	第6級		12	19	[['繳', ['22482', '45147']]]	ㄐㄧㄠˇ	jiǎo
6715	澆	精熟	第6級		9	28	[['澆', ['22375']]]	ㄐㄧㄠ	jiāo
6716	焦	精熟	第6級		11	4	[['焦', ['22354']]]	ㄐㄧㄠ	jiāo
6717	嚼	精熟	第6級		13	7	[['嚼', ['22423', '24179']]]	ㄐㄧㄠˊ/ ㄐㄩㄝˊ	jiáo / jué
6718	交叉	精熟	第6級		13	7	[['交叉', ['22327']]]	ㄐㄧㄠ ㄔㄚ	jiāo chā
6719	轎車	精熟	第6級		12	4	[['轎車', ['22568']]]	ㄐㄧㄠˋ ㄔㄜ	jiào chē
6720	交錯	精熟	第6級		10	8	[['交錯', ['22333']]]	ㄐㄧㄠ ㄘㄨㄛˋ	jiāo cuò
6721	交付	精熟	第6級		6	3	[['交付', ['22297']]]	ㄐㄧㄠ ㄈㄨˋ	jiāo fù
6722	叫喊	精熟	第6級		8	0	[['叫喊', ['22505']]]	ㄐㄧㄠˋ ㄏㄢˇ	jiào hǎn
6723	叫好	精熟	第6級		7	2	[['叫好', ['22502']]]	ㄐㄧㄠˋ ㄏㄠˇ	jiào hǎo
6724	交互	精熟	第6級		7	4	[]	ㄐㄧㄠ ㄏㄨˋ	jiāo hù
6725	狡猾	精熟	第6級		10	1	[['狡猾', ['22440']]]	ㄐㄧㄠˇ ㄏㄨㄚˊ	jiǎo huá
6726	教誨	精熟	第6級		9	6	[['教誨', ['22539']]]	ㄐㄧㄠˋ ㄏㄨㄟˋ	jiào huì
6727	交集	精熟	第6級		7	4	[]	ㄐㄧㄠ ㄐㄧˊ	jiāo jí
6728	焦急	精熟	第6級		12	4	[['焦急', ['22363']]]	ㄐㄧㄠ ㄐㄧˊ	jiāo jí
6729	交際	精熟	第6級		6	3	[['交際', ['22315']]]	ㄐㄧㄠ ㄐㄧˋ	jiāo jì
6730	交接	精熟	第6級		5	6	[['交接', ['22318']]]	ㄐㄧㄠ ㄐㄧㄝ	jiāo jiē
6731	教科書	精熟	第6級		15	7	[['教科書', ['22537']]]	ㄐㄧㄠˋ ㄎㄜ ㄕㄨ	jiào kē shū
6732	交情	精熟	第6級		9	2	[['交情', ['22321']]]	ㄐㄧㄠ ㄑㄧㄥˊ	jiāo qíng
6733	交涉	精熟	第6級		10	2	[['交涉', ['22331']]]	ㄐㄧㄠ ㄕㄜˋ	jiāo shè
6734	交替	精熟	第6級		9	10	[['交替', ['22301']]]	ㄐㄧㄠ ㄊㄧˋ	jiāo tì
6735	教條	精熟	第6級		9	2	[['教條', ['22530']]]	ㄐㄧㄠˋ ㄊㄧㄠˊ	jiào tiáo
6736	嬌小	精熟	第6級		4	6	[['嬌小', ['22401']]]	ㄐㄧㄠ ㄒㄧㄠˇ	jiāo xiǎo
6737	僥倖	精熟	第6級		7	2	[['僥倖', ['22473']]]	ㄐㄧㄠˇ ㄒㄧㄥˋ	jiǎo xìng
6738	教養	精熟	第6級		36	26	[['教養', ['22559']]]	ㄐㄧㄠˋ ㄧㄤˇ	jiào yǎng
6739	教義	精熟	第6級		9	10	[['教義', ['22557']]]	ㄐㄧㄠˋ ㄧˋ	jiào yì
6740	焦躁	精熟	第6級		9	1	[['焦躁', ['22366']]]	ㄐㄧㄠ ㄗㄠˋ	jiāo zào
6741	交戰	精熟	第6級		11	7	[['交戰', ['22326']]]	ㄐㄧㄠ ㄓㄢˋ	jiāo zhàn
6742	交織	精熟	第6級		7	2	[['交織', ['22325']]]	ㄐㄧㄠ ㄓ	jiāo zhī
6743	轎子/轎	精熟	第6級		25	3	[['轎子', ['22569']], ['轎', ['22566']]]	ㄐㄧㄠˋ ˙ㄗ/ㄐㄧㄠˋ	jiào zi/jiào
6744	劫	精熟	第6級		10	11	[['劫', ['22051']]]	ㄐㄧㄝˊ	jié
6745	截	精熟	第6級		18	14	[['截', ['22166']]]	ㄐㄧㄝˊ	jié
6746	階	精熟	第6級		5	9	[['階', ['21975']]]	ㄐㄧㄝ	jiē
6747	結巴	精熟	第6級		3	1	[['結巴', ['22043']]]	ㄐㄧㄝ ˙ㄅㄚ	jiē ba
6748	潔白	精熟	第6級		7	1	[['潔白', ['22176']]]	ㄐㄧㄝˊ ㄅㄞˊ	jié bái
6749	階層	精熟	第6級		45	5	[['階層', ['21980']]]	ㄐㄧㄝ ㄘㄥˊ	jiē céng
6750	界定	精熟	第6級		16	3	[['界定', ['22238']]]	ㄐㄧㄝˋ ㄉㄧㄥˋ	jiè dìng
6751	解讀	精熟	第6級		20	14	[['解讀', ['22195']]]	ㄐㄧㄝˇ ㄉㄨˊ	jiě dú
6752	接二連三	精熟	第6級		4	4	[['接二連三', ['22019']]]	ㄐㄧㄝ ㄦˋ ㄌㄧㄢˊ ㄙㄢ	jiē èr lián sān
6753	揭發	精熟	第6級		7	2	[['揭發', ['22025']]]	ㄐㄧㄝ ㄈㄚ	jiē fā
6754	解放	精熟	第6級		22	9	[['解放', ['22192']]]	ㄐㄧㄝˇ ㄈㄤˋ	jiě fàng
6755	接獲	精熟	第6級		4	3	[['接獲', ['21998']]]	ㄐㄧㄝ ㄏㄨㄛˋ	jiē huò
6756	藉機	精熟	第6級		5	3	[['藉機', ['22282']]]	ㄐㄧㄝˋ ㄐㄧ	jiè jī
6757	節儉	精熟	第6級		7	8	[['節儉', ['22144']]]	ㄐㄧㄝˊ ㄐㄧㄢˇ	jié jiǎn
6758	接見	精熟	第6級		8	2	[['接見', ['22000']]]	ㄐㄧㄝ ㄐㄧㄢˋ	jiē jiàn
6759	結交	精熟	第6級		13	4	[['結交', ['22083']]]	ㄐㄧㄝˊ ㄐㄧㄠ	jié jiāo
6760	街角	精熟	第6級		5	1	[['街角', ['22039']]]	ㄐㄧㄝ ㄐㄧㄠˇ	jiē jiǎo
6761	捷徑	精熟	第6級		9	4	[['捷徑', ['22119']]]	ㄐㄧㄝˊ ㄐㄧㄥˋ	jié jìng
6762	結晶	精熟	第6級		10	10	[['結晶', ['22084']]]	ㄐㄧㄝˊ ㄐㄧㄥ	jié jīng
6763	解救	精熟	第6級		7	3	[['解救', ['22208']]]	ㄐㄧㄝˇ ㄐㄧㄡˋ	jiě jiù
6764	揭開	精熟	第6級		11	8	[['揭開', ['22028']]]	ㄐㄧㄝ ㄎㄞ	jiē kāi
6765	接連	精熟	第6級		10	10	[['接連', ['21993']]]	ㄐㄧㄝ ㄌㄧㄢˊ	jiē lián
6766	揭露	精熟	第6級		14	5	[['揭露', ['22026']]]	ㄐㄧㄝ ㄌㄨˋ	jiē lù
6767	結盟	精熟	第6級		10	7	[['結盟', ['22070']]]	ㄐㄧㄝˊ ㄇㄥˊ	jié méng
6768	介面	精熟	第6級		14	3	[]	ㄐㄧㄝˋ ㄇㄧㄢˋ	jiè miàn
6769	揭幕	精熟	第6級		1	1	[['揭幕', ['22024']]]	ㄐㄧㄝ ㄇㄨˋ	jiē mù
6770	接納	精熟	第6級		34	17	[['接納', ['21991']]]	ㄐㄧㄝ ㄋㄚˋ	jiē nà
6771	截然不同	精熟	第6級		15	14	[['截然不同', ['22173']]]	ㄐㄧㄝˊ ㄖㄢˊ ㄅㄨˋ ㄊㄨㄥˊ	jié rán bù tóng
6772	接任	精熟	第6級		8	4	[['接任', ['22017']]]	ㄐㄧㄝ ㄖㄣˋ	jiē rèn
6773	介入	精熟	第6級		25	22	[['介入', ['22225']]]	ㄐㄧㄝˋ ㄖㄨˋ	jiè rù
6774	解散	精熟	第6級		9	5	[['解散', ['22215']]]	ㄐㄧㄝˇ ㄙㄢˋ	jiě sàn
6775	結實1	精熟	第6級		13	7	[['結實', ['22044', '22090']]]	ㄐㄧㄝˊ ㄕˊ	jié shí
6776	結識	精熟	第6級		8	2	[['結識', ['22091']]]	ㄐㄧㄝˊ ㄕˋ	jié shì
6777	屆時	精熟	第6級		9	4	[['屆時', ['22262']]]	ㄐㄧㄝˋ ㄕˊ	jiè shí
6778	結實2	精熟	第6級		13	7	[['結實', ['22044', '22090']]]	ㄐㄧㄝ ˙ㄕ	jiē shi
6779	接手	精熟	第6級		11	15	[['接手', ['22014']]]	ㄐㄧㄝ ㄕㄡˇ	jiē shǒu
6780	解體	精熟	第6級		7	4	[['解體', ['22198']]]	ㄐㄧㄝˇ ㄊㄧˇ	jiě tǐ
6781	接替	精熟	第6級		6	2	[['接替', ['21990']]]	ㄐㄧㄝ ㄊㄧˋ	jiē tì
6782	階梯	精熟	第6級		11	7	[['階梯', ['21977']]]	ㄐㄧㄝ ㄊㄧ	jiē tī
6783	解脫	精熟	第6級		17	6	[['解脫', ['22199']]]	ㄐㄧㄝˇ ㄊㄨㄛ	jiě tuō
6784	解析	精熟	第6級		11	3	[['解析', ['22210']]]	ㄐㄧㄝˇ ㄒㄧ	jiě xī
6785	界線	精熟	第6級		13	6	[['界線', ['22241']]]	ㄐㄧㄝˋ ㄒㄧㄢˋ	jiè xiàn
6786	界限	精熟	第6級		12	1	[['界限', ['22240']]]	ㄐㄧㄝˋ ㄒㄧㄢˋ	jiè xiàn
6787	戒心	精熟	第6級		5	1	[['戒心', ['22252']]]	ㄐㄧㄝˋ ㄒㄧㄣ	jiè xīn
6788	結業	精熟	第6級		1	1	[['結業', ['22099']]]	ㄐㄧㄝˊ ㄧㄝˋ	jié yè
6789	介意	精熟	第6級		15	4	[['介意', ['22227']]]	ㄐㄧㄝˋ ㄧˋ	jiè yì
6790	藉由	精熟	第6級		53	91	[['藉由', ['45308']]]	ㄐㄧㄝˋ ㄧㄡˊ	jiè yóu
6791	節約	精熟	第6級		4	18	[['節約', ['22160']]]	ㄐㄧㄝˊ ㄩㄝ	jié yuē
6792	解約	精熟	第6級		1	1	[['解約', ['22220']]]	ㄐㄧㄝˇ ㄩㄝ	jiě yuē
6793	結帳	精熟	第6級		5	3	[['結帳', ['22087']]]	ㄐㄧㄝˊ ㄓㄤˋ	jié zhàng
6794	截至	精熟	第6級		5	8	[]	ㄐㄧㄝˊ ㄓˋ	jié zhì
6795	節制	精熟	第6級		11	6	[['節制', ['22147']]]	ㄐㄧㄝˊ ㄓˋ	jié zhì
6796	傑作	精熟	第6級		9	3	[['傑作', ['22116']]]	ㄐㄧㄝˊ ㄗㄨㄛˋ	jié zuò
6797	藉	精熟	第6級		51	26	[['藉', ['21521', '22279']]]	ㄐㄧㄝˋ / ㄐㄧˊ	jiè/jí
6798	筋	精熟	第6級		9	6	[['筋', ['23216']]]	ㄐㄧㄣ	jīn
6799	緊繃	精熟	第6級		14	7	[['緊繃', ['23247']]]	ㄐㄧㄣˇ ㄅㄥ	jǐn bēng
6800	進程	精熟	第6級		7	9	[['進程', ['23360']]]	ㄐㄧㄣˋ ㄔㄥˊ	jìn chéng
6801	近代史	精熟	第6級		6	4	[]	ㄐㄧㄣˋ ㄉㄞˋ ㄕˇ	jìn dài shǐ
6802	金額	精熟	第6級		14	15	[['金額', ['23200']]]	ㄐㄧㄣ ㄜˊ	jīn é
6803	進而	精熟	第6級		40	27	[]	ㄐㄧㄣˋㄦˊ	jìn ér
6804	近乎	精熟	第6級		14	1	[]	ㄐㄧㄣˋ ㄏㄨ	jìn hū
6805	進化	精熟	第6級		8	2	[['進化', ['23339']]]	ㄐㄧㄣˋ ㄏㄨㄚˋ	jìn huà
6806	晉級	精熟	第6級		2	1	[['晉級', ['23316']]]	ㄐㄧㄣˋ ㄐㄧˊ	jìn jí
6807	禁忌	精熟	第6級		12	3	[['禁忌', ['23377']]]	ㄐㄧㄣˋ ㄐㄧˋ	jìn jì
6808	津津有味	精熟	第6級		5	2	[['津津有味', ['23212']]]	ㄐㄧㄣ ㄐㄧㄣ ㄧㄡˇ ㄨㄟˋ	jīn jīn yǒu wèi
6809	進軍	精熟	第6級		10	2	[['進軍', ['23344']]]	ㄐㄧㄣˋ ㄐㄩㄣ	jìn jūn
6810	近況	精熟	第6級		3	2	[['近況', ['23287']]]	ㄐㄧㄣˋ ㄎㄨㄤˋ	jìn kuàng
6811	浸泡/浸	精熟	第6級		13	13	[['浸泡', ['23307']], ['浸', ['23306']]]	ㄐㄧㄣˋ ㄆㄠˋ / ㄐㄧㄣˋ	jìn pào / jìn
6812	緊迫	精熟	第6級		4	3	[['緊迫', ['23249']]]	ㄐㄧㄣˇ ㄆㄛˋ	jǐn pò
6813	盡情	精熟	第6級		15	8	[['盡情', ['23399']]]	ㄐㄧㄣˋ ㄑㄧㄥˊ	jìn qíng
6814	進食	精熟	第6級		9	4	[['進食', ['23361']]]	ㄐㄧㄣˋ ㄕˊ	jìn shí
6815	近似	精熟	第6級		7	1	[['近似', ['23303']]]	ㄐㄧㄣˋ ㄙˋ	jìn sì
6816	津貼	精熟	第6級		4	2	[['津貼', ['23209']]]	ㄐㄧㄣ ㄊㄧㄝ	jīn tiē
6817	盡頭	精熟	第6級		18	9	[['盡頭', ['23391']]]	ㄐㄧㄣˋ ㄊㄡˊ	jìn tóu
6818	盡心	精熟	第6級		7	7	[]	ㄐㄧㄣˋ ㄒㄧㄣ	jìn xīn
6819	進修	精熟	第6級		10	4	[['進修', ['23348']]]	ㄐㄧㄣˋ ㄒㄧㄡ	jìn xiū
6820	緊要	精熟	第6級		5	2	[['緊要', ['23265']]]	ㄐㄧㄣˇ ㄧㄠˋ	jǐn yào
6821	僅有	精熟	第6級		16	7	[['僅有', ['23233']]]	ㄐㄧㄣˇ ㄧㄡˇ	jǐn yǒu
6822	進駐	精熟	第6級		8	12	[['進駐', ['23356']]]	ㄐㄧㄣˋ ㄓㄨˋ	jìn zhù
6823	精	精熟	第6級		20	18	[['精', ['23561']]]	ㄐㄧㄥ	jīng
6824	警報	精熟	第6級		6	15	[['警報', ['23721']]]	ㄐㄧㄥˇ ㄅㄠˋ	jǐng bào
6825	經典	精熟	第6級		38	117	[['經典', ['23622']]]	ㄐㄧㄥ ㄉㄧㄢˇ	jīng diǎn
6826	景觀	精熟	第6級		18	37	[['景觀', ['23709']]]	ㄐㄧㄥˇ ㄍㄨㄢ	jǐng guān
6827	警官	精熟	第6級		37	1	[['警官', ['23727']]]	ㄐㄧㄥˇ ㄍㄨㄢ	jǐng guān
6828	淨化	精熟	第6級		12	23	[['淨化', ['23770']]]	ㄐㄧㄥˋ ㄏㄨㄚˋ	jìng huà
6829	精華	精熟	第6級		9	7	[['精華', ['23581']]]	ㄐㄧㄥ ㄏㄨㄚˊ	jīng huá
6830	驚慌	精熟	第6級		14	4	[['驚慌', ['23679']]]	ㄐㄧㄥ ㄏㄨㄤ	jīng huāng
6831	精簡	精熟	第6級		5	3	[['精簡', ['23582']]]	ㄐㄧㄥ ㄐㄧㄢˇ	jīng jiǎn
6832	境界	精熟	第6級		33	23	[['境界', ['23797']]]	ㄐㄧㄥˋ ㄐㄧㄝˋ	jìng jiè
6833	精進	精熟	第6級		11	14	[['精進', ['23583']]]	ㄐㄧㄥ ㄐㄧㄣˋ	jīng jìn
6834	警覺	精熟	第6級		18	7	[['警覺', ['23732']]]	ㄐㄧㄥˇ ㄐㄩㄝˊ	jǐng jué
6835	驚恐	精熟	第6級		15	3	[['驚恐', ['23675']]]	ㄐㄧㄥ ㄎㄨㄥˇ	jīng kǒng
6836	經理人	精熟	第6級		33	1	[]	ㄐㄧㄥ ㄌㄧˇ ㄖㄣˊ	jīng lǐ rén
6837	精美	精熟	第6級		9	5	[['精美', ['23566']]]	ㄐㄧㄥ ㄇㄟˇ	jīng měi
6838	精密	精熟	第6級		10	9	[['精密', ['23567']]]	ㄐㄧㄥ ㄇㄧˋ	jīng mì
6839	精明	精熟	第6級		14	1	[['精明', ['23569']]]	ㄐㄧㄥ ㄇㄧㄥˊ	jīng míng
