序號	詞語	等別	級別	情境	書面字頻(每百萬字)	口語字頻(每百萬字)	簡編本系統號	參考注音	參考漢語拼音
4037	配角	進階	第5級	4.休閒、娛樂	14	3	[['配角', ['2660']]]	ㄆㄟˋ ㄐㄧㄠˇ / ㄆㄟˋ ㄐㄩㄝˊ 	pèi jiǎo / pèi jué
4038	配偶	進階	第5級	1.個人資料	22	8	[['配偶', ['2667']]]	ㄆㄟˋ ㄡˇ	pèi ǒu
4039	陪同	進階	第5級	核心詞	9	5	[['陪同', ['2614']]]	ㄆㄟˊ ㄊㄨㄥˊ	péi tóng
4040	培養	進階	第5級	核心詞	86	61	[['培養', ['2608']]]	ㄆㄟˊ ㄧㄤˇ	péi yǎng
4041	盆	進階	第5級	10.餐飲、烹飪	19	22	[['盆', ['2829']]]	ㄆㄣˊ	pén
4042	噴	進階	第5級	核心詞	15	106	[['噴', ['2834', '2814']]]	ㄆㄣ	pēn
4043	碰巧	進階	第5級	核心詞	7	1	[['碰巧', ['2932']]]	ㄆㄥˋ ㄑㄧㄠˇ	pèng qiǎo
4044	屁	進階	第5級	7.身體、醫療	7	2	[['屁', ['3053']]]	ㄆㄧˋ	pì
4045	批	進階	第5級	核心詞	83	73	[['批', ['2938']]]	ㄆㄧ	pī
4046	披	進階	第5級	核心詞	14	13	[['披', ['2957']]]	ㄆㄧ	pī
4047	屁股	進階	第5級	7.身體、醫療	34	13	[['屁股', ['3054']]]	ㄆㄧˋ ˙ㄍㄨ	pì gu
4048	疲倦	進階	第5級	7.身體、醫療	17	4	[['疲倦', ['3023']]]	ㄆㄧˊ ㄐㄩㄢˋ	pí juàn
4049	疲勞	進階	第5級	7.身體、醫療	18	7	[['疲勞', ['3020']]]	ㄆㄧˊ ㄌㄠˊ	pí láo
4050	譬如說/譬如	進階	第5級	核心詞	48	168	[]	ㄆㄧˋ ㄖㄨˊㄕㄨㄛ/ㄆㄧˋ ㄖㄨˊ	pì rúshuō/ pì rú
4051	披薩	進階	第5級	10.餐飲、烹飪	6	11	[['披薩', ['2969']]]	ㄆㄧ ㄙㄚˋ	pī sà
4052	偏	進階	第5級	核心詞	28	46	[['偏', ['3137']]]	ㄆㄧㄢ	piān
4053	偏見	進階	第5級	核心詞	21	4	[['偏見', ['3155']]]	ㄆㄧㄢ ㄐㄧㄢˋ	piān jiàn
4054	片刻	進階	第5級	核心詞	29	4	[['片刻', ['3192']]]	ㄆㄧㄢˋ ㄎㄜˋ	piàn kè
4055	飄	進階	第5級	13.自然環境	17	12	[['飄', ['3084']]]	ㄆㄧㄠ	piāo
4056	漂白	進階	第5級	核心詞	2	12	[['漂白', ['3108']]]	ㄆㄧㄠˇ ㄅㄞˊ	piǎo bái
4057	品嚐/品嘗	進階	第5級	10.餐飲、烹飪	12	16	[['品嚐', ['3273']], ['品嘗', ['3272']]]	ㄆㄧㄣˇ ㄔㄤˊ	pǐn cháng
4058	頻繁	進階	第5級	核心詞	17	28	[['頻繁', ['3237']]]	ㄆㄧㄣˊ ㄈㄢˊ	pín fán
4059	頻率	進階	第5級	核心詞	23	21	[['頻率', ['3239']]]	ㄆㄧㄣˊ ㄌㄩˋ	pín lǜ
4060	拼命	進階	第5級	核心詞	6	15	[]	ㄆㄧㄣ ㄇㄧㄥˋ	pīn mìng
